dataset,backbone,condition,image_idx,silhouette
DTSR14,resnet50,clean,0,0.009605077095329762
DTSR14,resnet50,clean,1,0.03922201320528984
DTSR14,resnet50,clean,2,0.08745981752872467
DTSR14,resnet50,clean,3,0.03472418710589409
DTSR14,resnet50,clean,4,0.021699128672480583
DTSR14,resnet50,clean,5,0.09461966156959534
DTSR14,resnet50,clean,6,0.02623736672103405
DTSR14,resnet50,clean,7,0.017012814059853554
DTSR14,resnet50,clean,8,0.012456171214580536
DTSR14,resnet50,clean,9,0.03277518227696419
DTSR14,resnet50,clean,10,0.027370817959308624
DTSR14,resnet50,clean,11,0.024100350216031075
DTSR14,resnet50,clean,12,0.01374063827097416
DTSR14,resnet50,clean,13,0.059848979115486145
DTSR14,resnet50,clean,14,0.0373610183596611
DTSR14,resnet50,clean,15,0.06360254436731339
DTSR14,resnet50,clean,16,0.053306758403778076
DTSR14,resnet50,clean,17,0.04463036358356476
DTSR14,resnet50,clean,18,0.02040886878967285
DTSR14,resnet50,clean,19,0.017994986847043037
DTSR14,resnet50,clean,20,0.019463812932372093
DTSR14,resnet50,clean,21,0.038803357630968094
DTSR14,resnet50,clean,22,0.02213207073509693
DTSR14,resnet50,clean,23,0.10923907905817032
DTSR14,resnet50,clean,24,0.05677998811006546
DTSR14,resnet50,clean,25,0.03211052715778351
DTSR14,resnet50,clean,26,0.015006503090262413
DTSR14,resnet50,clean,27,0.022893739864230156
DTSR14,resnet50,clean,28,0.026701858267188072
DTSR14,resnet50,clean,29,0.026691557839512825
DTSR14,resnet50,clean,30,0.023858141154050827
DTSR14,resnet50,clean,31,0.034368909895420074
DTSR14,resnet50,clean,32,0.02860865741968155
DTSR14,resnet50,clean,33,0.029042506590485573
DTSR14,resnet50,clean,34,0.03681546449661255
DTSR14,resnet50,clean,35,0.029683440923690796
DTSR14,resnet50,clean,36,0.021955758333206177
DTSR14,resnet50,clean,37,0.019496645778417587
DTSR14,resnet50,clean,38,0.0405011884868145
DTSR14,resnet50,clean,39,0.049988288432359695
DTSR14,resnet50,clean,40,0.027430908754467964
DTSR14,resnet50,clean,41,0.02935054339468479
DTSR14,resnet50,clean,42,0.0657254233956337
DTSR14,resnet50,clean,43,0.03153043985366821
DTSR14,resnet50,clean,44,0.08092190325260162
DTSR14,resnet50,clean,45,0.03438549488782883
DTSR14,resnet50,clean,46,0.017057036980986595
DTSR14,resnet50,clean,47,0.016831543296575546
DTSR14,resnet50,clean,48,0.018821660429239273
DTSR14,resnet50,clean,49,0.04674334079027176
DTSR14,resnet50,clean,50,0.019493980333209038
DTSR14,resnet50,clean,51,7.816783909220248e-05
DTSR14,resnet50,clean,52,0.04274466261267662
DTSR14,resnet50,clean,53,0.05441315844655037
DTSR14,resnet50,clean,54,0.025528542697429657
DTSR14,resnet50,clean,55,0.03928287327289581
DTSR14,resnet50,clean,56,0.027091676369309425
DTSR14,resnet50,clean,57,0.017424561083316803
DTSR14,resnet50,clean,58,0.03969947248697281
DTSR14,resnet50,clean,59,0.04990445822477341
DTSR14,resnet50,clean,60,0.04522058740258217
DTSR14,resnet50,clean,61,0.04884869232773781
DTSR14,resnet50,clean,62,0.07324669510126114
DTSR14,resnet50,clean,63,0.05144690349698067
DTSR14,resnet50,clean,64,0.024074682965874672
DTSR14,resnet50,clean,65,0.007278168573975563
DTSR14,resnet50,clean,66,0.04000904783606529
DTSR14,resnet50,clean,67,0.039057523012161255
DTSR14,resnet50,clean,68,0.057909898459911346
DTSR14,resnet50,clean,69,0.03442373126745224
DTSR14,resnet50,clean,70,0.02732374146580696
DTSR14,resnet50,clean,71,0.05949423089623451
DTSR14,resnet50,clean,72,0.07094207406044006
DTSR14,resnet50,clean,73,0.03340381011366844
DTSR14,resnet50,clean,74,0.023388871923089027
DTSR14,resnet50,clean,75,0.02275656908750534
DTSR14,resnet50,clean,76,0.02458280883729458
DTSR14,resnet50,clean,77,0.030037885531783104
DTSR14,resnet50,clean,78,0.018465343862771988
DTSR14,resnet50,clean,79,0.02313365414738655
DTSR14,resnet50,clean,80,0.013271781615912914
DTSR14,resnet50,clean,81,0.023080427199602127
DTSR14,resnet50,clean,82,0.015035025775432587
DTSR14,resnet50,clean,83,0.032038480043411255
DTSR14,resnet50,clean,84,0.03301920369267464
DTSR14,resnet50,clean,85,0.01605566404759884
DTSR14,resnet50,clean,86,0.022970112040638924
DTSR14,resnet50,clean,87,0.055573198944330215
DTSR14,resnet50,clean,88,0.02916773222386837
DTSR14,resnet50,clean,89,0.016589125618338585
DTSR14,resnet50,clean,90,0.046166304498910904
DTSR14,resnet50,clean,91,0.018201610073447227
DTSR14,resnet50,clean,92,0.04841003939509392
DTSR14,resnet50,clean,93,0.013656298629939556
DTSR14,resnet50,clean,94,0.020503873005509377
DTSR14,resnet50,clean,95,0.023139778524637222
DTSR14,resnet50,clean,96,0.025017905980348587
DTSR14,resnet50,clean,97,0.03314705938100815
DTSR14,resnet50,clean,98,0.040450047701597214
DTSR14,resnet50,clean,99,0.02653796412050724
DTSR14,resnet50,clean,100,0.015240956097841263
DTSR14,resnet50,clean,101,0.03477945178747177
DTSR14,resnet50,clean,102,0.011707509867846966
DTSR14,resnet50,clean,103,0.013912897557020187
DTSR14,resnet50,clean,104,0.004684892948716879
DTSR14,resnet50,clean,105,0.026250777766108513
DTSR14,resnet50,clean,106,0.06070755049586296
DTSR14,resnet50,clean,107,0.02314635179936886
DTSR14,resnet50,clean,108,0.008830830454826355
DTSR14,resnet50,clean,109,0.032980650663375854
DTSR14,resnet50,clean,110,0.049482714384794235
DTSR14,resnet50,clean,111,0.013703066855669022
DTSR14,resnet50,clean,112,0.040548767894506454
DTSR14,resnet50,clean,113,0.031487081199884415
DTSR14,resnet50,clean,114,0.019169513136148453
DTSR14,resnet50,clean,115,0.030888229608535767
DTSR14,resnet50,clean,116,0.02430976927280426
DTSR14,resnet50,clean,117,0.04224986955523491
DTSR14,resnet50,clean,118,0.12536634504795074
DTSR14,resnet50,clean,119,0.068067267537117
DTSR14,resnet50,clean,120,0.0485149584710598
DTSR14,resnet50,clean,121,0.04893340542912483
DTSR14,resnet50,clean,122,0.10490310192108154
DTSR14,resnet50,clean,123,0.07073049992322922
DTSR14,resnet50,clean,124,0.028896085917949677
DTSR14,resnet50,clean,125,0.028177116066217422
DTSR14,resnet50,clean,126,0.02554699406027794
DTSR14,resnet50,clean,127,0.04989642649888992
DTSR14,resnet50,clean,128,0.04098166897892952
DTSR14,resnet50,clean,129,0.012875346466898918
DTSR14,resnet50,clean,130,0.13827592134475708
DTSR14,resnet50,clean,131,0.005400859750807285
DTSR14,resnet50,clean,132,0.014781370759010315
DTSR14,resnet50,clean,133,0.01292219664901495
DTSR14,resnet50,clean,134,0.02712426334619522
DTSR14,resnet50,clean,135,0.01468625571578741
DTSR14,resnet50,clean,136,0.04821336641907692
DTSR14,resnet50,clean,137,0.049749407917261124
DTSR14,resnet50,clean,138,0.006508199032396078
DTSR14,resnet50,clean,139,0.041937876492738724
DTSR14,resnet50,clean,140,0.0067626554518938065
DTSR14,resnet50,clean,141,0.07237845659255981
DTSR14,resnet50,clean,142,0.024013644084334373
DTSR14,resnet50,clean,143,0.0938575491309166
DTSR14,resnet50,clean,144,0.10880343616008759
DTSR14,resnet50,clean,145,0.12108390033245087
DTSR14,resnet50,clean,146,0.11327794194221497
DTSR14,resnet50,clean,147,0.09802465885877609
DTSR14,resnet50,clean,148,0.02163698524236679
DTSR14,resnet50,clean,149,0.060718096792697906
DTSR14,resnet50,clean,150,0.08067955076694489
DTSR14,resnet50,clean,151,0.05629396438598633
DTSR14,resnet50,clean,152,0.03034224361181259
DTSR14,resnet50,clean,153,0.0625004693865776
DTSR14,resnet50,clean,154,0.03679776191711426
DTSR14,resnet50,clean,155,0.0341184139251709
DTSR14,resnet50,clean,156,0.037829216569662094
DTSR14,resnet50,clean,157,0.07381413131952286
DTSR14,resnet50,clean,158,0.08817866444587708
DTSR14,resnet50,clean,159,0.04762354493141174
DTSR14,resnet50,clean,160,0.09840192645788193
DTSR14,resnet50,clean,161,0.06448666751384735
DTSR14,resnet50,clean,162,0.12150636315345764
DTSR14,resnet50,clean,163,0.07947706431150436
DTSR14,resnet50,clean,164,0.040596406906843185
DTSR14,resnet50,clean,165,0.030159814283251762
DTSR14,resnet50,clean,166,0.025468485429883003
DTSR14,resnet50,clean,167,0.0338786244392395
DTSR14,resnet50,clean,168,0.07308632135391235
DTSR14,resnet50,clean,169,0.05934929847717285
DTSR14,resnet50,clean,170,0.029058262705802917
DTSR14,resnet50,clean,171,0.023924626410007477
DTSR14,resnet50,clean,172,-0.001414609607309103
DTSR14,resnet50,clean,173,0.06129631772637367
DTSR14,resnet50,clean,174,0.036202870309352875
DTSR14,resnet50,clean,175,0.06749080121517181
DTSR14,resnet50,clean,176,0.06803685426712036
DTSR14,resnet50,clean,177,0.0488351508975029
DTSR14,resnet50,clean,178,0.02666584402322769
DTSR14,resnet50,clean,179,0.04666059836745262
DTSR14,resnet50,clean,180,0.05166057124733925
DTSR14,resnet50,clean,181,0.009241635911166668
DTSR14,resnet50,clean,182,0.022099407389760017
DTSR14,resnet50,clean,183,0.023124240338802338
DTSR14,resnet50,clean,184,0.04213148355484009
