dataset,backbone,perturbation,severity,image_idx,csi,csi_bo,csi_hungarian,csi_permutation_gap,csi_c0,csi_c1,csi_c2
PCA11,resnet50,gaussian_blur,4,0,0.3191119297574833,0.3191119297574833,0.3191119297574833,0.0,0.002702702702702703,0.7489656620812769,0.20566742448847028
PCA11,resnet50,gaussian_blur,4,1,0.1484679588069077,0.1484679588069077,0.1981511037538346,0.04968314494692691,0.11990641450575161,0.20373947675943813,0.12175798515553332
PCA11,resnet50,gaussian_blur,4,2,0.26656434035651816,0.26656434035651816,0.3340583162601955,0.06749397590367734,0.06717189114708921,0.238194299979197,0.4943268299432683
PCA11,resnet50,gaussian_blur,4,3,0.09467589960550819,0.09467589960550819,0.20826046289380037,0.11358456328829218,0.010403629536921151,0.060909155245217145,0.21271491403438625
PCA11,resnet50,gaussian_blur,4,4,0.1153639964438982,0.1153639964438982,0.24093587754365164,0.12557188109975342,0.0002449179524859172,0.2822192095108979,0.06362786186831076
PCA11,resnet50,gaussian_blur,4,5,0.09002175855876982,0.09002175855876982,0.2904080750630954,0.2003863165043256,0.10879228100607112,0.045015346140729794,0.11625764852950853
PCA11,resnet50,gaussian_blur,4,6,0.5641475407258306,0.5641475407258306,0.5641475407258306,0.0,0.33436923375740507,0.8768170560999247,0.48125633232016213
PCA11,resnet50,gaussian_blur,4,7,0.1226697785515513,0.1226697785515513,0.2689334198859816,0.14626364133443026,0.008103107254514132,0.22832551617426625,0.1315807122258735
PCA11,resnet50,gaussian_blur,4,8,0.5946243442479203,0.5946243442479203,0.5946243442479203,0.0,0.16527594788464353,0.9149736644093304,0.703623420449787
PCA11,resnet50,gaussian_blur,4,9,0.28651622982957586,0.28651622982957586,0.28651622982957586,0.0,0.11126744049712745,0.31579773048161897,0.4324835185099811
PCA11,resnet50,gaussian_blur,4,10,0.2634633928489903,0.2634633928489903,0.33918396856550387,0.07572057571651358,0.27482014388489207,0.27904434728294814,0.23652568737913057
PCA11,resnet50,gaussian_blur,4,11,0.5190160940956933,0.5190160940956933,0.5190160940956933,0.0,0.4631043256997455,0.6681753394513765,0.4257686171359579
PCA11,resnet50,gaussian_blur,4,12,0.43169684682965914,0.43169684682965914,0.43169684682965914,0.0,0.5315389356893363,0.332671892052783,0.43087971274685816
PCA11,resnet50,gaussian_blur,4,13,0.5690975612034586,0.5690975612034586,0.5690975612034586,0.0,0.6885471024443834,0.5400863256497382,0.478659255516254
PCA11,resnet50,gaussian_blur,4,14,0.6041516803733082,0.6041516803733082,0.6041516803733082,0.0,0.7158339561892716,0.5299416391778736,0.5666794457527794
PCA11,resnet50,gaussian_blur,4,15,0.29100872747020734,0.29100872747020734,0.29100872747020734,0.0,0.0,0.5479814531595174,0.32504472925110456
PCA11,resnet50,gaussian_blur,4,16,0.27722355401171256,0.27722355401171256,0.2874789359473025,0.010255381935589947,0.3592683731195616,0.10430754286995181,0.36809474604562437
PCA11,resnet50,gaussian_blur,4,17,0.08439905321933851,0.08439905321933851,0.22344540334254784,0.13904635012320932,0.0019992574186730645,0.049840096357519625,0.20135780588182284
PCA11,resnet50,gaussian_blur,4,18,0.14555544114602081,0.14555544114602081,0.2800762976226127,0.1345208564765919,0.18453349755861523,0.011674810612271668,0.24045801526717558
PCA11,resnet50,gaussian_blur,4,19,0.3524376137410618,0.3524376137410618,0.4110292523144123,0.05859163857335048,0.18393905729249327,0.15940796189179993,0.7139658220388921
PCA11,resnet50,gaussian_blur,4,20,0.3617674340230321,0.3617674340230321,0.3617674340230321,0.0,0.5493838513886334,0.05872991815701728,0.47718853252344556
PCA11,resnet50,gaussian_blur,4,21,0.7211081463863458,0.7211081463863458,0.7211081463863458,0.0,0.6241721854304636,0.7987955375654062,0.7403567161631678
PCA11,resnet50,gaussian_blur,4,22,0.8033430156208882,0.8033430156208882,0.8033430156208882,0.0,0.8331836551414459,0.7983837310771332,0.7784616606440853
PCA11,resnet50,gaussian_blur,4,23,0.4720362271253209,0.4720362271253209,0.4720362271253209,0.0,0.43917352595330084,0.4570121525352703,0.5199230028873917
PCA11,resnet50,gaussian_blur,4,24,0.35622991299995704,0.35622991299995704,0.35622991299995704,0.0,0.3654058226731363,0.11345659730968814,0.5898273190170467
PCA11,resnet50,gaussian_blur,4,25,0.46442406671559827,0.46442406671559827,0.46442406671559827,0.0,0.23380726698262244,0.650547318830539,0.5089176143336334
PCA11,resnet50,gaussian_blur,4,26,0.5893034722622237,0.5893034722622237,0.5893034722622237,0.0,0.6339779005524862,0.6028880866425993,0.5310444295915855
PCA11,resnet50,gaussian_blur,4,27,0.08547555902124404,0.08547555902124404,0.2830472013683942,0.19757164234715013,0.019534385871019536,0.07974218691448699,0.15715010427822557
PCA11,resnet50,gaussian_blur,4,28,0.25792615532421487,0.25792615532421487,0.28437256644328696,0.02644641111907209,0.07371556217423679,0.17014813581890811,0.5299147679794998
PCA11,resnet50,gaussian_blur,4,29,0.3485433174373857,0.3485433174373857,0.35058476665397204,0.002041449216586333,0.02434512357555128,0.3888992828188338,0.632385545917772
PCA11,resnet50,gaussian_blur,4,30,0.47031472783363054,0.47031472783363054,0.47031472783363054,0.0,0.5239903348291336,0.5575596268637433,0.3293942218080149
PCA11,resnet50,gaussian_blur,4,31,0.42163448701032064,0.42163448701032064,0.42163448701032064,0.0,0.20319764145594738,0.5339223545244434,0.5277834650505713
PCA11,resnet50,gaussian_blur,4,32,0.41709812110117,0.41709812110117,0.41709812110117,0.0,0.1383304940374787,0.46000067084828766,0.6529631984177439
PCA11,resnet50,gaussian_blur,4,33,0.2690040008398775,0.2690040008398775,0.36911746605031975,0.10011346521044223,0.0024020153494639404,0.23235606676251797,0.5722539204076507
PCA11,resnet50,gaussian_blur,4,34,0.45260539256038995,0.45260539256038995,0.45260539256038995,0.0,0.32251416795466253,0.6145758317730088,0.4207261779534985
PCA11,resnet50,gaussian_blur,4,35,0.5700554132264769,0.5700554132264769,0.5700554132264769,0.0,0.5777170613236187,0.7423345286742835,0.39011464968152865
PCA11,resnet50,gaussian_blur,4,36,0.32498920951365917,0.32498920951365917,0.33132241196498263,0.006333202451323461,0.4473021344292722,0.022351644892176923,0.5053138492195284
PCA11,resnet50,gaussian_blur,4,37,0.4923812422998168,0.4923812422998168,0.4923812422998168,0.0,0.6023166023166023,0.6283016894189026,0.24652543516394548
PCA11,resnet50,gaussian_blur,4,38,0.19296398844441084,0.19296398844441084,0.31235062138384734,0.1193866329394365,0.00018942981625307822,0.3085268011834635,0.27017573433351594
PCA11,resnet50,gaussian_blur,4,39,0.5148060930174464,0.5148060930174464,0.5148060930174464,0.0,0.2827580759813601,0.6211441123101901,0.640516090760789
PCA11,resnet50,gaussian_blur,4,40,0.7263484270020011,0.7263484270020011,0.7263484270020011,0.0,0.8153049482163406,0.6785165185435182,0.6852238142461444
PCA11,resnet50,gaussian_blur,4,41,0.48550017649728483,0.48550017649728483,0.48550017649728483,0.0,0.3165414641331566,0.6877904873229245,0.45216857803577326
PCA11,resnet50,gaussian_blur,4,42,0.2760225260535987,0.2760225260535987,0.3059359948965131,0.029913468842914348,0.30754154907494513,0.36376888417704745,0.1567571449088037
PCA11,resnet50,gaussian_blur,4,43,0.33798328139421163,0.33798328139421163,0.35639661296218944,0.01841333156797781,0.4864926220204313,0.061598041722991485,0.46585918043921215
PCA11,resnet50,gaussian_blur,4,44,0.6394151800307277,0.6394151800307277,0.6394151800307277,0.0,0.7905113986444855,0.6292540137784217,0.4984801276692758
PCA11,resnet50,gaussian_blur,4,45,0.5089388670116587,0.5089388670116587,0.5089388670116587,0.0,0.6278221848268125,0.565185956388455,0.33380845981970875
PCA11,resnet50,gaussian_blur,4,46,0.24353882775541602,0.24353882775541602,0.24353882775541602,0.0,0.2046267087276551,0.41972302541470097,0.10626674912389199
PCA11,resnet50,gaussian_blur,4,47,0.39287580309146913,0.39287580309146913,0.39287580309146913,0.0,0.6274743545503028,0.014560373260397394,0.5365926814637073
PCA11,resnet50,gaussian_blur,4,48,0.3024571005372349,0.3024571005372349,0.34446848533076785,0.042011384793532947,0.43365939302733886,0.014611704085388295,0.4591002044989775
PCA11,resnet50,gaussian_blur,4,49,0.854882961076802,0.854882961076802,0.854882961076802,0.0,0.920692603676785,0.9088501310191316,0.7351061485344891
PCA11,resnet50,gaussian_blur,4,50,0.3220568674365231,0.3220568674365231,0.3220568674365231,0.0,0.42864393338620144,0.1569983222329554,0.3805283466904126
PCA11,resnet50,gaussian_blur,4,51,0.39076796999044977,0.39076796999044977,0.39076796999044977,0.0,0.5974105621805792,0.1673800312782945,0.40751331651247547
PCA11,resnet50,gaussian_blur,4,52,0.524321017130465,0.524321017130465,0.524321017130465,0.0,0.5747497955527863,0.32783380582795,0.6703794500106587
PCA11,resnet50,gaussian_blur,4,53,0.44516735361255394,0.44516735361255394,0.44516735361255394,0.0,0.43499876938222987,0.263831462886395,0.6366718285690369
PCA11,resnet50,gaussian_blur,4,54,0.5790828940111964,0.5790828940111964,0.5790828940111964,0.0,0.5747844029416433,0.6306474343032413,0.5318168447887047
PCA11,resnet50,gaussian_blur,4,55,0.6555727455453821,0.6555727455453821,0.6555727455453821,0.0,0.655451348182884,0.6068860502495559,0.7043808382037064
PCA11,resnet50,gaussian_blur,4,56,0.8832898468911311,0.8832898468911311,0.8832898468911311,0.0,0.9074565281461833,0.8767318899309173,0.8656811225962927
PCA11,resnet50,gaussian_blur,4,57,0.46665566391084407,0.46665566391084407,0.46665566391084407,0.0,0.5140833286853701,0.2505086940436552,0.635374969003507
PCA11,resnet50,gaussian_blur,4,58,0.276933538172847,0.276933538172847,0.5991105828114398,0.3221770446385928,0.6510527174800065,0.03912536085007064,0.14062253618846385
PCA11,resnet50,gaussian_blur,4,59,0.5545963438938842,0.5545963438938842,0.5545963438938842,0.0,0.5972444444444445,0.40738157824151067,0.6591630089956977
PCA11,resnet50,gaussian_blur,4,60,0.5920795499441759,0.5920795499441759,0.5920795499441759,0.0,0.4720313506549281,0.59307394916509,0.7111333500125094
PCA11,resnet50,gaussian_blur,4,61,0.6228548695081727,0.6228548695081727,0.6228548695081727,0.0,0.8946605679090621,0.4436745908493609,0.5302294497660949
