dataset,backbone,condition,image_idx,silhouette
PCA11,resnet50,clean,0,-0.0037053076084703207
PCA11,resnet50,clean,1,0.05619330331683159
PCA11,resnet50,clean,2,0.010562744922935963
PCA11,resnet50,clean,3,-0.003826750675216317
PCA11,resnet50,clean,4,-0.005446904804557562
PCA11,resnet50,clean,5,0.030864331871271133
PCA11,resnet50,clean,6,0.03614460676908493
PCA11,resnet50,clean,7,0.006493802648037672
PCA11,resnet50,clean,8,0.06211356073617935
PCA11,resnet50,clean,9,-0.006391551811248064
PCA11,resnet50,clean,10,0.009448747150599957
PCA11,resnet50,clean,11,0.11609497666358948
PCA11,resnet50,clean,12,0.016032693907618523
PCA11,resnet50,clean,13,0.061438433825969696
PCA11,resnet50,clean,14,0.022357312962412834
PCA11,resnet50,clean,15,0.10061410814523697
PCA11,resnet50,clean,16,0.05020822212100029
PCA11,resnet50,clean,17,0.06102409586310387
PCA11,resnet50,clean,18,-0.000642583065200597
PCA11,resnet50,clean,19,0.032614100724458694
PCA11,resnet50,clean,20,0.009278408251702785
PCA11,resnet50,clean,21,0.05104319006204605
PCA11,resnet50,clean,22,0.0395454578101635
PCA11,resnet50,clean,23,0.012933825142681599
PCA11,resnet50,clean,24,0.060280460864305496
PCA11,resnet50,clean,25,0.04554720222949982
PCA11,resnet50,clean,26,0.04976823553442955
PCA11,resnet50,clean,27,-0.010131572373211384
PCA11,resnet50,clean,28,0.01675589196383953
PCA11,resnet50,clean,29,0.020956918597221375
PCA11,resnet50,clean,30,0.11650737375020981
PCA11,resnet50,clean,31,0.06215502694249153
PCA11,resnet50,clean,32,0.018376054242253304
PCA11,resnet50,clean,33,0.011228427290916443
PCA11,resnet50,clean,34,0.06718775629997253
PCA11,resnet50,clean,35,0.13897272944450378
PCA11,resnet50,clean,36,0.17869028449058533
PCA11,resnet50,clean,37,0.11398308724164963
PCA11,resnet50,clean,38,-0.008338915184140205
PCA11,resnet50,clean,39,0.019764453172683716
PCA11,resnet50,clean,40,0.013188283890485764
PCA11,resnet50,clean,41,0.06690231710672379
PCA11,resnet50,clean,42,0.007574951741844416
PCA11,resnet50,clean,43,0.18623943626880646
PCA11,resnet50,clean,44,0.09134505689144135
PCA11,resnet50,clean,45,0.08055651187896729
PCA11,resnet50,clean,46,0.08613421767950058
PCA11,resnet50,clean,47,0.024015378206968307
PCA11,resnet50,clean,48,0.19900816679000854
PCA11,resnet50,clean,49,0.10299397259950638
PCA11,resnet50,clean,50,0.02513960376381874
PCA11,resnet50,clean,51,0.029659859836101532
PCA11,resnet50,clean,52,0.025414247065782547
PCA11,resnet50,clean,53,0.021703282371163368
PCA11,resnet50,clean,54,0.01800689846277237
PCA11,resnet50,clean,55,0.026260647922754288
PCA11,resnet50,clean,56,0.18264205753803253
PCA11,resnet50,clean,57,0.011076133698225021
PCA11,resnet50,clean,58,0.0252816341817379
PCA11,resnet50,clean,59,0.024776745587587357
PCA11,resnet50,clean,60,0.046599335968494415
PCA11,resnet50,clean,61,0.016451360657811165
PCA11,resnet50,clean,62,0.008046519011259079
PCA11,resnet50,clean,63,0.042435530573129654
PCA11,resnet50,clean,64,0.031424056738615036
PCA11,resnet50,clean,65,0.033810652792453766
PCA11,resnet50,clean,66,0.0219592172652483
PCA11,resnet50,clean,67,0.03263187035918236
PCA11,resnet50,clean,68,0.0015457641566172242
PCA11,resnet50,clean,69,0.015050654299557209
PCA11,resnet50,clean,70,0.01981641910970211
PCA11,resnet50,clean,71,0.020292533561587334
PCA11,resnet50,clean,72,0.0188932865858078
PCA11,resnet50,clean,73,0.022962935268878937
PCA11,resnet50,clean,74,0.013055414892733097
PCA11,resnet50,clean,75,0.011953595094382763
PCA11,resnet50,clean,76,0.141865074634552
PCA11,resnet50,clean,77,0.009506184607744217
PCA11,resnet50,clean,78,0.04880162701010704
PCA11,resnet50,clean,79,0.037950724363327026
PCA11,resnet50,clean,80,0.010768214240670204
PCA11,resnet50,clean,81,0.011609690263867378
PCA11,resnet50,clean,82,0.01655854471027851
PCA11,resnet50,clean,83,0.004889446776360273
PCA11,resnet50,clean,84,0.0240501556545496
PCA11,resnet50,clean,85,0.006980427540838718
PCA11,resnet50,clean,86,0.04563462361693382
PCA11,resnet50,clean,87,0.10186760127544403
PCA11,resnet50,clean,88,0.08375638723373413
PCA11,resnet50,clean,89,0.06887178868055344
PCA11,resnet50,clean,90,0.07350387424230576
PCA11,resnet50,clean,91,0.04638930410146713
PCA11,resnet50,clean,92,0.16782456636428833
PCA11,resnet50,clean,93,0.10798687487840652
PCA11,resnet50,clean,94,0.021006792783737183
PCA11,resnet50,clean,95,0.04629889875650406
PCA11,resnet50,clean,96,0.04055115580558777
PCA11,resnet50,clean,97,0.13101284205913544
PCA11,resnet50,clean,98,0.07450275123119354
PCA11,resnet50,clean,99,0.08877380192279816
PCA11,resnet50,clean,100,0.08494401723146439
PCA11,resnet50,clean,101,0.03338164836168289
PCA11,resnet50,clean,102,0.046978287398815155
PCA11,resnet50,clean,103,0.016812985762953758
PCA11,resnet50,clean,104,0.03488769009709358
PCA11,resnet50,clean,105,0.13396646082401276
PCA11,resnet50,clean,106,0.08800811320543289
PCA11,resnet50,clean,107,0.1529828906059265
PCA11,resnet50,clean,108,0.04918736219406128
PCA11,resnet50,clean,109,0.01827782206237316
PCA11,resnet50,clean,110,0.04478130489587784
PCA11,resnet50,clean,111,0.032335370779037476
PCA11,resnet50,clean,112,0.030181802809238434
PCA11,resnet50,clean,113,0.03534792736172676
PCA11,resnet50,clean,114,0.056313276290893555
PCA11,resnet50,clean,115,0.043085984885692596
PCA11,resnet50,clean,116,0.038953691720962524
PCA11,resnet50,clean,117,0.033351439982652664
PCA11,resnet50,clean,118,0.03492143377661705
PCA11,resnet50,clean,119,0.014682763256132603
PCA11,resnet50,clean,120,0.056815799325704575
PCA11,resnet50,clean,121,0.04316210746765137
PCA11,resnet50,clean,122,0.04437558352947235
PCA11,resnet50,clean,123,0.040853265672922134
PCA11,resnet50,clean,124,0.03928809240460396
PCA11,resnet50,clean,125,0.04906769096851349
PCA11,resnet50,clean,126,0.053269241005182266
