dataset,backbone,perturbation,severity,image_idx,csi,csi_bo,csi_hungarian,csi_permutation_gap,csi_c0,csi_c1,csi_c2
WRD25,resnet50,gaussian_blur,4,0,0.5505759196768855,0.5505759196768855,0.5505759196768855,0.0,0.640525632706035,0.3983646685068486,0.6128374578177728
WRD25,resnet50,gaussian_blur,4,1,0.4620507645723313,0.4620507645723313,0.4620507645723313,0.0,0.6524097262667443,0.23330629899972966,0.5004362684505199
WRD25,resnet50,gaussian_blur,4,2,0.47315903500585216,0.47315903500585216,0.47315903500585216,0.0,0.49056603773584906,0.4060815620868504,0.5228295051948569
WRD25,resnet50,gaussian_blur,4,3,0.1942522238919641,0.1942522238919641,0.3509989790252009,0.1567467551332368,0.0,0.16205500949863716,0.42070166217725513
WRD25,resnet50,gaussian_blur,4,4,0.13754749944507644,0.13754749944507644,0.3523504907422268,0.21480299129715036,0.0,0.0940871008324634,0.3185553975027659
WRD25,resnet50,gaussian_blur,4,5,0.25767794320419085,0.25767794320419085,0.46121610751031045,0.2035381643061196,0.0,0.11096442977631096,0.6620693998362617
WRD25,resnet50,gaussian_blur,4,6,0.593830927787466,0.593830927787466,0.593830927787466,0.0,0.7578154604016673,0.34985826771653544,0.6738190552441954
WRD25,resnet50,gaussian_blur,4,7,0.5376071574454301,0.5376071574454301,0.5376071574454301,0.0,0.6532297762949187,0.34586021770181746,0.6137314783395543
WRD25,resnet50,gaussian_blur,4,8,0.3558452241140569,0.3558452241140569,0.4922696897040577,0.13642446559000082,0.8162296013639685,0.0,0.2513060709782021
WRD25,resnet50,gaussian_blur,4,9,0.5089145083740495,0.5089145083740495,0.5089145083740495,0.0,0.6240632999767279,0.18851931957678145,0.7141609055686393
WRD25,resnet50,gaussian_blur,4,10,0.589901798129644,0.589901798129644,0.589901798129644,0.0,0.6147039152132531,0.7337492381054821,0.4212522410701972
WRD25,resnet50,gaussian_blur,4,11,0.6791139044844189,0.6791139044844189,0.6791139044844189,0.0,0.7742592882897006,0.5626257357871992,0.700456689376357
WRD25,resnet50,gaussian_blur,4,12,0.5623899287787554,0.5623899287787554,0.5623899287787554,0.0,0.7199151111754208,0.31939554785246166,0.6478591273083837
WRD25,resnet50,gaussian_blur,4,13,0.43584548255671174,0.43584548255671174,0.43584548255671174,0.0,0.4521076492717276,0.22328594125555057,0.6321428571428571
WRD25,resnet50,gaussian_blur,4,14,0.7193831305921242,0.7193831305921242,0.7193831305921242,0.0,0.8220635083752954,0.5664981138133076,0.7695877695877695
WRD25,resnet50,gaussian_blur,4,15,0.3287136077985911,0.3287136077985911,0.3997003168508148,0.0709867090522237,0.6516805099478462,0.0,0.3344603134479272
WRD25,resnet50,gaussian_blur,4,16,0.5084413119049948,0.5084413119049948,0.5084413119049948,0.0,0.797236518755506,0.054981634527089075,0.6731057824323893
WRD25,resnet50,gaussian_blur,4,17,0.2586677217203969,0.2586677217203969,0.33505552621137963,0.0763878044909827,0.0,0.24509300833867864,0.5309101568225121
WRD25,resnet50,gaussian_blur,4,18,0.18892261541692582,0.18892261541692582,0.2127869313022762,0.023864315885350373,0.38740065510499455,0.17002412545235224,0.009343065693430658
