dataset,backbone,perturbation,severity,image_idx,cam_shift_jsd,cam_shift_js_distance,cam_shift_js_divergence
WRD25,resnet50,gaussian_blur,4,0,0.2325642819012375,0.2325642819012375,0.0540861452162382
WRD25,resnet50,gaussian_blur,4,1,0.1964407109076248,0.1964407109076248,0.038588952901893
WRD25,resnet50,gaussian_blur,4,2,0.1308377387071804,0.1308377387071804,0.0171185138700084
WRD25,resnet50,gaussian_blur,4,3,0.4297660281233784,0.4297660281233784,0.1846988389289445
WRD25,resnet50,gaussian_blur,4,4,0.3852280553458364,0.3852280553458364,0.1484006546255347
WRD25,resnet50,gaussian_blur,4,5,0.4409463328334583,0.4409463328334583,0.194433668439275
WRD25,resnet50,gaussian_blur,4,6,0.0963924006657427,0.0963924006657427,0.009291494906105
WRD25,resnet50,gaussian_blur,4,7,0.1141015285609749,0.1141015285609749,0.0130191588199509
WRD25,resnet50,gaussian_blur,4,8,0.5303026505625165,0.5303026505625165,0.2812209011936304
WRD25,resnet50,gaussian_blur,4,9,0.2212518652509249,0.2212518652509249,0.0489523878770134
WRD25,resnet50,gaussian_blur,4,10,0.07677238911514,0.07677238911514,0.0058939997304464
WRD25,resnet50,gaussian_blur,4,11,0.0502210406072178,0.0502210406072178,0.0025221529196718
WRD25,resnet50,gaussian_blur,4,12,0.1871810954875538,0.1871810954875538,0.0350367625079207
WRD25,resnet50,gaussian_blur,4,13,0.2076729686464365,0.2076729686464365,0.0431280619064238
WRD25,resnet50,gaussian_blur,4,14,0.0780250936694168,0.0780250936694168,0.0060879152421212
WRD25,resnet50,gaussian_blur,4,15,0.5546531440943019,0.5546531440943019,0.3076401102536944
WRD25,resnet50,gaussian_blur,4,16,0.2528364995420825,0.2528364995420825,0.0639262955006935
WRD25,resnet50,gaussian_blur,4,17,0.3545586251670483,0.3545586251670483,0.1257118186803474
WRD25,resnet50,gaussian_blur,4,18,0.1902486416183199,0.1902486416183199,0.0361945456376159
WRD25,resnet50,gaussian_blur,4,19,0.4980286254133863,0.4980286254133863,0.248032511731147
WRD25,resnet50,gaussian_blur,4,20,0.6731675615982765,0.6731675615982765,0.4531545659881694
WRD25,resnet50,gaussian_blur,4,21,0.5846963822190488,0.5846963822190488,0.341869859380044
WRD25,resnet50,gaussian_blur,4,22,0.0434712466981962,0.0434712466981962,0.0018897492894954
WRD25,resnet50,gaussian_blur,4,23,0.1894734840272678,0.1894734840272678,0.0359002011494313
WRD25,resnet50,gaussian_blur,4,24,0.1565554706790966,0.1565554706790966,0.0245096153995534
WRD25,resnet50,gaussian_blur,4,25,0.5650638179867228,0.5650638179867228,0.3192971183977321
WRD25,resnet50,gaussian_blur,4,26,0.5108937250406932,0.5108937250406932,0.2610123982859554
WRD25,resnet50,gaussian_blur,4,27,0.571103037986156,0.571103037986156,0.3261586799970167
WRD25,resnet50,gaussian_blur,4,28,0.2981619621403343,0.2981619621403343,0.0889005556673741
WRD25,resnet50,gaussian_blur,4,29,0.5330232258407775,0.5330232258407775,0.2841137592857085
WRD25,resnet50,gaussian_blur,4,30,0.2525678021666569,0.2525678021666569,0.0637904946912955
WRD25,resnet50,gaussian_blur,4,31,0.0758770693934159,0.0758770693934159,0.0057573296597332
WRD25,resnet50,gaussian_blur,4,32,0.2676968447038979,0.2676968447038979,0.0716616006644228
WRD25,resnet50,gaussian_blur,4,33,0.3084205222890994,0.3084205222890994,0.0951232185690808
WRD25,resnet50,gaussian_blur,4,34,0.5038913547598112,0.5038913547598112,0.2539064974016778
WRD25,resnet50,gaussian_blur,4,35,0.2455845830380768,0.2455845830380768,0.060311787425986
WRD25,resnet50,gaussian_blur,4,36,0.2945414618928541,0.2945414618928541,0.0867546727739796
WRD25,resnet50,gaussian_blur,4,37,0.5453513643326551,0.5453513643326551,0.2974081105794883
WRD25,resnet50,gaussian_blur,4,38,0.2165163208973722,0.2165163208973722,0.0468793172149338
WRD25,resnet50,gaussian_blur,4,39,0.1392567303258471,0.1392567303258471,0.0193924369410457
WRD25,resnet50,gaussian_blur,4,40,0.1862395421017775,0.1862395421017775,0.0346851670422797
WRD25,resnet50,gaussian_blur,4,41,0.2432654395746966,0.2432654395746966,0.0591780740914703
WRD25,resnet50,gaussian_blur,4,42,0.4906234837473579,0.4906234837473579,0.240711402804394
WRD25,resnet50,gaussian_blur,4,43,0.1388928120834789,0.1388928120834789,0.0192912132484565
WRD25,resnet50,gaussian_blur,4,44,0.7980412271488081,0.7980412271488081,0.6368698002291755
WRD25,resnet50,gaussian_blur,4,45,0.0388241368453867,0.0388241368453867,0.0015073136017893
WRD25,resnet50,gaussian_blur,4,46,0.4782570344920323,0.4782570344920323,0.2287297910411129
WRD25,resnet50,gaussian_blur,4,47,0.3283860566744108,0.3283860566744108,0.1078374022181693
WRD25,resnet50,gaussian_blur,4,48,0.217437887586514,0.217437887586514,0.0472792349580854
WRD25,resnet50,gaussian_blur,4,49,0.2360883731994502,0.2360883731994502,0.0557377199599629
WRD25,resnet50,gaussian_blur,4,50,0.5793924777879398,0.5793924777879398,0.3356956433172482
WRD25,resnet50,gaussian_blur,4,51,0.3383512761147644,0.3383512761147644,0.1144815860484895
WRD25,resnet50,gaussian_blur,4,52,0.3230838224092895,0.3230838224092895,0.1043831563025973
WRD25,resnet50,gaussian_blur,4,53,0.5051890047240586,0.5051890047240586,0.2552159304940848
WRD25,resnet50,gaussian_blur,4,54,0.6281826085750493,0.6281826085750493,0.3946133897161535
WRD25,resnet50,gaussian_blur,4,55,0.04521426759455,0.04521426759455,0.0020443299941115
WRD25,resnet50,gaussian_blur,4,56,0.0728181743817953,0.0728181743817953,0.0053024865202975
WRD25,resnet50,gaussian_blur,4,57,0.1575034515714681,0.1575034515714681,0.0248073372569258
WRD25,resnet50,gaussian_blur,4,58,0.3392810856173335,0.3392810856173335,0.1151116550576764
WRD25,resnet50,gaussian_blur,4,59,0.602912779064234,0.602912779064234,0.3635038191589578
WRD25,resnet50,gaussian_blur,4,60,0.1124289426091058,0.1124289426091058,0.0126402671362016
WRD25,resnet50,gaussian_blur,4,61,0.1317373568755148,0.1317373568755148,0.0173547311965467
WRD25,resnet50,gaussian_blur,4,62,0.5389145830357783,0.5389145830357783,0.2904289278086268
WRD25,resnet50,gaussian_blur,4,63,0.0514598999535304,0.0514598999535304,0.0026481213032273
WRD25,resnet50,gaussian_blur,4,64,0.1473559889429797,0.1473559889429797,0.0217137874773635
WRD25,resnet50,gaussian_blur,4,65,0.2316287369564862,0.2316287369564862,0.053651871784057
WRD25,resnet50,gaussian_blur,4,66,0.4716170160380645,0.4716170160380645,0.222422609816648
WRD25,resnet50,gaussian_blur,4,67,0.0463309628671457,0.0463309628671457,0.0021465581201968
WRD25,resnet50,gaussian_blur,4,68,0.1401254231118921,0.1401254231118921,0.0196351342022868
WRD25,resnet50,gaussian_blur,4,69,0.0771897160175972,0.0771897160175972,0.0059582522588773
WRD25,resnet50,gaussian_blur,4,70,0.1409090367736447,0.1409090367736447,0.0198553566444763
WRD25,resnet50,gaussian_blur,4,71,0.3699190396566564,0.3699190396566564,0.1368400959005029
WRD25,resnet50,gaussian_blur,4,72,0.2129738938767031,0.2129738938767031,0.0453578794730052
WRD25,resnet50,gaussian_blur,4,73,0.2120101985156157,0.2120101985156157,0.0449483242746308
WRD25,resnet50,gaussian_blur,4,74,0.1030566302251826,0.1030566302251826,0.01062066903337
WRD25,resnet50,gaussian_blur,4,75,0.5433063049120164,0.5433063049120164,0.2951817409571489
WRD25,resnet50,gaussian_blur,4,76,0.2596869828080011,0.2596869828080011,0.067437329039923
WRD25,resnet50,gaussian_blur,4,77,0.3500930709881638,0.3500930709881638,0.1225651583539235
WRD25,resnet50,gaussian_blur,4,78,0.3253659681017667,0.3253659681017667,0.1058630131987998
WRD25,resnet50,gaussian_blur,4,79,0.3512739084155875,0.3512739084155875,0.1233933587335625
WRD25,resnet50,gaussian_blur,4,80,0.3508134311523627,0.3508134311523627,0.1230700634768935
WRD25,resnet50,gaussian_blur,4,81,0.0970546636427373,0.0970546636427373,0.0094196077348048
WRD25,resnet50,gaussian_blur,4,82,0.1948194784841187,0.1948194784841187,0.037954629196824
WRD25,resnet50,gaussian_blur,4,83,0.1558838848618896,0.1558838848618896,0.0242997855596348
WRD25,resnet50,gaussian_blur,4,84,0.4539771197906598,0.4539771197906598,0.206095225293423
WRD25,resnet50,gaussian_blur,4,85,0.3269179248756552,0.3269179248756552,0.1068753296050045
WRD25,resnet50,gaussian_blur,4,86,0.1758867383688817,0.1758867383688817,0.0309361447340434
WRD25,resnet50,gaussian_blur,4,87,0.0064268730964205,0.0064268730964205,4.13046977974938e-05
WRD25,resnet50,gaussian_blur,4,88,0.0711394809535636,0.0711394809535636,0.0050608257503424
WRD25,resnet50,gaussian_blur,4,89,0.0407628442540083,0.0407628442540083,0.0016616094716765
WRD25,resnet50,gaussian_blur,4,90,0.204608014083897,0.204608014083897,0.0418644394273561
WRD25,resnet50,gaussian_blur,4,91,0.2241869328530657,0.2241869328530657,0.050259780862065
WRD25,resnet50,gaussian_blur,4,92,0.2900566245741655,0.2900566245741655,0.0841328454593584
WRD25,resnet50,gaussian_blur,4,93,0.6533020585027631,0.6533020585027631,0.4268035796439477
WRD25,resnet50,gaussian_blur,4,94,0.156171411855801,0.156171411855801,0.0243895098810342
WRD25,resnet50,gaussian_blur,4,95,0.154610224067271,0.154610224067271,0.0239043213861317
WRD25,resnet50,gaussian_blur,4,96,0.3806261408111795,0.3806261408111795,0.1448762590688119
WRD25,resnet50,gaussian_blur,4,97,0.4086784467488593,0.4086784467488593,0.1670180728370602
WRD25,resnet50,gaussian_blur,4,98,0.1463087536400091,0.1463087536400091,0.0214062513916928
WRD25,resnet50,gaussian_blur,4,99,0.4160328789253705,0.4160328789253705,0.1730833563469319
WRD25,resnet50,gaussian_blur,4,100,0.3446339844639581,0.3446339844639581,0.1187725832475037
WRD25,resnet50,gaussian_blur,4,101,0.1804112498813916,0.1804112498813916,0.0325482190837659
WRD25,resnet50,gaussian_blur,4,102,0.293709613626668,0.293709613626668,0.0862653371367266
WRD25,resnet50,gaussian_blur,4,103,0.6185762033823934,0.6185762033823934,0.3826365193909761
WRD25,resnet50,gaussian_blur,4,104,0.3840481857196192,0.3840481857196192,0.1474930089545311
WRD25,resnet50,gaussian_blur,4,105,0.3657506119355053,0.3657506119355053,0.1337735101311966
WRD25,resnet50,gaussian_blur,4,106,0.4117463758114584,0.4117463758114584,0.1695350779938707
WRD25,resnet50,gaussian_blur,4,107,0.7856529511803643,0.7856529511803643,0.6172505596984158
WRD25,resnet50,gaussian_blur,4,108,0.3873224882735123,0.3873224882735123,0.1500187099223851
WRD25,resnet50,gaussian_blur,4,109,0.1654062051010429,0.1654062051010429,0.0273592126859282
WRD25,resnet50,gaussian_blur,4,110,0.3787161482116739,0.3787161482116739,0.1434259209162865
WRD25,resnet50,gaussian_blur,4,111,0.3232905082782346,0.3232905082782346,0.1045167527427992
WRD25,resnet50,gaussian_blur,4,112,0.3003050071818418,0.3003050071818418,0.090183097338486
WRD25,resnet50,gaussian_blur,4,113,0.3671997278508249,0.3671997278508249,0.1348356401337198
WRD25,resnet50,gaussian_blur,4,114,0.1847234491725319,0.1847234491725319,0.0341227526741969
WRD25,resnet50,gaussian_blur,4,115,0.3079899513210148,0.3079899513210148,0.0948578101147211
WRD25,resnet50,gaussian_blur,4,116,0.6881214556877159,0.6881214556877159,0.4735111377777811
WRD25,resnet50,gaussian_blur,4,117,0.0644632246997666,0.0644632246997666,0.0041555073386926
WRD25,resnet50,gaussian_blur,4,118,0.0448667247396307,0.0448667247396307,0.0020130229888617
WRD25,resnet50,gaussian_blur,4,119,0.0070912106688386,0.0070912106688386,5.028526874985156e-05
WRD25,resnet50,gaussian_blur,4,120,0.1262402296970098,0.1262402296970098,0.0159365955939537
WRD25,resnet50,gaussian_blur,4,121,0.5513514547490881,0.5513514547490881,0.3039884266539357
WRD25,resnet50,gaussian_blur,4,122,0.2916292778692775,0.2916292778692775,0.0850476357105563
WRD25,resnet50,gaussian_blur,4,123,0.1454045449939958,0.1454045449939958,0.0211424817049109
WRD25,resnet50,gaussian_blur,4,124,0.2779175940944836,0.2779175940944836,0.0772381891072661
WRD25,resnet50,gaussian_blur,4,125,0.1695097575846723,0.1695097575846723,0.0287335579164143
WRD25,resnet50,gaussian_blur,4,126,0.0942275285949747,0.0942275285949747,0.0088788271451167
WRD25,resnet50,gaussian_blur,4,127,0.1310738248335184,0.1310738248335184,0.0171803475564878
WRD25,resnet50,gaussian_blur,4,128,0.1706814662069851,0.1706814662069851,0.0291321629065662
WRD25,resnet50,gaussian_blur,4,129,0.3354619189548558,0.3354619189548558,0.1125346990688742
WRD25,resnet50,gaussian_blur,4,130,0.0412430470935982,0.0412430470935982,0.0017009889335647
WRD25,resnet50,gaussian_blur,4,131,0.1319338725164542,0.1319338725164542,0.0174065467171879
WRD25,resnet50,gaussian_blur,4,132,0.175065669145276,0.175065669145276,0.0306479885132832
WRD25,resnet50,gaussian_blur,4,133,0.3293923704712199,0.3293923704712199,0.1084993337246493
WRD25,resnet50,gaussian_blur,4,134,0.1917530231242538,0.1917530231242538,0.0367692218772906
WRD25,resnet50,gaussian_blur,4,135,0.1215075203714645,0.1215075203714645,0.0147640775068218
WRD25,resnet50,gaussian_blur,4,136,0.1473722485518499,0.1473722485518499,0.0217185796432282
WRD25,resnet50,gaussian_blur,4,137,0.0945115883457116,0.0945115883457116,0.0089324403316292
WRD25,resnet50,gaussian_blur,4,138,0.1372294106450649,0.1372294106450649,0.0188319111459918
WRD25,resnet50,gaussian_blur,4,139,0.3919430369952015,0.3919430369952015,0.1536193442490218
WRD25,resnet50,gaussian_blur,4,140,0.1604797287257038,0.1604797287257038,0.0257537433318754
WRD25,resnet50,gaussian_blur,4,141,0.0838772000644138,0.0838772000644138,0.0070353846906457
WRD25,resnet50,gaussian_blur,4,142,0.3585087472717118,0.3585087472717118,0.1285285218703321
WRD25,resnet50,gaussian_blur,4,143,0.024181150667531,0.024181150667531,0.0005847280476058
WRD25,resnet50,gaussian_blur,4,144,0.1431562330640649,0.1431562330640649,0.0204937070650928
WRD25,resnet50,gaussian_blur,4,145,0.0371534268095929,0.0371534268095929,0.0013803771236957
WRD25,resnet50,gaussian_blur,4,146,0.1370004213081747,0.1370004213081747,0.0187691154386173
WRD25,resnet50,gaussian_blur,4,147,0.2385029027334736,0.2385029027334736,0.0568836346122927
WRD25,resnet50,gaussian_blur,4,148,0.2351698313747381,0.2351698313747381,0.0553048495888227
WRD25,resnet50,gaussian_blur,4,149,0.1380567460331651,0.1380567460331651,0.0190596651252658
WRD25,resnet50,gaussian_blur,4,150,0.0830189760776584,0.0830189760776584,0.0068921503889828
WRD25,resnet50,gaussian_blur,4,151,0.3540258010246874,0.3540258010246874,0.1253342677911715
WRD25,resnet50,gaussian_blur,4,152,0.1588170920229559,0.1588170920229559,0.025222868718628
WRD25,resnet50,gaussian_blur,4,153,0.1557569453925542,0.1557569453925542,0.0242602260380191
WRD25,resnet50,gaussian_blur,4,154,0.4643041838683297,0.4643041838683297,0.2155783751576357
WRD25,resnet50,gaussian_blur,4,155,0.2195799784182461,0.2195799784182461,0.0482153669221574
WRD25,resnet50,gaussian_blur,4,156,0.5491580605799539,0.5491580605799539,0.3015745754999362
WRD25,resnet50,gaussian_blur,4,157,0.205982595208507,0.205982595208507,0.0424288295288316
WRD25,resnet50,gaussian_blur,4,158,0.0944138770396957,0.0944138770396957,0.0089139801776667
WRD25,resnet50,gaussian_blur,4,159,0.1180520678213125,0.1180520678213125,0.0139362907168877
WRD25,resnet50,gaussian_blur,4,160,0.1161502416626577,0.1161502416626577,0.0134908786382937
WRD25,resnet50,gaussian_blur,4,161,0.1679423215497705,0.1679423215497705,0.0282046233675265
WRD25,resnet50,gaussian_blur,4,162,0.515568165496975,0.515568165496975,0.2658105332739162
WRD25,resnet50,gaussian_blur,4,163,0.4712556847119106,0.4712556847119106,0.2220819203732917
WRD25,resnet50,gaussian_blur,4,164,0.1284151269545684,0.1284151269545684,0.0164904448307579
WRD25,resnet50,gaussian_blur,4,165,0.0746394738243247,0.0746394738243247,0.005571051052772
WRD25,resnet50,gaussian_blur,4,166,0.4063228874602594,0.4063228874602594,0.1650982888740426
WRD25,resnet50,gaussian_blur,4,167,0.2119986244141881,0.2119986244141881,0.0449434167535079
WRD25,resnet50,gaussian_blur,4,168,0.4073166770136016,0.4073166770136016,0.1659068753734026
WRD25,resnet50,gaussian_blur,4,169,0.5245792620712946,0.5245792620712946,0.2751834021952639
WRD25,resnet50,gaussian_blur,4,170,0.1276542810382735,0.1276542810382735,0.0162956154673985
WRD25,resnet50,gaussian_blur,4,171,0.4529480421644972,0.4529480421644972,0.2051619289006511
WRD25,resnet50,gaussian_blur,4,172,0.5367081392914647,0.5367081392914647,0.2880556267817062
WRD25,resnet50,gaussian_blur,4,173,0.3983243385838836,0.3983243385838836,0.1586622787082883
WRD25,resnet50,gaussian_blur,4,174,0.3270962541760777,0.3270962541760777,0.1069919594960212
WRD25,resnet50,gaussian_blur,4,175,0.0998269068319936,0.0998269068319936,0.0099654113276435
WRD25,resnet50,gaussian_blur,4,176,0.1403512596842915,0.1403512596842915,0.0196984760949674
WRD25,resnet50,gaussian_blur,4,177,0.2575781288052441,0.2575781288052441,0.0663464924388109
WRD25,resnet50,gaussian_blur,4,178,0.0527122389751152,0.0527122389751152,0.0027785801377696
WRD25,resnet50,gaussian_blur,4,179,0.684108779551701,0.684108779551701,0.4680048222597178
WRD25,resnet50,gaussian_blur,4,180,0.35384040687131,0.35384040687131,0.1252030335348542
WRD25,resnet50,gaussian_blur,4,181,0.6490108386181531,0.6490108386181531,0.4212150686438384
WRD25,resnet50,gaussian_blur,4,182,0.3111703621323481,0.3111703621323481,0.0968269942695766
WRD25,resnet50,gaussian_blur,4,183,0.0928286620792053,0.0928286620792053,0.0086171605034153
WRD25,resnet50,gaussian_blur,4,184,0.1143298063144907,0.1143298063144907,0.0130713046119089
WRD25,resnet50,gaussian_blur,4,185,0.3166041855591444,0.3166041855591444,0.1002382103135691
WRD25,resnet50,gaussian_blur,4,186,0.6473579364240392,0.6473579364240392,0.4190722978511903
WRD25,resnet50,gaussian_blur,4,187,0.136335157085958,0.136335157085958,0.0185872750576528
WRD25,resnet50,gaussian_blur,4,188,0.0507304973314943,0.0507304973314943,0.0025735833595007
WRD25,resnet50,gaussian_blur,4,189,0.0605061535642255,0.0605061535642255,0.0036609946191376
WRD25,resnet50,gaussian_blur,4,190,0.1473158803279639,0.1473158803279639,0.0217019685968029
WRD25,resnet50,gaussian_blur,4,191,0.1382822640230228,0.1382822640230228,0.0191219845433329
WRD25,resnet50,gaussian_blur,4,192,0.4991301187999496,0.4991301187999496,0.2491308754932518
