dataset,backbone,condition,image_idx,entropy
DTSR14,convnext_tiny,clean,0,1.317128897904532
DTSR14,convnext_tiny,clean,1,1.4606347632962156
DTSR14,convnext_tiny,clean,2,0.06649961208093996
DTSR14,convnext_tiny,clean,3,0.5193376881801581
DTSR14,convnext_tiny,clean,4,1.1814493463226508
DTSR14,convnext_tiny,clean,5,0.7514890102546701
DTSR14,convnext_tiny,clean,6,1.079846788844676
DTSR14,convnext_tiny,clean,7,0.25439406693631694
DTSR14,convnext_tiny,clean,8,1.2476748443999501
DTSR14,convnext_tiny,clean,9,1.0133433485771743
DTSR14,convnext_tiny,clean,10,0.9997560561153079
DTSR14,convnext_tiny,clean,11,1.1374303452088714
DTSR14,convnext_tiny,clean,12,0.8737644278858985
DTSR14,convnext_tiny,clean,13,0.8319785306910956
DTSR14,convnext_tiny,clean,14,1.424003746409517
DTSR14,convnext_tiny,clean,15,1.2408624335449419
DTSR14,convnext_tiny,clean,16,1.0464337646513138
DTSR14,convnext_tiny,clean,17,1.52387433819638
DTSR14,convnext_tiny,clean,18,1.0724584678532028
DTSR14,convnext_tiny,clean,19,0.8759998978398604
DTSR14,convnext_tiny,clean,20,0.3799247020412612
DTSR14,convnext_tiny,clean,21,1.1767980225384433
DTSR14,convnext_tiny,clean,22,1.3503070484039261
DTSR14,convnext_tiny,clean,23,1.2222117044208636
DTSR14,convnext_tiny,clean,24,1.2093382085582336
DTSR14,convnext_tiny,clean,25,1.4039354257679646
DTSR14,convnext_tiny,clean,26,1.1620663547502152
DTSR14,convnext_tiny,clean,27,1.5072201355281258
DTSR14,convnext_tiny,clean,28,1.215601336709976
DTSR14,convnext_tiny,clean,29,1.249148618638845
DTSR14,convnext_tiny,clean,30,0.9626781368996067
DTSR14,convnext_tiny,clean,31,0.9670308329967949
DTSR14,convnext_tiny,clean,32,1.3245582494894026
DTSR14,convnext_tiny,clean,33,1.117077746319991
DTSR14,convnext_tiny,clean,34,1.4571950853208107
DTSR14,convnext_tiny,clean,35,1.0047688948156441
DTSR14,convnext_tiny,clean,36,1.009536760833242
DTSR14,convnext_tiny,clean,37,1.0087009968389538
DTSR14,convnext_tiny,clean,38,1.1935890953896564
DTSR14,convnext_tiny,clean,39,1.2232477262568293
DTSR14,convnext_tiny,clean,40,1.3607728580636005
DTSR14,convnext_tiny,clean,41,1.5190678452285162
DTSR14,convnext_tiny,clean,42,1.2269392579313294
DTSR14,convnext_tiny,clean,43,1.0103215553839975
DTSR14,convnext_tiny,clean,44,1.0646594295916894
DTSR14,convnext_tiny,clean,45,1.280671352482213
DTSR14,convnext_tiny,clean,46,1.383066042466706
DTSR14,convnext_tiny,clean,47,1.1200788985184336
DTSR14,convnext_tiny,clean,48,0.3497659553802935
DTSR14,convnext_tiny,clean,49,1.2787091166752218
DTSR14,convnext_tiny,clean,50,1.132343643635683
DTSR14,convnext_tiny,clean,51,1.084049651236257
DTSR14,convnext_tiny,clean,52,1.4306960035753788
DTSR14,convnext_tiny,clean,53,1.2065834168502083
DTSR14,convnext_tiny,clean,54,0.005992011957892656
DTSR14,convnext_tiny,clean,55,0.8823867820336495
DTSR14,convnext_tiny,clean,56,0.9468034470330564
