dataset,backbone,condition,image_idx,entropy
DTSR14,dinov2_b,clean,0,1.5683074068114387
DTSR14,dinov2_b,clean,1,1.505220597287423
DTSR14,dinov2_b,clean,2,1.395576395106651
DTSR14,dinov2_b,clean,3,1.4818951837430974
DTSR14,dinov2_b,clean,4,1.4981922135099803
DTSR14,dinov2_b,clean,5,1.466201210118005
DTSR14,dinov2_b,clean,6,1.3753049620885127
DTSR14,dinov2_b,clean,7,1.3408819590125347
DTSR14,dinov2_b,clean,8,1.5461701816426405
DTSR14,dinov2_b,clean,9,1.5288057783319404
DTSR14,dinov2_b,clean,10,1.5349726887364945
DTSR14,dinov2_b,clean,11,1.5146616582206769
DTSR14,dinov2_b,clean,12,1.5201796316492469
DTSR14,dinov2_b,clean,13,1.43830298794908
DTSR14,dinov2_b,clean,14,1.2220831170043798
DTSR14,dinov2_b,clean,15,1.2232855737229988
DTSR14,dinov2_b,clean,16,1.1922526983176625
DTSR14,dinov2_b,clean,17,1.3453394596396029
DTSR14,dinov2_b,clean,18,1.5081936380641596
DTSR14,dinov2_b,clean,19,1.3540723992547612
DTSR14,dinov2_b,clean,20,1.4479966699463735
DTSR14,dinov2_b,clean,21,1.4471670763036242
DTSR14,dinov2_b,clean,22,1.4074219024378818
DTSR14,dinov2_b,clean,23,1.496572408231983
DTSR14,dinov2_b,clean,24,1.4145253877611985
DTSR14,dinov2_b,clean,25,1.4531831144276324
DTSR14,dinov2_b,clean,26,1.3787973061768355
DTSR14,dinov2_b,clean,27,1.371588336367877
DTSR14,dinov2_b,clean,28,1.5675066894910843
DTSR14,dinov2_b,clean,29,1.3724200664079773
DTSR14,dinov2_b,clean,30,1.5830006762463884
DTSR14,dinov2_b,clean,31,1.376127537007975
DTSR14,dinov2_b,clean,32,1.463194729405486
DTSR14,dinov2_b,clean,33,1.5459178818640975
DTSR14,dinov2_b,clean,34,1.5583566764048806
DTSR14,dinov2_b,clean,35,1.3034155015762408
DTSR14,dinov2_b,clean,36,1.5152483928368934
DTSR14,dinov2_b,clean,37,1.523614286416512
DTSR14,dinov2_b,clean,38,1.5726485929649288
DTSR14,dinov2_b,clean,39,1.3951851178217454
DTSR14,dinov2_b,clean,40,1.5634988786663429
DTSR14,dinov2_b,clean,41,1.3738075699648735
DTSR14,dinov2_b,clean,42,1.522943686461013
DTSR14,dinov2_b,clean,43,1.5454047915303657
DTSR14,dinov2_b,clean,44,1.466270122865215
DTSR14,dinov2_b,clean,45,1.4073287295479258
DTSR14,dinov2_b,clean,46,1.5206722996209638
DTSR14,dinov2_b,clean,47,1.509503343945673
DTSR14,dinov2_b,clean,48,1.3874147735209839
DTSR14,dinov2_b,clean,49,1.5487998607532572
DTSR14,dinov2_b,clean,50,1.4943075836744775
DTSR14,dinov2_b,clean,51,1.5131902096938834
DTSR14,dinov2_b,clean,52,1.523058618196822
DTSR14,dinov2_b,clean,53,1.5633279597453777
DTSR14,dinov2_b,clean,54,1.4862828307257425
DTSR14,dinov2_b,clean,55,1.5071337151542068
DTSR14,dinov2_b,clean,56,1.5168205938643435
DTSR14,dinov2_b,clean,57,1.5586525325628422
DTSR14,dinov2_b,clean,58,1.5459891320430232
DTSR14,dinov2_b,clean,59,1.1925423806362196
DTSR14,dinov2_b,clean,60,1.4923270163896167
DTSR14,dinov2_b,clean,61,1.49903530293832
DTSR14,dinov2_b,clean,62,1.561116335027894
DTSR14,dinov2_b,clean,63,1.2457422598114944
DTSR14,dinov2_b,clean,64,1.5480566222197834
DTSR14,dinov2_b,clean,65,1.4224997125209802
DTSR14,dinov2_b,clean,66,1.3899268480797509
DTSR14,dinov2_b,clean,67,1.4816631026188858
DTSR14,dinov2_b,clean,68,1.313593232735207
DTSR14,dinov2_b,clean,69,1.437817007299101
DTSR14,dinov2_b,clean,70,1.472148295968361
DTSR14,dinov2_b,clean,71,1.2793174820208226
DTSR14,dinov2_b,clean,72,1.4392232813788204
DTSR14,dinov2_b,clean,73,1.5456698447768544
DTSR14,dinov2_b,clean,74,1.4094630419109013
DTSR14,dinov2_b,clean,75,1.450308970296003
DTSR14,dinov2_b,clean,76,1.5797826037557183
DTSR14,dinov2_b,clean,77,1.4784451562816774
DTSR14,dinov2_b,clean,78,1.5819892679055658
DTSR14,dinov2_b,clean,79,1.5515394551769113
DTSR14,dinov2_b,clean,80,1.5102850295440966
DTSR14,dinov2_b,clean,81,1.3923299655798835
