dataset,backbone,perturbation,severity,image_idx,cam_shift_jsd,cam_shift_js_distance,cam_shift_js_divergence
DTSR14,dinov2_b,gaussian_blur,4,0,0.1901017753734394,0.1901017753734394,0.036138685000133605
DTSR14,dinov2_b,gaussian_blur,4,1,0.3292446256349948,0.3292446256349948,0.10840202350952786
DTSR14,dinov2_b,gaussian_blur,4,2,0.07893068113984043,0.07893068113984043,0.006230052425199162
DTSR14,dinov2_b,gaussian_blur,4,3,0.24958092001538967,0.24958092001538967,0.062290635635728335
DTSR14,dinov2_b,gaussian_blur,4,4,0.037918774948545717,0.037918774948545717,0.0014378334935984582
DTSR14,dinov2_b,gaussian_blur,4,5,0.0897100940371975,0.0897100940371975,0.008047900972162817
DTSR14,dinov2_b,gaussian_blur,4,6,0.03164825371010568,0.03164825371010568,0.0010016119628992177
DTSR14,dinov2_b,gaussian_blur,4,7,0.28081297798897026,0.28081297798897026,0.0788559286070339
DTSR14,dinov2_b,gaussian_blur,4,8,0.3274590884492282,0.3274590884492282,0.10722945460799947
DTSR14,dinov2_b,gaussian_blur,4,9,0.12158271266270287,0.12158271266270287,0.01478235601842137
DTSR14,dinov2_b,gaussian_blur,4,10,0.0877569314656101,0.0877569314656101,0.007701279020259789
DTSR14,dinov2_b,gaussian_blur,4,11,0.374460602034123,0.374460602034123,0.14022074247575786
DTSR14,dinov2_b,gaussian_blur,4,12,0.37264490994388905,0.37264490994388905,0.1388642289070892
DTSR14,dinov2_b,gaussian_blur,4,13,0.1620780937295296,0.1620780937295296,0.026269308466998185
DTSR14,dinov2_b,gaussian_blur,4,14,0.07331820309800134,0.07331820309800134,0.005375558905519774
DTSR14,dinov2_b,gaussian_blur,4,15,0.10445631681911419,0.10445631681911419,0.010911122123415157
DTSR14,dinov2_b,gaussian_blur,4,16,0.22329968923544158,0.22329968923544158,0.04986275121264478
DTSR14,dinov2_b,gaussian_blur,4,17,0.07723226612415335,0.07723226612415335,0.0059648229306720445
DTSR14,dinov2_b,gaussian_blur,4,18,0.23231287419841432,0.23231287419841432,0.053969271518328275
DTSR14,dinov2_b,gaussian_blur,4,19,0.052878937190570824,0.052878937190570824,0.002796181998404334
DTSR14,dinov2_b,gaussian_blur,4,20,0.07650594007184526,0.07650594007184526,0.005853158866276778
DTSR14,dinov2_b,gaussian_blur,4,21,0.09650242778985148,0.09650242778985148,0.009312718569335498
DTSR14,dinov2_b,gaussian_blur,4,22,0.1962988004393427,0.1962988004393427,0.038533219053924886
DTSR14,dinov2_b,gaussian_blur,4,23,0.3042913748030129,0.3042913748030129,0.09259324077950766
DTSR14,dinov2_b,gaussian_blur,4,24,0.12277808431008075,0.12277808431008075,0.015074457986853296
DTSR14,dinov2_b,gaussian_blur,4,25,0.16268700325819221,0.16268700325819221,0.026467061029131045
DTSR14,dinov2_b,gaussian_blur,4,26,0.09135143698958184,0.09135143698958184,0.008345085040061541
DTSR14,dinov2_b,gaussian_blur,4,27,0.06831668912381487,0.06831668912381487,0.004667170012839965
DTSR14,dinov2_b,gaussian_blur,4,28,0.13026033167333423,0.13026033167333423,0.01696775400764704
DTSR14,dinov2_b,gaussian_blur,4,29,0.46477209554360605,0.46477209554360605,0.21601310079599487
DTSR14,dinov2_b,gaussian_blur,4,30,0.04119831043625284,0.04119831043625284,0.0016973007828018597
DTSR14,dinov2_b,gaussian_blur,4,31,0.12405503041019336,0.12405503041019336,0.015389650570074
DTSR14,dinov2_b,gaussian_blur,4,32,0.14632488739527777,0.14632488739527777,0.02141097267124072
DTSR14,dinov2_b,gaussian_blur,4,33,0.03367736584321175,0.03367736584321175,0.0011341649701375254
DTSR14,dinov2_b,gaussian_blur,4,34,0.20974603676623976,0.20974603676623976,0.0439933999391448
DTSR14,dinov2_b,gaussian_blur,4,35,0.31913564003463474,0.31913564003463474,0.10184755674031595
DTSR14,dinov2_b,gaussian_blur,4,36,0.09189114856581695,0.09189114856581695,0.008443983184745043
DTSR14,dinov2_b,gaussian_blur,4,37,0.07802183082021917,0.07802183082021917,0.006087406084538902
DTSR14,dinov2_b,gaussian_blur,4,38,0.13783246690407208,0.13783246690407208,0.018997788932862126
DTSR14,dinov2_b,gaussian_blur,4,39,0.19927613484338927,0.19927613484338927,0.039710977918120664
DTSR14,dinov2_b,gaussian_blur,4,40,0.03894206558859144,0.03894206558859144,0.0015164844723061573
DTSR14,dinov2_b,gaussian_blur,4,41,0.10757891876883494,0.10757891876883494,0.011573223763471585
DTSR14,dinov2_b,gaussian_blur,4,42,0.10521822313873469,0.10521822313873469,0.011070874480472564
DTSR14,dinov2_b,gaussian_blur,4,43,0.16310500740341724,0.16310500740341724,0.026603243440068793
DTSR14,dinov2_b,gaussian_blur,4,44,0.059636023491965486,0.059636023491965486,0.0035564552979342593
DTSR14,dinov2_b,gaussian_blur,4,45,0.04198896815401013,0.04198896815401013,0.001763073446638477
DTSR14,dinov2_b,gaussian_blur,4,46,0.13671487697553114,0.13671487697553114,0.018690957586434614
DTSR14,dinov2_b,gaussian_blur,4,47,0.13305366853111733,0.13305366853111733,0.017703278709588443
DTSR14,dinov2_b,gaussian_blur,4,48,0.04687843766022474,0.04687843766022474,0.002197587917463577
DTSR14,dinov2_b,gaussian_blur,4,49,0.025660288004985838,0.025660288004985838,0.00065845038049882
DTSR14,dinov2_b,gaussian_blur,4,50,0.04429673937612561,0.04429673937612561,0.0019622011193563974
DTSR14,dinov2_b,gaussian_blur,4,51,0.20464358379105083,0.20464358379105083,0.04187899638684484
DTSR14,dinov2_b,gaussian_blur,4,52,0.045497868906523284,0.045497868906523284,0.0020700560750351784
DTSR14,dinov2_b,gaussian_blur,4,53,0.08099599169023317,0.08099599169023317,0.00656035066988432
DTSR14,dinov2_b,gaussian_blur,4,54,0.18723373586372244,0.18723373586372244,0.03505647184548618
DTSR14,dinov2_b,gaussian_blur,4,55,0.032636659303944236,0.032636659303944236,0.00106515153052173
DTSR14,dinov2_b,gaussian_blur,4,56,0.06111082703882397,0.06111082703882397,0.003734533181369059
DTSR14,dinov2_b,gaussian_blur,4,57,0.11424574311998903,0.11424574311998903,0.013052089821038521
DTSR14,dinov2_b,gaussian_blur,4,58,0.02730358310827791,0.02730358310827791,0.0007454856505506388
DTSR14,dinov2_b,gaussian_blur,4,59,0.25018268045343367,0.25018268045343367,0.06259137359886491
DTSR14,dinov2_b,gaussian_blur,4,60,0.25099155796774,0.25099155796774,0.06299676217107338
DTSR14,dinov2_b,gaussian_blur,4,61,0.2083435998420259,0.2083435998420259,0.04340705559513422
DTSR14,dinov2_b,gaussian_blur,4,62,0.04949077276175143,0.04949077276175143,0.002449336588555317
DTSR14,dinov2_b,gaussian_blur,4,63,0.028858472123448945,0.028858472123448945,0.0008328114132998798
DTSR14,dinov2_b,gaussian_blur,4,64,0.07305333703255572,0.07305333703255572,0.005336790051592177
DTSR14,dinov2_b,gaussian_blur,4,65,0.2094306342656607,0.2094306342656607,0.04386119056891693
DTSR14,dinov2_b,gaussian_blur,4,66,0.2057279402131712,0.2057279402131712,0.04232398538435415
DTSR14,dinov2_b,gaussian_blur,4,67,0.14476426176223786,0.14476426176223786,0.02095669148356572
DTSR14,dinov2_b,gaussian_blur,4,68,0.17814346910408843,0.17814346910408843,0.03173509558443931
DTSR14,dinov2_b,gaussian_blur,4,69,0.014766357449908844,0.014766357449908844,0.0002180453123384784
DTSR14,dinov2_b,gaussian_blur,4,70,0.07452713188309086,0.07452713188309086,0.005554293386719618
DTSR14,dinov2_b,gaussian_blur,4,71,0.11565399476931529,0.11565399476931529,0.013375846506100807
DTSR14,dinov2_b,gaussian_blur,4,72,0.12876134252344285,0.12876134252344285,0.016579483328439372
DTSR14,dinov2_b,gaussian_blur,4,73,0.142768838685178,0.142768838685178,0.02038294129951438
DTSR14,dinov2_b,gaussian_blur,4,74,0.12453577623086787,0.12453577623086787,0.015509159561424794
DTSR14,dinov2_b,gaussian_blur,4,75,0.09696151754341446,0.09696151754341446,0.00940153588432187
DTSR14,dinov2_b,gaussian_blur,4,76,0.08026814065797291,0.08026814065797291,0.006442974404688125
DTSR14,dinov2_b,gaussian_blur,4,77,0.2737347289968042,0.2737347289968042,0.07493070185895383
DTSR14,dinov2_b,gaussian_blur,4,78,0.11448023802928123,0.11448023802928123,0.013105724899240888
DTSR14,dinov2_b,gaussian_blur,4,79,0.1779787417541927,0.1779787417541927,0.03167643251640562
DTSR14,dinov2_b,gaussian_blur,4,80,0.2367164694848142,0.2367164694848142,0.05603468692535497
DTSR14,dinov2_b,gaussian_blur,4,81,0.07999334196605797,0.07999334196605797,0.006398934758898691
DTSR14,dinov2_b,gaussian_blur,4,82,0.1900313144683515,0.1900313144683515,0.0361119004785695
DTSR14,dinov2_b,gaussian_blur,4,83,0.2878010323983898,0.2878010323983898,0.082829434249579
DTSR14,dinov2_b,gaussian_blur,4,84,0.10822042960738262,0.10822042960738262,0.011711661384406458
DTSR14,dinov2_b,gaussian_blur,4,85,0.34633042090265254,0.34633042090265254,0.11994476044260846
DTSR14,dinov2_b,gaussian_blur,4,86,0.07418460458310935,0.07418460458310935,0.005503355557152289
DTSR14,dinov2_b,gaussian_blur,4,87,0.0069246435368491175,0.0069246435368491175,4.795068811242626e-05
DTSR14,dinov2_b,gaussian_blur,4,88,0.22696306007976774,0.22696306007976774,0.05151223064077226
DTSR14,dinov2_b,gaussian_blur,4,89,0.3110835574203796,0.3110835574203796,0.0967729796973186
DTSR14,dinov2_b,gaussian_blur,4,90,0.0776893767659202,0.0776893767659202,0.006035639262277103
DTSR14,dinov2_b,gaussian_blur,4,91,0.11557882626558519,0.11557882626558519,0.013358465080930325
DTSR14,dinov2_b,gaussian_blur,4,92,0.09414303496974243,0.09414303496974243,0.008862911033314146
DTSR14,dinov2_b,gaussian_blur,4,93,0.11764098796976791,0.11764098796976791,0.013839402050503078
DTSR14,dinov2_b,gaussian_blur,4,94,0.09927751940105897,0.09927751940105897,0.00985602585842764
DTSR14,dinov2_b,gaussian_blur,4,95,0.057563492270057026,0.057563492270057026,0.003313555642324915
DTSR14,dinov2_b,gaussian_blur,4,96,0.036835167760647776,0.036835167760647776,0.0013568295839550652
DTSR14,dinov2_b,gaussian_blur,4,97,0.2780919730648888,0.2780919730648888,0.07733514548312284
DTSR14,dinov2_b,gaussian_blur,4,98,0.04922939255888342,0.04922939255888342,0.0024235330917166463
DTSR14,dinov2_b,gaussian_blur,4,99,0.1330287201733232,0.1330287201733232,0.01769664039095233
DTSR14,dinov2_b,gaussian_blur,4,100,0.11755494314480525,0.11755494314480525,0.013819164657778394
DTSR14,dinov2_b,gaussian_blur,4,101,0.01990844360994854,0.01990844360994854,0.0003963461269705009
DTSR14,dinov2_b,gaussian_blur,4,102,0.05624442891606918,0.05624442891606918,0.0031634357840947588
DTSR14,dinov2_b,gaussian_blur,4,103,0.05399788148220505,0.05399788148220505,0.0029157712045662634
DTSR14,dinov2_b,gaussian_blur,4,104,0.06611297327969133,0.06611297327969133,0.0043709252358811795
DTSR14,dinov2_b,gaussian_blur,4,105,0.19103832630553788,0.19103832630553788,0.036495642117621165
DTSR14,dinov2_b,gaussian_blur,4,106,0.24270931074192617,0.24270931074192617,0.05890780952082088
DTSR14,dinov2_b,gaussian_blur,4,107,0.034152980629116626,0.034152980629116626,0.0011664260858528154
DTSR14,dinov2_b,gaussian_blur,4,108,0.10065549797172052,0.10065549797172052,0.010131529271935034
DTSR14,dinov2_b,gaussian_blur,4,109,0.13841261374042804,0.13841261374042804,0.01915805164245693
DTSR14,dinov2_b,gaussian_blur,4,110,0.068953538111242,0.068953538111242,0.004754590418058502
DTSR14,dinov2_b,gaussian_blur,4,111,0.07572437356070254,0.07572437356070254,0.0057341807511608256
DTSR14,dinov2_b,gaussian_blur,4,112,0.15678353252554178,0.15678353252554178,0.02458107607118762
DTSR14,dinov2_b,gaussian_blur,4,113,0.05919650614010672,0.05919650614010672,0.003504226339195693
DTSR14,dinov2_b,gaussian_blur,4,114,0.1447173493260901,0.1447173493260901,0.020943111195969588
DTSR14,dinov2_b,gaussian_blur,4,115,0.2160375619371813,0.2160375619371813,0.04667222816776145
DTSR14,dinov2_b,gaussian_blur,4,116,0.136930858403871,0.136930858403871,0.018750059983220973
DTSR14,dinov2_b,gaussian_blur,4,117,0.04621811883787868,0.04621811883787868,0.002136114508912276
DTSR14,dinov2_b,gaussian_blur,4,118,0.05772830676913216,0.05772830676913216,0.0033325574024310302
DTSR14,dinov2_b,gaussian_blur,4,119,0.20442793726951344,0.20442793726951344,0.041790781536268126
DTSR14,dinov2_b,gaussian_blur,4,120,0.38701234708108123,0.38701234708108123,0.14977855679320728
DTSR14,dinov2_b,gaussian_blur,4,121,0.10566454347988054,0.10566454347988054,0.011164995748811565
DTSR14,dinov2_b,gaussian_blur,4,122,0.015320961578841082,0.015320961578841082,0.00023473186370032463
DTSR14,dinov2_b,gaussian_blur,4,123,0.18194918765437207,0.18194918765437207,0.0331055068880859
DTSR14,dinov2_b,gaussian_blur,4,124,0.18048863428714945,0.18048863428714945,0.032576147106840384
DTSR14,dinov2_b,gaussian_blur,4,125,0.27073049028014,0.27073049028014,0.07329499836732499
DTSR14,dinov2_b,gaussian_blur,4,126,0.06349865769957998,0.06349865769957998,0.004032079529648428
DTSR14,dinov2_b,gaussian_blur,4,127,0.1424518876026878,0.1424518876026878,0.020292540281568794
DTSR14,dinov2_b,gaussian_blur,4,128,0.0336032624654644,0.0336032624654644,0.0011291792483228884
DTSR14,dinov2_b,gaussian_blur,4,129,0.17692133875427932,0.17692133875427932,0.031301160106606454
DTSR14,dinov2_b,gaussian_blur,4,130,0.20953623924396098,0.20953623924396098,0.043905435556502455
DTSR14,dinov2_b,gaussian_blur,4,131,0.1874401693306996,0.1874401693306996,0.03513381707872134
DTSR14,dinov2_b,gaussian_blur,4,132,0.07780035968173159,0.07780035968173159,0.006052895966606806
DTSR14,dinov2_b,gaussian_blur,4,133,0.13035026240181233,0.13035026240181233,0.016991190908221328
DTSR14,dinov2_b,gaussian_blur,4,134,0.3430421523526978,0.3430421523526978,0.11767791829077154
DTSR14,dinov2_b,gaussian_blur,4,135,0.3369309395093361,0.3369309395093361,0.11352245799864391
DTSR14,dinov2_b,gaussian_blur,4,136,0.23896799271541466,0.23896799271541466,0.057105701542434474
DTSR14,dinov2_b,gaussian_blur,4,137,0.2123838783261098,0.2123838783261098,0.04510691177283981
DTSR14,dinov2_b,gaussian_blur,4,138,0.20896681877494286,0.20896681877494286,0.043667131348919815
DTSR14,dinov2_b,gaussian_blur,4,139,0.09007468604469442,0.09007468604469442,0.008113449066050268
DTSR14,dinov2_b,gaussian_blur,4,140,0.2221542799517651,0.2221542799517651,0.04935252410088722
DTSR14,dinov2_b,gaussian_blur,4,141,0.03769030811748278,0.03769030811748278,0.0014205593259907882
DTSR14,dinov2_b,gaussian_blur,4,142,0.19550448283760455,0.19550448283760455,0.03822200280959921
DTSR14,dinov2_b,gaussian_blur,4,143,0.035589834828661154,0.035589834828661154,0.0012666363431313825
DTSR14,dinov2_b,gaussian_blur,4,144,0.3728959392717966,0.3728959392717966,0.13905138152539542
DTSR14,dinov2_b,gaussian_blur,4,145,0.05508369364133784,0.05508369364133784,0.003034213305172763
DTSR14,dinov2_b,gaussian_blur,4,146,0.29466626638928983,0.29466626638928983,0.08682820854780392
DTSR14,dinov2_b,gaussian_blur,4,147,0.1092843729719224,0.1092843729719224,0.011943074175866241
DTSR14,dinov2_b,gaussian_blur,4,148,0.13620384687655582,0.13620384687655582,0.018551487903972264
DTSR14,dinov2_b,gaussian_blur,4,149,0.4064153234813876,0.4064153234813876,0.16517341516048092
DTSR14,dinov2_b,gaussian_blur,4,150,0.34079872752027685,0.34079872752027685,0.1161437726794399
DTSR14,dinov2_b,gaussian_blur,4,151,0.618305691826244,0.618305691826244,0.38230192854473016
DTSR14,dinov2_b,gaussian_blur,4,152,0.27802899932822145,0.27802899932822145,0.07730012446745216
DTSR14,dinov2_b,gaussian_blur,4,153,0.4455011528346719,0.4455011528346719,0.19847127717702168
DTSR14,dinov2_b,gaussian_blur,4,154,0.4337069432708024,0.4337069432708024,0.18810171264130301
DTSR14,dinov2_b,gaussian_blur,4,155,0.25923170181252675,0.25923170181252675,0.06720107522461878
DTSR14,dinov2_b,gaussian_blur,4,156,0.25796578008879073,0.25796578008879073,0.06654634369681835
DTSR14,dinov2_b,gaussian_blur,4,157,0.29724643847909926,0.29724643847909926,0.08835544518850895
DTSR14,dinov2_b,gaussian_blur,4,158,0.13628130191408563,0.13628130191408563,0.01857259325139816
DTSR14,dinov2_b,gaussian_blur,4,159,0.06334763934510405,0.06334763934510405,0.004012923410597375
DTSR14,dinov2_b,gaussian_blur,4,160,0.027327121776034358,0.027327121776034358,0.0007467715845622112
DTSR14,dinov2_b,gaussian_blur,4,161,0.038620447690570214,0.038620447690570214,0.0014915389798200703
DTSR14,dinov2_b,gaussian_blur,4,162,0.2730627827016849,0.2730627827016849,0.07456328329678757
DTSR14,dinov2_b,gaussian_blur,4,163,0.10592206387848915,0.10592206387848915,0.011219483616278737
DTSR14,dinov2_b,gaussian_blur,4,164,0.02890357636441747,0.02890357636441747,0.0008354167266537121
DTSR14,dinov2_b,gaussian_blur,4,165,0.15598989126717064,0.15598989126717064,0.024332846177543718
DTSR14,dinov2_b,gaussian_blur,4,166,0.2351013130409469,0.2351013130409469,0.05527262739357731
DTSR14,dinov2_b,gaussian_blur,4,167,0.1377841614757997,0.1377841614757997,0.018984475153589243
DTSR14,dinov2_b,gaussian_blur,4,168,0.05539470265198913,0.05539470265198913,0.003068573081902292
DTSR14,dinov2_b,gaussian_blur,4,169,0.06556741191677641,0.06556741191677641,0.004299085505464233
DTSR14,dinov2_b,gaussian_blur,4,170,0.09089563478954943,0.09089563478954943,0.008262016423795149
DTSR14,dinov2_b,gaussian_blur,4,171,0.19549870877627476,0.19549870877627476,0.03821974513319069
DTSR14,dinov2_b,gaussian_blur,4,172,0.06706677556475478,0.06706677556475478,0.004497952384653189
DTSR14,dinov2_b,gaussian_blur,4,173,0.251842472252536,0.251842472252536,0.06342463083026935
DTSR14,dinov2_b,gaussian_blur,4,174,0.03854139548683559,0.03854139548683559,0.0014854391660726709
DTSR14,dinov2_b,gaussian_blur,4,175,0.4229788126579453,0.4229788126579453,0.17891107595752517
DTSR14,dinov2_b,gaussian_blur,4,176,0.14416124377873887,0.14416124377873887,0.020782464207832977
DTSR14,dinov2_b,gaussian_blur,4,177,0.0944896934876276,0.0944896934876276,0.008928302175385814
DTSR14,dinov2_b,gaussian_blur,4,178,0.2523555800378111,0.2523555800378111,0.0636833387762201
DTSR14,dinov2_b,gaussian_blur,4,179,0.3583415468827812,0.3583415468827812,0.12840866422234448
DTSR14,dinov2_b,gaussian_blur,4,180,0.1303259506029193,0.1303259506029193,0.01698485340055456
DTSR14,dinov2_b,gaussian_blur,4,181,0.05360161674892448,0.05360161674892448,0.0028731333180985817
DTSR14,dinov2_b,gaussian_blur,4,182,0.18566880845416045,0.18566880845416045,0.03447290643278772
DTSR14,dinov2_b,gaussian_blur,4,183,0.24946509070126574,0.24946509070126574,0.062232831478590746
DTSR14,dinov2_b,gaussian_blur,4,184,0.2430068393671802,0.2430068393671802,0.05905232397922652
DTSR14,dinov2_b,gaussian_blur,4,185,0.10786139195913637,0.10786139195913637,0.011634079875362448
DTSR14,dinov2_b,gaussian_blur,4,186,0.02645566717871564,0.02645566717871564,0.000699902325870972
DTSR14,dinov2_b,gaussian_blur,4,187,0.35949684569142587,0.35949684569142587,0.12923798206208487
DTSR14,dinov2_b,gaussian_blur,4,188,0.1746248435613178,0.1746248435613178,0.030493835988814715
DTSR14,dinov2_b,gaussian_blur,4,189,0.08630076401180699,0.08630076401180699,0.0074478218690216
DTSR14,dinov2_b,gaussian_blur,4,190,0.1607711134377127,0.1607711134377127,0.025847350916001884
DTSR14,dinov2_b,gaussian_blur,4,191,0.042108715501672014,0.042108715501672014,0.001773143921200753
DTSR14,dinov2_b,gaussian_blur,4,192,0.3509760204393153,0.3509760204393153,0.12318416692341867
DTSR14,dinov2_b,gaussian_blur,4,193,0.07485411078020603,0.07485411078020603,0.005603137900695356
DTSR14,dinov2_b,gaussian_blur,4,194,0.13567946158143238,0.13567946158143238,0.018408916295027385
DTSR14,dinov2_b,gaussian_blur,4,195,0.2825740285538337,0.2825740285538337,0.07984808161314282
DTSR14,dinov2_b,gaussian_blur,4,196,0.18644145696239578,0.18644145696239578,0.034760416874260874
DTSR14,dinov2_b,gaussian_blur,4,197,0.08492627332663034,0.08492627332663034,0.007212471901149525
DTSR14,dinov2_b,gaussian_blur,4,198,0.14838676856838148,0.14838676856838148,0.022018633086166407
DTSR14,dinov2_b,gaussian_blur,4,199,0.10167217673760763,0.10167217673760763,0.010337231522563323
DTSR14,dinov2_b,gaussian_blur,8,0,0.09780149756724738,0.09780149756724738,0.009565132926396294
DTSR14,dinov2_b,gaussian_blur,8,1,0.1731235686133327,0.1731235686133327,0.029971770009415314
DTSR14,dinov2_b,gaussian_blur,8,2,0.12562863726098164,0.12562863726098164,0.015782554500051303
DTSR14,dinov2_b,gaussian_blur,8,3,0.2745597354744539,0.2745597354744539,0.07538304834380209
DTSR14,dinov2_b,gaussian_blur,8,4,0.06354202875715535,0.06354202875715535,0.0040375894185751575
DTSR14,dinov2_b,gaussian_blur,8,5,0.07679343161927196,0.07679343161927196,0.005897231139863799
DTSR14,dinov2_b,gaussian_blur,8,6,0.23248284479958012,0.23248284479958012,0.054048273126105655
