dataset,backbone,condition,image_idx,entropy
DTSR14,efficientnet_b3,clean,0,1.217003183964143
DTSR14,efficientnet_b3,clean,1,1.1732512848003667
DTSR14,efficientnet_b3,clean,2,1.482122776611579
DTSR14,efficientnet_b3,clean,3,1.4211950149465005
DTSR14,efficientnet_b3,clean,4,1.4223381574092233
DTSR14,efficientnet_b3,clean,5,1.5392238902527744
DTSR14,efficientnet_b3,clean,6,1.4097894831006499
DTSR14,efficientnet_b3,clean,7,1.5225456224541825
DTSR14,efficientnet_b3,clean,8,1.4324295131832736
DTSR14,efficientnet_b3,clean,9,1.5230969467263646
DTSR14,efficientnet_b3,clean,10,1.5049027889864548
DTSR14,efficientnet_b3,clean,11,1.5561092364004971
DTSR14,efficientnet_b3,clean,12,1.5008862535264993
DTSR14,efficientnet_b3,clean,13,1.5721409653604264
DTSR14,efficientnet_b3,clean,14,1.3844954836231687
DTSR14,efficientnet_b3,clean,15,1.4233823929943616
DTSR14,efficientnet_b3,clean,16,1.5241728857552272
DTSR14,efficientnet_b3,clean,17,1.4553895822726932
DTSR14,efficientnet_b3,clean,18,1.3249382802409346
DTSR14,efficientnet_b3,clean,19,1.437448040552663
DTSR14,efficientnet_b3,clean,20,1.4579701676604047
DTSR14,efficientnet_b3,clean,21,1.4044881570057768
DTSR14,efficientnet_b3,clean,22,1.553933901959173
DTSR14,efficientnet_b3,clean,23,1.3619777966516846
DTSR14,efficientnet_b3,clean,24,1.4417694173174842
DTSR14,efficientnet_b3,clean,25,1.4367037851255198
DTSR14,efficientnet_b3,clean,26,1.280723280598485
DTSR14,efficientnet_b3,clean,27,1.4362487086546902
DTSR14,efficientnet_b3,clean,28,1.4359181095516986
DTSR14,efficientnet_b3,clean,29,1.2050095398713845
DTSR14,efficientnet_b3,clean,30,1.3398348435352694
DTSR14,efficientnet_b3,clean,31,1.2181070692103089
DTSR14,efficientnet_b3,clean,32,1.4233780359512596
DTSR14,efficientnet_b3,clean,33,1.512243958201367
DTSR14,efficientnet_b3,clean,34,1.449796294048448
