dataset,backbone,perturbation,severity,image_idx,cam_shift_jsd,cam_shift_js_distance,cam_shift_js_divergence
DTSR14,efficientnet_b3,gaussian_blur,4,0,0.4819114803959127,0.4819114803959127,0.23223867493738015
DTSR14,efficientnet_b3,gaussian_blur,4,1,0.5044563548257011,0.5044563548257011,0.25447621392403363
DTSR14,efficientnet_b3,gaussian_blur,4,2,0.33894357464163516,0.33894357464163516,0.1148827467908497
DTSR14,efficientnet_b3,gaussian_blur,4,3,0.37430469158452134,0.37430469158452134,0.14010400214218363
DTSR14,efficientnet_b3,gaussian_blur,4,4,0.3828982983264528,0.3828982983264528,0.14661110686129322
DTSR14,efficientnet_b3,gaussian_blur,4,5,0.2905183185944758,0.2905183185944758,0.08440089343896134
DTSR14,efficientnet_b3,gaussian_blur,4,6,0.34669681511085687,0.34669681511085687,0.12019868160801167
DTSR14,efficientnet_b3,gaussian_blur,4,7,0.20837244471682992,0.20837244471682992,0.04341907571726834
DTSR14,efficientnet_b3,gaussian_blur,4,8,0.2510264136975907,0.2510264136975907,0.06301426037387396
DTSR14,efficientnet_b3,gaussian_blur,4,9,0.44983383870419164,0.44983383870419164,0.2023504824433487
DTSR14,efficientnet_b3,gaussian_blur,4,10,0.12515466278267834,0.12515466278267834,0.01566368961624593
DTSR14,efficientnet_b3,gaussian_blur,4,11,0.28311113300173574,0.28311113300173574,0.0801519136295265
DTSR14,efficientnet_b3,gaussian_blur,4,12,0.22167554944703108,0.22167554944703108,0.04914004922264312
DTSR14,efficientnet_b3,gaussian_blur,4,13,0.28212124715839304,0.28212124715839304,0.07959239809820709
DTSR14,efficientnet_b3,gaussian_blur,4,14,0.043844363753750164,0.043844363753750164,0.001922328232971161
DTSR14,efficientnet_b3,gaussian_blur,4,15,0.07086591262012855,0.07086591262012855,0.005021977571483695
DTSR14,efficientnet_b3,gaussian_blur,4,16,0.22302446451775226,0.22302446451775226,0.04973991177343014
DTSR14,efficientnet_b3,gaussian_blur,4,17,0.05157153409538027,0.05157153409538027,0.0026596231289509695
DTSR14,efficientnet_b3,gaussian_blur,4,18,0.020033133574957725,0.020033133574957725,0.0004013264408320985
DTSR14,efficientnet_b3,gaussian_blur,4,19,0.348802572590722,0.348802572590722,0.1216632346459059
DTSR14,efficientnet_b3,gaussian_blur,4,20,0.15957530723834798,0.15957530723834798,0.025464278680213153
