dataset,backbone,condition,image_idx,entropy
DTSR14,hrnet32,clean,0,1.5673714035445503
DTSR14,hrnet32,clean,1,1.547159120687727
DTSR14,hrnet32,clean,2,1.2122274641247495
DTSR14,hrnet32,clean,3,1.4545965359318198
DTSR14,hrnet32,clean,4,1.575541456372418
DTSR14,hrnet32,clean,5,1.5343017379320734
DTSR14,hrnet32,clean,6,1.4571536970159544
DTSR14,hrnet32,clean,7,1.4229661946524166
DTSR14,hrnet32,clean,8,1.4274151655708867
DTSR14,hrnet32,clean,9,1.3647162915711442
DTSR14,hrnet32,clean,10,1.4504545552204995
DTSR14,hrnet32,clean,11,1.2026691262934053
DTSR14,hrnet32,clean,12,1.3946614185004775
DTSR14,hrnet32,clean,13,1.5737643227959544
DTSR14,hrnet32,clean,14,1.4761402417606917
DTSR14,hrnet32,clean,15,1.4412139402486903
DTSR14,hrnet32,clean,16,1.420820089028225
DTSR14,hrnet32,clean,17,1.399744819831144
DTSR14,hrnet32,clean,18,1.5764041582812314
DTSR14,hrnet32,clean,19,1.4015258216635227
DTSR14,hrnet32,clean,20,1.2278600729854674
DTSR14,hrnet32,clean,21,1.5605198830281135
DTSR14,hrnet32,clean,22,1.5520000376033538
DTSR14,hrnet32,clean,23,1.5039107006765553
DTSR14,hrnet32,clean,24,1.3871313393637623
DTSR14,hrnet32,clean,25,1.2787272078936145
DTSR14,hrnet32,clean,26,1.5666230859972572
DTSR14,hrnet32,clean,27,1.4153694589644399
DTSR14,hrnet32,clean,28,1.5579156445871105
DTSR14,hrnet32,clean,29,1.307863205440435
DTSR14,hrnet32,clean,30,1.5603587445428413
DTSR14,hrnet32,clean,31,1.4559417367570342
DTSR14,hrnet32,clean,32,1.5739632444911205
DTSR14,hrnet32,clean,33,1.5515698842902057
DTSR14,hrnet32,clean,34,1.2439790846407894
DTSR14,hrnet32,clean,35,1.5757400740748206
DTSR14,hrnet32,clean,36,1.5203211297880141
DTSR14,hrnet32,clean,37,1.381675726123916
DTSR14,hrnet32,clean,38,1.300841308047173
DTSR14,hrnet32,clean,39,1.1736238932995067
DTSR14,hrnet32,clean,40,1.474295251962158
DTSR14,hrnet32,clean,41,1.358217700551319
DTSR14,hrnet32,clean,42,1.5496311015481805
DTSR14,hrnet32,clean,43,1.4609132381632808
DTSR14,hrnet32,clean,44,1.4086930074989177
DTSR14,hrnet32,clean,45,1.5740500364601342
DTSR14,hrnet32,clean,46,1.55664297646738
DTSR14,hrnet32,clean,47,1.3440991976163414
DTSR14,hrnet32,clean,48,1.3180860431995143
DTSR14,hrnet32,clean,49,1.3012685822916121
DTSR14,hrnet32,clean,50,1.5768520117896183
DTSR14,hrnet32,clean,51,1.523010985343042
DTSR14,hrnet32,clean,52,1.5767971358050292
DTSR14,hrnet32,clean,53,1.5160835577733829
DTSR14,hrnet32,clean,54,1.3037316600790898
DTSR14,hrnet32,clean,55,1.5754670457982831
DTSR14,hrnet32,clean,56,1.5534201718412057
DTSR14,hrnet32,clean,57,1.4865888723720504
DTSR14,hrnet32,clean,58,1.4927967397419555
DTSR14,hrnet32,clean,59,1.446031046197277
DTSR14,hrnet32,clean,60,1.5660958120491073
DTSR14,hrnet32,clean,61,1.4645366277133023
DTSR14,hrnet32,clean,62,1.2968101779156678
DTSR14,hrnet32,clean,63,1.4922395376732618
DTSR14,hrnet32,clean,64,1.4904901647280093
DTSR14,hrnet32,clean,65,1.5707673992214661
DTSR14,hrnet32,clean,66,1.4941397262228966
DTSR14,hrnet32,clean,67,1.5018839721291386
DTSR14,hrnet32,clean,68,1.4733932607123004
DTSR14,hrnet32,clean,69,1.4694946286702038
DTSR14,hrnet32,clean,70,1.1824961018690894
DTSR14,hrnet32,clean,71,1.5531079361825144
DTSR14,hrnet32,clean,72,1.2643017877397624
DTSR14,hrnet32,clean,73,1.5575283401891489
DTSR14,hrnet32,clean,74,1.5538443223216394
DTSR14,hrnet32,clean,75,1.518952801289322
DTSR14,hrnet32,clean,76,1.5753654917989535
DTSR14,hrnet32,clean,77,1.558560819724633
DTSR14,hrnet32,clean,78,1.4459435583192726
DTSR14,hrnet32,clean,79,1.4857100771878917
DTSR14,hrnet32,clean,80,1.5525948551338031
DTSR14,hrnet32,clean,81,1.584444094705709
DTSR14,hrnet32,clean,82,1.579042507376279
DTSR14,hrnet32,clean,83,1.4641427801559574
DTSR14,hrnet32,clean,84,1.4999085967197394
DTSR14,hrnet32,clean,85,1.4031381420313962
DTSR14,hrnet32,clean,86,1.56090382045429
DTSR14,hrnet32,clean,87,1.4278243381026487
DTSR14,hrnet32,clean,88,1.5636248601800582
DTSR14,hrnet32,clean,89,1.4361212992136418
DTSR14,hrnet32,clean,90,1.4755781745059002
DTSR14,hrnet32,clean,91,1.4813117604593113
DTSR14,hrnet32,clean,92,1.549868500927451
DTSR14,hrnet32,clean,93,1.5494171358626767
DTSR14,hrnet32,clean,94,1.5310239956564944
DTSR14,hrnet32,clean,95,1.5209608122742075
DTSR14,hrnet32,clean,96,1.5312838207087047
DTSR14,hrnet32,clean,97,1.434423786939726
DTSR14,hrnet32,clean,98,1.5292615419106106
DTSR14,hrnet32,clean,99,1.488892954343351
DTSR14,hrnet32,clean,100,1.4788134542302296
DTSR14,hrnet32,clean,101,1.544334178554847
DTSR14,hrnet32,clean,102,1.4094369378769827
DTSR14,hrnet32,clean,103,1.5518748377803604
DTSR14,hrnet32,clean,104,1.5438019275429324
DTSR14,hrnet32,clean,105,1.4083353769969005
DTSR14,hrnet32,clean,106,1.528303611551331
