dataset,backbone,condition,image_idx,entropy
DTSR14,mobilenetv3,clean,0,0.7995313986104294
DTSR14,mobilenetv3,clean,1,0.5818331531146179
DTSR14,mobilenetv3,clean,2,1.0816351876929942
DTSR14,mobilenetv3,clean,3,1.2578803724704404
DTSR14,mobilenetv3,clean,4,0.6158186074737442
DTSR14,mobilenetv3,clean,5,1.0080980273367675
DTSR14,mobilenetv3,clean,6,1.145979833156321
DTSR14,mobilenetv3,clean,7,1.1839184117632828
DTSR14,mobilenetv3,clean,8,1.0658022392276112
DTSR14,mobilenetv3,clean,9,1.1659659185234688
DTSR14,mobilenetv3,clean,10,0.9807636830154158
DTSR14,mobilenetv3,clean,11,1.165883018980773
DTSR14,mobilenetv3,clean,12,1.118371864018069
DTSR14,mobilenetv3,clean,13,0.972220661720351
DTSR14,mobilenetv3,clean,14,1.5364161710220579
DTSR14,mobilenetv3,clean,15,1.539509481893857
DTSR14,mobilenetv3,clean,16,1.334997775950832
DTSR14,mobilenetv3,clean,17,1.4323851324164123
DTSR14,mobilenetv3,clean,18,1.5199804482781545
DTSR14,mobilenetv3,clean,19,1.4232248411940018
DTSR14,mobilenetv3,clean,20,1.4773427204129286
DTSR14,mobilenetv3,clean,21,1.3671626931432868
DTSR14,mobilenetv3,clean,22,1.227759240582883
DTSR14,mobilenetv3,clean,23,1.3539909681301143
DTSR14,mobilenetv3,clean,24,1.4883118370840125
DTSR14,mobilenetv3,clean,25,1.517337402916175
DTSR14,mobilenetv3,clean,26,1.394043712959522
DTSR14,mobilenetv3,clean,27,1.1674226099177984
DTSR14,mobilenetv3,clean,28,1.1893857700081127
DTSR14,mobilenetv3,clean,29,1.5586340231162226
DTSR14,mobilenetv3,clean,30,1.1623956781611215
DTSR14,mobilenetv3,clean,31,1.3688544031620946
DTSR14,mobilenetv3,clean,32,1.5437336696459592
DTSR14,mobilenetv3,clean,33,1.253835991664027
DTSR14,mobilenetv3,clean,34,1.5464149264131208
DTSR14,mobilenetv3,clean,35,1.569430134897435
DTSR14,mobilenetv3,clean,36,1.4840978621062568
DTSR14,mobilenetv3,clean,37,1.4024772920521449
DTSR14,mobilenetv3,clean,38,1.5569586255981358
DTSR14,mobilenetv3,clean,39,1.1529842759476439
DTSR14,mobilenetv3,clean,40,1.1983578293900916
DTSR14,mobilenetv3,clean,41,1.1453827627955717
DTSR14,mobilenetv3,clean,42,1.3914243975167488
DTSR14,mobilenetv3,clean,43,1.1697380709514889
DTSR14,mobilenetv3,clean,44,1.2760269995234164
DTSR14,mobilenetv3,clean,45,1.1995523765064555
DTSR14,mobilenetv3,clean,46,1.3425631292502558
DTSR14,mobilenetv3,clean,47,1.1276151580749716
DTSR14,mobilenetv3,clean,48,1.3200227025896578
DTSR14,mobilenetv3,clean,49,1.220261266466988
DTSR14,mobilenetv3,clean,50,1.2307642262202219
DTSR14,mobilenetv3,clean,51,1.4705406552677016
DTSR14,mobilenetv3,clean,52,1.538269579801616
DTSR14,mobilenetv3,clean,53,1.4378709433776604
DTSR14,mobilenetv3,clean,54,1.5658235011612902
DTSR14,mobilenetv3,clean,55,1.4549423604984368
DTSR14,mobilenetv3,clean,56,1.540947193627138
DTSR14,mobilenetv3,clean,57,1.1890864669941292
DTSR14,mobilenetv3,clean,58,0.33494064679704383
DTSR14,mobilenetv3,clean,59,1.1987930376190463
DTSR14,mobilenetv3,clean,60,1.460844146447794
DTSR14,mobilenetv3,clean,61,1.5278638514665248
DTSR14,mobilenetv3,clean,62,1.374519409582414
DTSR14,mobilenetv3,clean,63,1.099202948423521
DTSR14,mobilenetv3,clean,64,1.5352014274346009
DTSR14,mobilenetv3,clean,65,1.559480316157427
DTSR14,mobilenetv3,clean,66,1.441200636983019
DTSR14,mobilenetv3,clean,67,1.4452802193554848
DTSR14,mobilenetv3,clean,68,1.3044896955698992
DTSR14,mobilenetv3,clean,69,1.468471501693966
DTSR14,mobilenetv3,clean,70,1.5058774330182192
DTSR14,mobilenetv3,clean,71,1.4050772025778895
DTSR14,mobilenetv3,clean,72,1.0247844649046787
DTSR14,mobilenetv3,clean,73,0.9875705316266564
DTSR14,mobilenetv3,clean,74,1.531478212512031
DTSR14,mobilenetv3,clean,75,1.3742460818115803
DTSR14,mobilenetv3,clean,76,1.2391002072299777
DTSR14,mobilenetv3,clean,77,1.361670742060689
DTSR14,mobilenetv3,clean,78,1.4326796060585045
DTSR14,mobilenetv3,clean,79,1.2286844695102979
DTSR14,mobilenetv3,clean,80,1.2442142355112724
DTSR14,mobilenetv3,clean,81,1.3885729506740865
DTSR14,mobilenetv3,clean,82,0.9726572424563791
DTSR14,mobilenetv3,clean,83,0.988361675139878
DTSR14,mobilenetv3,clean,84,1.362243267796374
DTSR14,mobilenetv3,clean,85,1.5342504770437277
DTSR14,mobilenetv3,clean,86,1.51703957553114
DTSR14,mobilenetv3,clean,87,1.3848131077215116
DTSR14,mobilenetv3,clean,88,1.5281422668389708
DTSR14,mobilenetv3,clean,89,0.7738289316942655
DTSR14,mobilenetv3,clean,90,0.9043523491228185
DTSR14,mobilenetv3,clean,91,1.26552265314516
DTSR14,mobilenetv3,clean,92,1.5172133628276605
DTSR14,mobilenetv3,clean,93,1.1850525314403881
DTSR14,mobilenetv3,clean,94,1.1967748287798607
DTSR14,mobilenetv3,clean,95,1.0441719166999417
DTSR14,mobilenetv3,clean,96,1.2322714552318317
DTSR14,mobilenetv3,clean,97,1.1252593275580989
DTSR14,mobilenetv3,clean,98,1.5112826007876916
DTSR14,mobilenetv3,clean,99,1.311612504432253
DTSR14,mobilenetv3,clean,100,1.1681769941228974
DTSR14,mobilenetv3,clean,101,0.9405560082872639
DTSR14,mobilenetv3,clean,102,0.9799673494021042
DTSR14,mobilenetv3,clean,103,1.3767532284161268
DTSR14,mobilenetv3,clean,104,1.2608356960221236
DTSR14,mobilenetv3,clean,105,1.469852084770428
DTSR14,mobilenetv3,clean,106,0.9713341703314131
DTSR14,mobilenetv3,clean,107,1.4535183912399057
DTSR14,mobilenetv3,clean,108,1.1395447119586128
DTSR14,mobilenetv3,clean,109,1.187362508798953
DTSR14,mobilenetv3,clean,110,1.5318089223800562
DTSR14,mobilenetv3,clean,111,1.5625729971228224
DTSR14,mobilenetv3,clean,112,1.4935123877660725
DTSR14,mobilenetv3,clean,113,1.5753293870069722
DTSR14,mobilenetv3,clean,114,1.4857506325642544
DTSR14,mobilenetv3,clean,115,1.4663217253364982
DTSR14,mobilenetv3,clean,116,1.2419818092374793
DTSR14,mobilenetv3,clean,117,1.51091947658121
DTSR14,mobilenetv3,clean,118,1.1682623262251632
DTSR14,mobilenetv3,clean,119,1.1945681475988432
DTSR14,mobilenetv3,clean,120,1.0811207917038987
DTSR14,mobilenetv3,clean,121,1.2576377497347981
DTSR14,mobilenetv3,clean,122,0.6743455778888162
DTSR14,mobilenetv3,clean,123,0.4984590662150874
DTSR14,mobilenetv3,clean,124,0.9391371475222345
DTSR14,mobilenetv3,clean,125,0.9275213152365954
DTSR14,mobilenetv3,clean,126,1.2020105814720048
DTSR14,mobilenetv3,clean,127,1.1286202699394114
DTSR14,mobilenetv3,clean,128,0.9516082688354466
DTSR14,mobilenetv3,clean,129,1.0765621350234293
DTSR14,mobilenetv3,clean,130,0.7891332852276611
DTSR14,mobilenetv3,clean,131,0.959571767590305
DTSR14,mobilenetv3,clean,132,0.6851460594133638
DTSR14,mobilenetv3,clean,133,1.039476697252892
DTSR14,mobilenetv3,clean,134,1.1556263906580204
DTSR14,mobilenetv3,clean,135,1.1638128340235927
DTSR14,mobilenetv3,clean,136,0.8079330539521746
DTSR14,mobilenetv3,clean,137,1.0918801697772085
DTSR14,mobilenetv3,clean,138,0.9994934975072379
DTSR14,mobilenetv3,clean,139,1.060681682055352
DTSR14,mobilenetv3,clean,140,1.0197167758988253
DTSR14,mobilenetv3,clean,141,0.7193139078689759
DTSR14,mobilenetv3,clean,142,1.1969103984875822
DTSR14,mobilenetv3,clean,143,0.43636953263940587
DTSR14,mobilenetv3,clean,144,0.6704550934818538
DTSR14,mobilenetv3,clean,145,0.8804611084888981
DTSR14,mobilenetv3,clean,146,0.8654776409901236
DTSR14,mobilenetv3,clean,147,0.8935799223154284
DTSR14,mobilenetv3,clean,148,1.1941182035704543
DTSR14,mobilenetv3,clean,149,1.0429296826989658
DTSR14,mobilenetv3,clean,150,1.1365987335060708
DTSR14,mobilenetv3,clean,151,1.22789310570019
DTSR14,mobilenetv3,clean,152,1.119881289595031
DTSR14,mobilenetv3,clean,153,1.0729002353023627
DTSR14,mobilenetv3,clean,154,0.9521556949885459
DTSR14,mobilenetv3,clean,155,1.1139520021880127
DTSR14,mobilenetv3,clean,156,1.1739453286942068
DTSR14,mobilenetv3,clean,157,1.0819631119301905
DTSR14,mobilenetv3,clean,158,0.8221047774054611
DTSR14,mobilenetv3,clean,159,0.887635127013938
DTSR14,mobilenetv3,clean,160,0.8460639063626729
DTSR14,mobilenetv3,clean,161,1.4148951696128256
DTSR14,mobilenetv3,clean,162,1.0890238530816923
DTSR14,mobilenetv3,clean,163,1.4047431206247896
DTSR14,mobilenetv3,clean,164,1.2458698869960836
DTSR14,mobilenetv3,clean,165,1.2207139905437865
DTSR14,mobilenetv3,clean,166,0.9167640650140845
DTSR14,mobilenetv3,clean,167,0.7999488870857228
DTSR14,mobilenetv3,clean,168,0.8783711925141611
DTSR14,mobilenetv3,clean,169,1.3879913641110724
DTSR14,mobilenetv3,clean,170,0.9283466115465024
DTSR14,mobilenetv3,clean,171,0.7962785135729956
DTSR14,mobilenetv3,clean,172,0.8325900098812508
DTSR14,mobilenetv3,clean,173,1.1673185784282247
DTSR14,mobilenetv3,clean,174,1.0609442250385905
DTSR14,mobilenetv3,clean,175,1.2506800259116009
DTSR14,mobilenetv3,clean,176,0.4186212278886162
DTSR14,mobilenetv3,clean,177,0.4838990115117793
DTSR14,mobilenetv3,clean,178,1.1999395141471967
DTSR14,mobilenetv3,clean,179,1.5106670022943989
DTSR14,mobilenetv3,clean,180,1.1747296991084732
DTSR14,mobilenetv3,clean,181,1.0310477166962775
DTSR14,mobilenetv3,clean,182,1.2825212100782815
DTSR14,mobilenetv3,clean,183,1.1116599798786069
DTSR14,mobilenetv3,clean,184,1.1745857432700166
DTSR14,mobilenetv3,clean,185,1.4067979998673241
DTSR14,mobilenetv3,clean,186,1.1438637783981909
DTSR14,mobilenetv3,clean,187,1.1933688245404779
DTSR14,mobilenetv3,clean,188,1.115410685203933
DTSR14,mobilenetv3,clean,189,1.5153746988499834
DTSR14,mobilenetv3,clean,190,1.5070202941992001
DTSR14,mobilenetv3,clean,191,1.53726816041682
DTSR14,mobilenetv3,clean,192,1.1648596323433604
DTSR14,mobilenetv3,clean,193,1.1689919119610863
DTSR14,mobilenetv3,clean,194,1.1307892488756788
