dataset,backbone,perturbation,severity,image_idx,cam_shift_jsd,cam_shift_js_distance,cam_shift_js_divergence
DTSR14,mobilenetv3,gaussian_blur,4,0,0.3933654207607675,0.3933654207607675,0.15473635425029567
DTSR14,mobilenetv3,gaussian_blur,4,1,0.5183256733091866,0.5183256733091866,0.2686615036114216
DTSR14,mobilenetv3,gaussian_blur,4,2,0.7393508812366115,0.7393508812366115,0.546639725585354
DTSR14,mobilenetv3,gaussian_blur,4,3,0.04772761528289392,0.04772761528289392,0.002277925260591929
DTSR14,mobilenetv3,gaussian_blur,4,4,0.10771301040129097,0.10771301040129097,0.011602092609708617
DTSR14,mobilenetv3,gaussian_blur,4,5,0.7072397222068685,0.7072397222068685,0.5001880246672485
DTSR14,mobilenetv3,gaussian_blur,4,6,0.046890881793206156,0.046890881793206156,0.0021987547953444325
DTSR14,mobilenetv3,gaussian_blur,4,7,0.13692901033028917,0.13692901033028917,0.01874955387003244
DTSR14,mobilenetv3,gaussian_blur,4,8,0.014464151779636992,0.014464151779636992,0.00020921168670437595
DTSR14,mobilenetv3,gaussian_blur,4,9,0.6482697959532322,0.6482697959532322,0.4202537283452453
DTSR14,mobilenetv3,gaussian_blur,4,10,0.024856536314790595,0.024856536314790595,0.0006178473975685037
DTSR14,mobilenetv3,gaussian_blur,4,11,0.7611994280629163,0.7611994280629163,0.5794245692833109
DTSR14,mobilenetv3,gaussian_blur,4,12,0.37386308159411274,0.37386308159411274,0.1397736037790462
DTSR14,mobilenetv3,gaussian_blur,4,13,0.026754805586048844,0.026754805586048844,0.0007158196219472704
DTSR14,mobilenetv3,gaussian_blur,4,14,0.02711653791081939,0.02711653791081939,0.0007353066282689053
DTSR14,mobilenetv3,gaussian_blur,4,15,0.06523996061060355,0.06523996061060355,0.0042562524604731035
DTSR14,mobilenetv3,gaussian_blur,4,16,0.2175336973502355,0.2175336973502355,0.047320909482863854
DTSR14,mobilenetv3,gaussian_blur,4,17,0.14424676164125302,0.14424676164125302,0.020807128243988466
DTSR14,mobilenetv3,gaussian_blur,4,18,0.013764269962745167,0.013764269962745167,0.00018945512760732886
DTSR14,mobilenetv3,gaussian_blur,4,19,0.1789790058442079,0.1789790058442079,0.032033484532981
DTSR14,mobilenetv3,gaussian_blur,4,20,0.036260025486171334,0.036260025486171334,0.0013147894482577946
DTSR14,mobilenetv3,gaussian_blur,4,21,0.3318924752323577,0.3318924752323577,0.11015261511586118
DTSR14,mobilenetv3,gaussian_blur,4,22,0.3022618179664013,0.3022618179664013,0.0913622066003539
DTSR14,mobilenetv3,gaussian_blur,4,23,0.19861796567816395,0.19861796567816395,0.03944909629013231
DTSR14,mobilenetv3,gaussian_blur,4,24,0.06365634146489327,0.06365634146489327,0.00405212980869509
DTSR14,mobilenetv3,gaussian_blur,4,25,0.12224888362588893,0.12224888362588893,0.014944789547776133
DTSR14,mobilenetv3,gaussian_blur,4,26,0.12549598338565116,0.12549598338565116,0.01574924184593163
DTSR14,mobilenetv3,gaussian_blur,4,27,0.37632972338276693,0.37632972338276693,0.1416240607013499
DTSR14,mobilenetv3,gaussian_blur,4,28,0.03911203701951539,0.03911203701951539,0.0015297514398159423
DTSR14,mobilenetv3,gaussian_blur,4,29,0.17533945920942484,0.17533945920942484,0.030743925955853558
DTSR14,mobilenetv3,gaussian_blur,4,30,0.2664059652975974,0.2664059652975974,0.07097213834614467
DTSR14,mobilenetv3,gaussian_blur,4,31,0.23789378808539471,0.23789378808539471,0.05659345440961869
