dataset,backbone,condition,image_idx,entropy
DTSR14,resnet50,clean,0,1.3391235331774487
DTSR14,resnet50,clean,1,0.7706971141959594
DTSR14,resnet50,clean,2,0.8771853541455589
DTSR14,resnet50,clean,3,1.2866013726209515
DTSR14,resnet50,clean,4,0.9719579607398028
DTSR14,resnet50,clean,5,0.9726720109972438
DTSR14,resnet50,clean,6,1.302179772193376
DTSR14,resnet50,clean,7,1.3210433461407862
DTSR14,resnet50,clean,8,1.08509524073075
DTSR14,resnet50,clean,9,1.0929348444648737
DTSR14,resnet50,clean,10,1.1351436390393927
DTSR14,resnet50,clean,11,1.137172767183639
DTSR14,resnet50,clean,12,1.5593638981141258
DTSR14,resnet50,clean,13,1.0883866646997187
DTSR14,resnet50,clean,14,1.247225575876863
DTSR14,resnet50,clean,15,1.1622679012228139
DTSR14,resnet50,clean,16,0.8369744952758957
DTSR14,resnet50,clean,17,1.191616704638853
DTSR14,resnet50,clean,18,1.5308689576103771
DTSR14,resnet50,clean,19,1.404692695847062
DTSR14,resnet50,clean,20,1.394428373941941
DTSR14,resnet50,clean,21,1.5373825870232312
DTSR14,resnet50,clean,22,1.504891586362059
DTSR14,resnet50,clean,23,1.072167167449508
DTSR14,resnet50,clean,24,1.212799918209669
DTSR14,resnet50,clean,25,1.254318403012065
DTSR14,resnet50,clean,26,1.4896579682710946
DTSR14,resnet50,clean,27,1.4355199822442226
DTSR14,resnet50,clean,28,1.5479762261937695
DTSR14,resnet50,clean,29,1.502000028506158
DTSR14,resnet50,clean,30,1.2461513629012329
DTSR14,resnet50,clean,31,1.155407570641234
DTSR14,resnet50,clean,32,1.320666639494651
DTSR14,resnet50,clean,33,1.3873006706979194
DTSR14,resnet50,clean,34,1.1053076513900255
DTSR14,resnet50,clean,35,1.4450733754750136
DTSR14,resnet50,clean,36,1.1893926765747065
DTSR14,resnet50,clean,37,1.4162774336632529
DTSR14,resnet50,clean,38,1.1858216383597002
DTSR14,resnet50,clean,39,1.373631812331894
DTSR14,resnet50,clean,40,1.1800641541399566
DTSR14,resnet50,clean,41,1.4482302636167859
DTSR14,resnet50,clean,42,1.040821905943078
DTSR14,resnet50,clean,43,1.4826502626790572
DTSR14,resnet50,clean,44,1.2405777615487263
DTSR14,resnet50,clean,45,1.5154704278501991
DTSR14,resnet50,clean,46,1.5138114943060617
DTSR14,resnet50,clean,47,1.4123548668600838
DTSR14,resnet50,clean,48,1.3616258885047159
DTSR14,resnet50,clean,49,1.111054165761474
DTSR14,resnet50,clean,50,1.4331455508262652
DTSR14,resnet50,clean,51,1.564008194003014
DTSR14,resnet50,clean,52,1.563930123463531
DTSR14,resnet50,clean,53,1.301597684311522
DTSR14,resnet50,clean,54,1.1193902696275422
DTSR14,resnet50,clean,55,1.3045042226019226
DTSR14,resnet50,clean,56,1.4873947230165343
DTSR14,resnet50,clean,57,1.5366053626153877
DTSR14,resnet50,clean,58,1.16077496414007
DTSR14,resnet50,clean,59,1.2147910061764988
DTSR14,resnet50,clean,60,1.3416836155893548
DTSR14,resnet50,clean,61,1.3405893730188208
DTSR14,resnet50,clean,62,1.1119905778486083
DTSR14,resnet50,clean,63,1.4258674127442823
DTSR14,resnet50,clean,64,1.1740891068313066
DTSR14,resnet50,clean,65,1.4258877624257833
DTSR14,resnet50,clean,66,1.5322259242867653
DTSR14,resnet50,clean,67,1.5128206808147981
DTSR14,resnet50,clean,68,1.2977618276664389
DTSR14,resnet50,clean,69,1.5712719055162268
DTSR14,resnet50,clean,70,1.3653559786129095
DTSR14,resnet50,clean,71,1.338570384839565
DTSR14,resnet50,clean,72,1.1717630095002267
DTSR14,resnet50,clean,73,1.3852082728270165
DTSR14,resnet50,clean,74,1.2231493544692542
DTSR14,resnet50,clean,75,1.4270490015176458
DTSR14,resnet50,clean,76,1.4596265418435816
DTSR14,resnet50,clean,77,1.5538585525379087
DTSR14,resnet50,clean,78,1.0952693964969882
DTSR14,resnet50,clean,79,1.4343416330730019
DTSR14,resnet50,clean,80,1.366816147816886
DTSR14,resnet50,clean,81,1.47514080585115
DTSR14,resnet50,clean,82,1.3768095545557204
