dataset,backbone,perturbation,severity,image_idx,cam_shift_jsd,cam_shift_js_distance,cam_shift_js_divergence
DTSR14,resnet50,gaussian_blur,4,0,0.08448124754419084,0.08448124754419084,0.007137081186622851
DTSR14,resnet50,gaussian_blur,4,1,0.34103333779702716,0.34103333779702716,0.11630373748898123
DTSR14,resnet50,gaussian_blur,4,2,0.3655053837323885,0.3655053837323885,0.13359418553736058
DTSR14,resnet50,gaussian_blur,4,3,0.05373125016861705,0.05373125016861705,0.00288704724468251
DTSR14,resnet50,gaussian_blur,4,4,0.09214305795054831,0.09214305795054831,0.008490343128478104
DTSR14,resnet50,gaussian_blur,4,5,0.4861712668447074,0.4861712668447074,0.2363625007053877
DTSR14,resnet50,gaussian_blur,4,6,0.15266240033648584,0.15266240033648584,0.023305808476497474
DTSR14,resnet50,gaussian_blur,4,7,0.5198437547016495,0.5198437547016495,0.2702375293023087
DTSR14,resnet50,gaussian_blur,4,8,0.15284916606940113,0.15284916606940113,0.023362867568111366
DTSR14,resnet50,gaussian_blur,4,9,0.5015246992029615,0.5015246992029615,0.251527023910621
DTSR14,resnet50,gaussian_blur,4,10,0.12199970305059665,0.12199970305059665,0.014883927544433762
DTSR14,resnet50,gaussian_blur,4,11,0.4364443095624647,0.4364443095624647,0.19048363534945653
DTSR14,resnet50,gaussian_blur,4,12,0.1894238032446953,0.1894238032446953,0.03588137723568503
DTSR14,resnet50,gaussian_blur,4,13,0.14450480148759573,0.14450480148759573,0.020881637652969447
DTSR14,resnet50,gaussian_blur,4,14,0.2738140324415654,0.2738140324415654,0.07497412436191062
DTSR14,resnet50,gaussian_blur,4,15,0.15682423803004608,0.15682423803004608,0.024593841633704552
DTSR14,resnet50,gaussian_blur,4,16,0.3312635248156521,0.3312635248156521,0.10973552287329014
DTSR14,resnet50,gaussian_blur,4,17,0.28463347511406556,0.28463347511406556,0.08101621515550937
DTSR14,resnet50,gaussian_blur,4,18,0.10219594921329232,0.10219594921329232,0.010444012035605823
DTSR14,resnet50,gaussian_blur,4,19,0.03827606249670957,0.03827606249670957,0.0014650569602520167
DTSR14,resnet50,gaussian_blur,4,20,0.12788129467953044,0.12788129467953044,0.0163536255289129
DTSR14,resnet50,gaussian_blur,4,21,0.11476211952175494,0.11476211952175494,0.013170344077125567
DTSR14,resnet50,gaussian_blur,4,22,0.10191529039441853,0.10191529039441853,0.010386726416178658
DTSR14,resnet50,gaussian_blur,4,23,0.12391124173585426,0.12391124173585426,0.01535399582852131
DTSR14,resnet50,gaussian_blur,4,24,0.16821349979976163,0.16821349979976163,0.02829578151488441
DTSR14,resnet50,gaussian_blur,4,25,0.27814825437691676,0.27814825437691676,0.07736645141292599
DTSR14,resnet50,gaussian_blur,4,26,0.17391742441656904,0.17391742441656904,0.030247270515693005
DTSR14,resnet50,gaussian_blur,4,27,0.03341660992154564,0.03341660992154564,0.0011166698186487424
DTSR14,resnet50,gaussian_blur,4,28,0.12857869248502968,0.12857869248502968,0.016532480161159827
DTSR14,resnet50,gaussian_blur,4,29,0.14543731539403407,0.14543731539403407,0.021152012709023737
