dataset,backbone,condition,image_idx,label,cam_pct_c0,cam_pct_c1,cam_pct_c2,entropy
PCA11,convnext_tiny,clean,0,0,0.0,0.52291339635849,0.4770866632461548,0.9984845785352693
PCA11,convnext_tiny,clean,1,0,0.21225309371948242,0.6055755615234375,0.18217143416404724,1.3603634884265432
PCA11,convnext_tiny,clean,2,0,0.17781434953212738,0.28310054540634155,0.5390851497650146,1.438999713214521
PCA11,convnext_tiny,clean,3,0,0.20453013479709625,0.6176638603210449,0.17780594527721405,1.340662809694203
PCA11,convnext_tiny,clean,4,0,0.0054442863911390305,0.43539097905158997,0.5591645836830139,1.032195112243431
PCA11,convnext_tiny,clean,5,0,0.49774184823036194,0.48880085349082947,0.013457374647259712,1.0894115911587128
PCA11,convnext_tiny,clean,6,0,0.15398284792900085,0.6507142782211304,0.19530288875102997,1.2791799725083255
PCA11,convnext_tiny,clean,7,0,0.8168913722038269,0.0,0.1831086426973343,0.686830576193229
PCA11,convnext_tiny,clean,8,0,0.004547336138784885,0.04817928746342659,0.9472733736038208,0.32021429272617896
PCA11,convnext_tiny,clean,9,0,0.25959765911102295,0.1841117888689041,0.5562905073165894,1.425238584344872
PCA11,convnext_tiny,clean,10,1,0.0,0.013577825389802456,0.986422061920166,0.10367295326460979
PCA11,convnext_tiny,clean,11,1,0.0,0.6855671405792236,0.31443291902542114,0.8982243867069118
PCA11,convnext_tiny,clean,12,1,0.017375795170664787,0.7510572075843811,0.23156704008579254,0.9005048434420928
PCA11,convnext_tiny,clean,13,1,0.013037709519267082,0.23321856558322906,0.7537437081336975,0.8788649002102198
PCA11,convnext_tiny,clean,14,1,0.0,0.016894038766622543,0.9831058979034424,0.12362689034158982
PCA11,convnext_tiny,clean,15,1,0.0,0.49427342414855957,0.5057264566421509,0.9999053807116804
PCA11,convnext_tiny,clean,16,1,0.0017632434610277414,0.7573598027229309,0.24087698757648468,0.8144647985270355
PCA11,convnext_tiny,clean,17,1,0.001654654392041266,0.24558545649051666,0.7527599930763245,0.8212055046542055
PCA11,convnext_tiny,clean,18,1,0.002354539232328534,0.6526497602462769,0.3449957072734833,0.9520286431742987
PCA11,convnext_tiny,clean,19,1,0.02020326443016529,0.27292871475219727,0.706868052482605,0.9788137012545948
PCA11,convnext_tiny,clean,20,1,0.0014498396776616573,0.5509673953056335,0.44758278131484985,1.0065770660115931
PCA11,convnext_tiny,clean,21,1,0.006359104532748461,0.7704151272773743,0.22322571277618408,0.819235259689054
PCA11,convnext_tiny,clean,22,1,0.054031942039728165,0.2245711386203766,0.7213969230651855,1.0512479605104064
PCA11,convnext_tiny,clean,23,1,0.6957060694694519,0.29793640971183777,0.00635747704654932,0.9310322194204597
PCA11,convnext_tiny,clean,24,1,0.012425776571035385,0.6125296950340271,0.3750446140766144,1.042448825558136
PCA11,convnext_tiny,clean,25,1,0.0028454475104808807,0.49480491876602173,0.5023496150970459,1.025276957337245
PCA11,convnext_tiny,clean,26,1,0.02597561851143837,0.26849380135536194,0.70553058385849,1.0011857662482115
PCA11,convnext_tiny,clean,27,1,0.0007783572073094547,0.42739421129226685,0.5718274712562561,0.9932698381662843
PCA11,convnext_tiny,clean,28,1,0.0,0.5053980946540833,0.49460193514823914,0.9999159235915486
PCA11,convnext_tiny,clean,29,1,0.0,0.3755240738391876,0.62447589635849,0.9548193937386102
PCA11,convnext_tiny,clean,30,1,0.01706221140921116,0.32516247034072876,0.6577752828598022,1.0247354505854673
PCA11,convnext_tiny,clean,31,1,0.005311329383403063,0.0008777477196417749,0.9938108921051025,0.05795001473998968
PCA11,convnext_tiny,clean,32,1,0.00040873498073779047,0.24056556820869446,0.7590256929397583,0.8010077334836476
PCA11,convnext_tiny,clean,33,1,0.0020159475971013308,0.25154078006744385,0.7464432716369629,0.8338243372038245
PCA11,convnext_tiny,clean,34,2,0.005583805963397026,0.72015380859375,0.2742624580860138,0.8947491429854818
PCA11,convnext_tiny,clean,35,2,0.09665332734584808,0.28246551752090454,0.6208811402320862,1.2679222890709188
PCA11,convnext_tiny,clean,36,2,0.02771458588540554,0.3475174009799957,0.6247680187225342,1.0972550853419714
PCA11,convnext_tiny,clean,37,2,0.13257379829883575,0.503925621509552,0.36350053548812866,1.4154102457094768
PCA11,convnext_tiny,clean,38,2,0.0,0.26928454637527466,0.7307154536247253,0.8404361342689803
PCA11,convnext_tiny,clean,39,2,0.0,0.00037135891034267843,0.9996285438537598,0.004767259017434534
PCA11,convnext_tiny,clean,40,2,0.02070513553917408,0.7096433043479919,0.26965150237083435,0.9768431215943336
PCA11,convnext_tiny,clean,41,2,0.004014716483652592,0.35452473163604736,0.6414605975151062,0.9732417185256774
PCA11,convnext_tiny,clean,42,2,0.2418164312839508,0.6094384789466858,0.14874519407749176,1.3395688736661577
PCA11,convnext_tiny,clean,43,2,0.5291293263435364,0.2268405258655548,0.2440301775932312,1.4679682351209427
PCA11,convnext_tiny,clean,44,2,0.11246082186698914,0.26674219965934753,0.6207969784736633,1.2900608098687134
PCA11,convnext_tiny,clean,45,2,0.18790383636951447,0.5920494794845581,0.22004657983779907,1.381533453339003
PCA11,convnext_tiny,clean,46,2,0.005926665384322405,0.6766480803489685,0.3174251914024353,0.9506561756273435
PCA11,convnext_tiny,clean,47,2,0.0017987167229875922,0.3892097771167755,0.6089915037155151,0.9820016996731805
PCA11,convnext_tiny,clean,48,2,0.39611688256263733,0.2527170181274414,0.3511660397052765,1.5608875245941407
PCA11,convnext_tiny,clean,49,2,0.2794106900691986,0.2690586447715759,0.4515307545661926,1.5415391123858495
PCA11,convnext_tiny,clean,50,3,0.0,0.7228220701217651,0.277178019285202,0.8515770797464652
PCA11,convnext_tiny,clean,51,3,0.0,0.4980041980743408,0.501995861530304,0.9999885098349506
PCA11,convnext_tiny,clean,52,3,0.6710575819015503,0.32795724272727966,0.000985133578069508,0.9235199541722666
PCA11,convnext_tiny,clean,53,3,0.25196799635887146,0.13453030586242676,0.6135017275810242,1.3228491682421681
PCA11,convnext_tiny,clean,54,3,0.0,0.48828062415122986,0.5117194056510925,0.999603675736022
PCA11,convnext_tiny,clean,55,3,0.0,0.37183982133865356,0.6281601190567017,0.9520743086529347
PCA11,convnext_tiny,clean,56,3,0.6099448800086975,0.3237905204296112,0.0662645772099495,1.221273723333428
PCA11,convnext_tiny,clean,57,3,0.0,0.7118144035339355,0.288185715675354,0.8663660277424037
PCA11,convnext_tiny,clean,58,3,0.10873296856880188,0.3410992920398712,0.5501677393913269,1.3516411765186933
PCA11,convnext_tiny,clean,59,3,0.2851726710796356,0.5802581906318665,0.13456904888153076,1.3612133185277884
PCA11,convnext_tiny,clean,60,3,0.016912762075662613,0.7014690041542053,0.28161829710006714,0.9732307163334921
PCA11,convnext_tiny,clean,61,3,0.0,0.5689994096755981,0.4310005307197571,0.9862189462648414
PCA11,convnext_tiny,clean,62,3,0.0,0.7138240337371826,0.28617599606513977,0.8637301553336303
PCA11,convnext_tiny,clean,63,3,0.0,0.5101473331451416,0.4898526966571808,0.999702879944994
PCA11,convnext_tiny,clean,64,3,0.6945468783378601,0.303372323513031,0.0020808023400604725,0.9058235998489472
PCA11,convnext_tiny,clean,65,3,0.5239971876144409,0.46597206592559814,0.010030720382928848,1.0685112736589721
PCA11,convnext_tiny,clean,66,3,0.6896843910217285,0.30412614345550537,0.0061895097605884075,0.9373343072251339
PCA11,convnext_tiny,clean,67,4,0.7859330177307129,0.05136898159980774,0.16269803047180176,0.919365171639703
PCA11,convnext_tiny,clean,68,4,0.006482074502855539,0.5198725461959839,0.4736453592777252,1.0484074351780133
PCA11,convnext_tiny,clean,69,4,0.03778683394193649,0.6265681385993958,0.33564504981040955,1.1298107941986646
PCA11,convnext_tiny,clean,70,4,0.00017462787218391895,0.33582985401153564,0.663995623588562,0.9231008735609096
PCA11,convnext_tiny,clean,71,4,0.6252493858337402,0.24685907363891602,0.12789151072502136,1.301280222388697
PCA11,convnext_tiny,clean,72,4,0.6191316246986389,0.3717828392982483,0.009085522033274174,1.0205701957570834
