dataset,backbone,condition,image_idx,entropy
PCA11,dinov2_b,clean,0,1.3982841724979913
PCA11,dinov2_b,clean,1,1.4104633351670046
PCA11,dinov2_b,clean,2,1.5047040883986469
PCA11,dinov2_b,clean,3,1.431637298649347
PCA11,dinov2_b,clean,4,1.3508272971799498
PCA11,dinov2_b,clean,5,1.1999633850046796
PCA11,dinov2_b,clean,6,1.5197417125421473
PCA11,dinov2_b,clean,7,1.4310252357771482
PCA11,dinov2_b,clean,8,1.2616038887730956
PCA11,dinov2_b,clean,9,1.3063830095956095
PCA11,dinov2_b,clean,10,1.0890772214598459
PCA11,dinov2_b,clean,11,1.30656853619009
PCA11,dinov2_b,clean,12,1.4170992294540876
PCA11,dinov2_b,clean,13,1.5431948681436194
PCA11,dinov2_b,clean,14,1.325820806827588
PCA11,dinov2_b,clean,15,1.2407948733474634
PCA11,dinov2_b,clean,16,1.4331781119903755
PCA11,dinov2_b,clean,17,1.3920750474522186
PCA11,dinov2_b,clean,18,1.5302085775232634
PCA11,dinov2_b,clean,19,1.2663131696652759
PCA11,dinov2_b,clean,20,1.567077329113903
PCA11,dinov2_b,clean,21,1.3075847844922497
PCA11,dinov2_b,clean,22,1.467673152232206
PCA11,dinov2_b,clean,23,1.3104304868291192
PCA11,dinov2_b,clean,24,1.5716474965621543
PCA11,dinov2_b,clean,25,1.100544144999056
PCA11,dinov2_b,clean,26,1.3420838698251607
PCA11,dinov2_b,clean,27,1.3579092179988235
PCA11,dinov2_b,clean,28,1.21577066699325
PCA11,dinov2_b,clean,29,1.4310612946814476
PCA11,dinov2_b,clean,30,1.3924158216248006
PCA11,dinov2_b,clean,31,1.1517214083329474
PCA11,dinov2_b,clean,32,1.2011896098294454
PCA11,dinov2_b,clean,33,1.2656606680333442
PCA11,dinov2_b,clean,34,1.571400886067861
PCA11,dinov2_b,clean,35,1.3660825282867646
PCA11,dinov2_b,clean,36,1.4793739939161392
PCA11,dinov2_b,clean,37,1.321336327023279
PCA11,dinov2_b,clean,38,1.5087087980208693
PCA11,dinov2_b,clean,39,1.3784257047759478
PCA11,dinov2_b,clean,40,1.3524715510821534
PCA11,dinov2_b,clean,41,1.5724415694218425
PCA11,dinov2_b,clean,42,1.5325162327475539
PCA11,dinov2_b,clean,43,1.5175852752066035
PCA11,dinov2_b,clean,44,1.51027496593949
PCA11,dinov2_b,clean,45,1.3818136962229568
PCA11,dinov2_b,clean,46,1.5569366449591853
PCA11,dinov2_b,clean,47,1.4364101248081114
PCA11,dinov2_b,clean,48,1.4316960419083569
PCA11,dinov2_b,clean,49,1.2436789333117186
PCA11,dinov2_b,clean,50,1.5636837102235934
PCA11,dinov2_b,clean,51,1.567276120984586
PCA11,dinov2_b,clean,52,1.2002720509177662
PCA11,dinov2_b,clean,53,1.5785672398789592
PCA11,dinov2_b,clean,54,1.4961060690603594
PCA11,dinov2_b,clean,55,1.308846025194017
PCA11,dinov2_b,clean,56,1.5421362159838097
PCA11,dinov2_b,clean,57,1.5429918286860673
PCA11,dinov2_b,clean,58,1.5615609601720744
PCA11,dinov2_b,clean,59,1.3590010172393616
PCA11,dinov2_b,clean,60,1.4657860726149707
PCA11,dinov2_b,clean,61,1.2503262763210516
PCA11,dinov2_b,clean,62,1.0202696632436896
PCA11,dinov2_b,clean,63,1.4439949698939438
PCA11,dinov2_b,clean,64,1.5320765931987694
PCA11,dinov2_b,clean,65,1.5806240726548926
PCA11,dinov2_b,clean,66,1.5639880739037353
PCA11,dinov2_b,clean,67,1.4705717881186433
PCA11,dinov2_b,clean,68,1.4353400024192633
PCA11,dinov2_b,clean,69,1.5275627009922303
PCA11,dinov2_b,clean,70,1.2633471335549835
PCA11,dinov2_b,clean,71,1.4681734029687408
PCA11,dinov2_b,clean,72,1.5152784970830155
PCA11,dinov2_b,clean,73,1.270168528816495
PCA11,dinov2_b,clean,74,1.5814854435849437
PCA11,dinov2_b,clean,75,1.5695075497149071
PCA11,dinov2_b,clean,76,1.5219614760831848
PCA11,dinov2_b,clean,77,1.5654081984811556
PCA11,dinov2_b,clean,78,1.5549065249061953
PCA11,dinov2_b,clean,79,1.371873263256191
PCA11,dinov2_b,clean,80,1.512230944605029
PCA11,dinov2_b,clean,81,1.5816935671126418
PCA11,dinov2_b,clean,82,1.558905764914587
PCA11,dinov2_b,clean,83,1.5820480541692876
PCA11,dinov2_b,clean,84,1.4798672943030677
PCA11,dinov2_b,clean,85,1.5810051958206106
PCA11,dinov2_b,clean,86,1.5591086384059187
PCA11,dinov2_b,clean,87,1.2151239941060177
PCA11,dinov2_b,clean,88,1.4284960995300642
PCA11,dinov2_b,clean,89,1.3415974343945911
PCA11,dinov2_b,clean,90,1.504814502620662
PCA11,dinov2_b,clean,91,1.1314385207432438
PCA11,dinov2_b,clean,92,1.031749139988567
PCA11,dinov2_b,clean,93,1.2523749988554744
PCA11,dinov2_b,clean,94,1.3601759281216375
PCA11,dinov2_b,clean,95,1.168454854364849
PCA11,dinov2_b,clean,96,1.483466043520108
PCA11,dinov2_b,clean,97,1.3912362685984891
PCA11,dinov2_b,clean,98,1.2653644173850913
PCA11,dinov2_b,clean,99,1.2546411418726124
PCA11,dinov2_b,clean,100,1.247791906852536
PCA11,dinov2_b,clean,101,1.483138668700797
PCA11,dinov2_b,clean,102,1.197103675172516
PCA11,dinov2_b,clean,103,1.2206545625756737
PCA11,dinov2_b,clean,104,1.2872414873215468
PCA11,dinov2_b,clean,105,1.297767208979802
PCA11,dinov2_b,clean,106,1.564846254882366
PCA11,dinov2_b,clean,107,1.130554939468728
PCA11,dinov2_b,clean,108,1.4524013983152486
PCA11,dinov2_b,clean,109,1.3741225788262292
PCA11,dinov2_b,clean,110,1.4481291846940354
PCA11,dinov2_b,clean,111,1.3754634287941734
PCA11,dinov2_b,clean,112,1.172157254218059
PCA11,dinov2_b,clean,113,1.2092439342659667
PCA11,dinov2_b,clean,114,1.1933130350379793
PCA11,dinov2_b,clean,115,1.3544724602803346
PCA11,dinov2_b,clean,116,1.4941842087688615
PCA11,dinov2_b,clean,117,1.3929590311115885
PCA11,dinov2_b,clean,118,1.4166534888782392
PCA11,dinov2_b,clean,119,1.27463792133926
PCA11,dinov2_b,clean,120,1.0775711213836647
PCA11,dinov2_b,clean,121,1.1953597872779762
PCA11,dinov2_b,clean,122,1.3432643862774007
PCA11,dinov2_b,clean,123,1.581251566494176
PCA11,dinov2_b,clean,124,1.3194995469117672
PCA11,dinov2_b,clean,125,1.3048177026181111
PCA11,dinov2_b,clean,126,1.3112397565514962
PCA11,dinov2_b,clean,127,1.35666518436223
PCA11,dinov2_b,clean,128,1.4833867497956639
PCA11,dinov2_b,clean,129,1.5099572177762495
PCA11,dinov2_b,clean,130,1.3308797455500017
PCA11,dinov2_b,clean,131,1.0737626191090448
PCA11,dinov2_b,clean,132,1.121626867727564
PCA11,dinov2_b,clean,133,1.548811741519275
PCA11,dinov2_b,clean,134,1.550087877898688
PCA11,dinov2_b,clean,135,1.410347800709613
PCA11,dinov2_b,clean,136,1.2933588804987908
PCA11,dinov2_b,clean,137,1.3235623069233187
PCA11,dinov2_b,clean,138,1.5659725989427593
PCA11,dinov2_b,clean,139,1.5506296671592934
PCA11,dinov2_b,clean,140,1.4815397205369445
PCA11,dinov2_b,clean,141,1.488074218396861
PCA11,dinov2_b,clean,142,0.8650295786973217
PCA11,dinov2_b,clean,143,1.138379237303846
PCA11,dinov2_b,clean,144,1.5768234097998222
PCA11,dinov2_b,clean,145,1.3958794677715625
PCA11,dinov2_b,clean,146,1.4338237371886202
PCA11,dinov2_b,clean,147,1.4629661568128856
PCA11,dinov2_b,clean,148,1.388731858592394
PCA11,dinov2_b,clean,149,1.11348320725724
PCA11,dinov2_b,clean,150,1.3580056983833777
PCA11,dinov2_b,clean,151,1.5691750351158336
PCA11,dinov2_b,clean,152,1.5195660466526988
PCA11,dinov2_b,clean,153,1.4131285973524
