dataset,backbone,perturbation,severity,image_idx,cam_shift_jsd,cam_shift_js_distance,cam_shift_js_divergence
PCA11,dinov2_b,gaussian_blur,4,0,0.17642958123399954,0.17642958123399954,0.031127397134404444
PCA11,dinov2_b,gaussian_blur,4,1,0.19289995512710284,0.19289995512710284,0.03721039268803829
PCA11,dinov2_b,gaussian_blur,4,2,0.18827290722082443,0.18827290722082443,0.03544668759338116
PCA11,dinov2_b,gaussian_blur,4,3,0.21359577909700755,0.21359577909700755,0.04562315684805765
PCA11,dinov2_b,gaussian_blur,4,4,0.29805608505787545,0.29805608505787545,0.08883742984002749
PCA11,dinov2_b,gaussian_blur,4,5,0.3563833270584622,0.3563833270584622,0.12700907580525883
PCA11,dinov2_b,gaussian_blur,4,6,0.0718088556881689,0.0718088556881689,0.005156511755244267
PCA11,dinov2_b,gaussian_blur,4,7,0.2187848454877667,0.2187848454877667,0.04786680861510595
PCA11,dinov2_b,gaussian_blur,4,8,0.4136800172603832,0.4136800172603832,0.17113115668055096
PCA11,dinov2_b,gaussian_blur,4,9,0.286536275131586,0.286536275131586,0.08210303696628396
PCA11,dinov2_b,gaussian_blur,4,10,0.5646019568416765,0.5646019568416765,0.3187753696694503
PCA11,dinov2_b,gaussian_blur,4,11,0.053444830502357175,0.053444830502357175,0.0028563499074256878
PCA11,dinov2_b,gaussian_blur,4,12,0.059523116091551524,0.059523116091551524,0.00354300134924832
PCA11,dinov2_b,gaussian_blur,4,13,0.153733241597176,0.153733241597176,0.023633909571975684
PCA11,dinov2_b,gaussian_blur,4,14,0.24858486364107993,0.24858486364107993,0.061794434431454305
PCA11,dinov2_b,gaussian_blur,4,15,0.03202655731013257,0.03202655731013257,0.001025700373139206
PCA11,dinov2_b,gaussian_blur,4,16,0.333754492682107,0.333754492682107,0.11139206138549061
PCA11,dinov2_b,gaussian_blur,4,17,0.1194664621098868,0.1194664621098868,0.01427223556905302
PCA11,dinov2_b,gaussian_blur,4,18,0.14755985188491005,0.14755985188491005,0.021773909888296594
PCA11,dinov2_b,gaussian_blur,4,19,0.0863719164588292,0.0863719164588292,0.007460107952770971
PCA11,dinov2_b,gaussian_blur,4,20,0.06261993118597253,0.06261993118597253,0.003921255781735936
PCA11,dinov2_b,gaussian_blur,4,21,0.3309240591094376,0.3309240591094376,0.10951073289746656
PCA11,dinov2_b,gaussian_blur,4,22,0.2863382662917205,0.2863382662917205,0.08198960274294824
PCA11,dinov2_b,gaussian_blur,4,23,0.12505474911742206,0.12505474911742206,0.015638690276821375
PCA11,dinov2_b,gaussian_blur,4,24,0.1670411158912266,0.1670411158912266,0.027902734398186198
PCA11,dinov2_b,gaussian_blur,4,25,0.30021540967799376,0.30021540967799376,0.09012929220812563
PCA11,dinov2_b,gaussian_blur,4,26,0.09400828670870366,0.09400828670870366,0.00883755796990583
PCA11,dinov2_b,gaussian_blur,4,27,0.06017120703645148,0.06017120703645148,0.0036205741562235078
PCA11,dinov2_b,gaussian_blur,4,28,0.04729110775343484,0.04729110775343484,0.002236448872546985
PCA11,dinov2_b,gaussian_blur,4,29,0.01895350162575173,0.01895350162575173,0.00035923522387737347
PCA11,dinov2_b,gaussian_blur,4,30,0.05858727782536609,0.05858727782536609,0.003432469122986633
PCA11,dinov2_b,gaussian_blur,4,31,0.03709162208183056,0.03709162208183056,0.0013757884286613405
PCA11,dinov2_b,gaussian_blur,4,32,0.13686187918595002,0.13686187918595002,0.01873117397430958
PCA11,dinov2_b,gaussian_blur,4,33,0.2998990515567967,0.2998990515567967,0.0899394411246662
PCA11,dinov2_b,gaussian_blur,4,34,0.2830400235267465,0.2830400235267465,0.08011165491802122
PCA11,dinov2_b,gaussian_blur,4,35,0.06055050981492632,0.06055050981492632,0.003666364238847489
PCA11,dinov2_b,gaussian_blur,4,36,0.04542094989278571,0.04542094989278571,0.0020630626891629503
PCA11,dinov2_b,gaussian_blur,4,37,0.16161770460854505,0.16161770460854505,0.026120282442934923
PCA11,dinov2_b,gaussian_blur,4,38,0.012403006656780187,0.012403006656780187,0.00015383457412813362
PCA11,dinov2_b,gaussian_blur,4,39,0.043792360580317304,0.043792360580317304,0.001917770845196529
