dataset,backbone,condition,image_idx,label,cam_pct_c0,cam_pct_c1,cam_pct_c2,entropy
PCA11,hrnet32,clean,0,0,0.11222334206104279,0.6143873333930969,0.2733892798423767,1.2974093842942749
PCA11,hrnet32,clean,1,0,0.0870988667011261,0.3690081536769867,0.543893039226532,1.3152952981330333
PCA11,hrnet32,clean,2,0,0.12437848001718521,0.29274317622184753,0.5828782916069031,1.3467632243404954
PCA11,hrnet32,clean,3,0,0.09254198521375656,0.44128820300102234,0.4661697745323181,1.3518640340309622
PCA11,hrnet32,clean,4,0,0.014834580011665821,0.36561524868011475,0.6195501089096069,1.0487738943616374
PCA11,hrnet32,clean,5,0,0.09481185674667358,0.5066045522689819,0.3985835015773773,1.3481976827924147
PCA11,hrnet32,clean,6,0,0.23579205572605133,0.24628280103206635,0.5179251432418823,1.4809828574648298
PCA11,hrnet32,clean,7,0,0.03123718500137329,0.4645453095436096,0.5042174458503723,1.1681494060388375
PCA11,hrnet32,clean,8,0,0.0689627155661583,0.13583318889141083,0.7952041029930115,0.9201697598993025
PCA11,hrnet32,clean,9,0,0.14024372398853302,0.5948830842971802,0.264873206615448,1.3508714457729714
PCA11,hrnet32,clean,10,1,0.04166823625564575,0.37579765915870667,0.5825341939926147,1.1757959663473003
PCA11,hrnet32,clean,11,1,0.581407904624939,0.03318703547120094,0.385405033826828,1.1480810809699094
PCA11,hrnet32,clean,12,1,0.10900461673736572,0.36061668395996094,0.5303786993026733,1.3644264876021304
PCA11,hrnet32,clean,13,1,0.05003440007567406,0.40725424885749817,0.5427113771438599,1.2225281978612905
PCA11,hrnet32,clean,14,1,0.6191112995147705,0.09828859567642212,0.28260019421577454,1.2724398399010692
PCA11,hrnet32,clean,15,1,0.31538212299346924,0.032127853482961655,0.6524900197982788,1.0863276588491773
PCA11,hrnet32,clean,16,1,0.6829290986061096,0.1071145161986351,0.2099563181400299,1.1937359968480237
PCA11,hrnet32,clean,17,1,0.28907641768455505,0.5158159732818604,0.19510768353939056,1.470223029030524
PCA11,hrnet32,clean,18,1,0.09164004027843475,0.35270094871520996,0.5556589961051941,1.317291301521067
PCA11,hrnet32,clean,19,1,0.13006509840488434,0.35140860080718994,0.5185263752937317,1.4042488886838171
PCA11,hrnet32,clean,20,1,0.5897973775863647,0.08395131677389145,0.32625123858451843,1.2765252033229761
PCA11,hrnet32,clean,21,1,0.04161069169640541,0.37903034687042236,0.5793588757514954,1.1775888013326594
PCA11,hrnet32,clean,22,1,0.05780130997300148,0.35957884788513184,0.5826197862625122,1.2224026358242044
PCA11,hrnet32,clean,23,1,0.6333045959472656,0.2438066154718399,0.12288873642683029,1.2854888412887753
PCA11,hrnet32,clean,24,1,0.5981435775756836,0.03545401617884636,0.36640241742134094,1.1450330633798949
PCA11,hrnet32,clean,25,1,0.04740095138549805,0.5540616512298584,0.39853736758232117,1.209452869626809
PCA11,hrnet32,clean,26,1,0.5000817775726318,0.05153563618659973,0.4483826160430908,1.2393153290059045
PCA11,hrnet32,clean,27,1,0.7037853002548218,0.1243104487657547,0.17190423607826233,1.1672889519688452
