dataset,backbone,condition,image_idx,entropy
PCA11,hrnet32,clean,0,1.2974093842942749
PCA11,hrnet32,clean,1,1.3152952981330333
PCA11,hrnet32,clean,2,1.3467632243404954
PCA11,hrnet32,clean,3,1.3518640340309622
PCA11,hrnet32,clean,4,1.0487738943616374
PCA11,hrnet32,clean,5,1.3481976827924147
PCA11,hrnet32,clean,6,1.4809828574648298
PCA11,hrnet32,clean,7,1.1681494060388375
PCA11,hrnet32,clean,8,0.9201697598993025
PCA11,hrnet32,clean,9,1.3508714457729714
PCA11,hrnet32,clean,10,1.1757959663473003
PCA11,hrnet32,clean,11,1.1480810809699094
PCA11,hrnet32,clean,12,1.3644264876021304
PCA11,hrnet32,clean,13,1.2225281978612905
PCA11,hrnet32,clean,14,1.2724398399010692
PCA11,hrnet32,clean,15,1.0863276588491773
PCA11,hrnet32,clean,16,1.1937359968480237
PCA11,hrnet32,clean,17,1.470223029030524
PCA11,hrnet32,clean,18,1.317291301521067
PCA11,hrnet32,clean,19,1.4042488886838171
PCA11,hrnet32,clean,20,1.2765252033229761
PCA11,hrnet32,clean,21,1.1775888013326594
PCA11,hrnet32,clean,22,1.2224026358242044
PCA11,hrnet32,clean,23,1.2854888412887753
PCA11,hrnet32,clean,24,1.1450330633798949
PCA11,hrnet32,clean,25,1.209452869626809
PCA11,hrnet32,clean,26,1.2393153290059045
PCA11,hrnet32,clean,27,1.1672889519688452
PCA11,hrnet32,clean,28,1.119108634446292
PCA11,hrnet32,clean,29,1.1046352457981927
PCA11,hrnet32,clean,30,1.335920441455915
PCA11,hrnet32,clean,31,1.1793915360371514
PCA11,hrnet32,clean,32,1.3080156934362126
PCA11,hrnet32,clean,33,1.1188233243060457
PCA11,hrnet32,clean,34,1.2467157539975797
PCA11,hrnet32,clean,35,1.2714842471071368
PCA11,hrnet32,clean,36,1.265099064633175
PCA11,hrnet32,clean,37,1.2759342875799173
PCA11,hrnet32,clean,38,1.0723740007248712
PCA11,hrnet32,clean,39,1.4287892899372636
PCA11,hrnet32,clean,40,1.231465218667732
PCA11,hrnet32,clean,41,1.176063503731211
PCA11,hrnet32,clean,42,1.2542497899972271
PCA11,hrnet32,clean,43,1.268902194824443
PCA11,hrnet32,clean,44,1.0906083649076797
PCA11,hrnet32,clean,45,1.1640830609423842
PCA11,hrnet32,clean,46,1.374291355830365
PCA11,hrnet32,clean,47,1.518170280859947
PCA11,hrnet32,clean,48,1.2856490538290042
PCA11,hrnet32,clean,49,1.4408198121072502
PCA11,hrnet32,clean,50,1.4565768038255258
PCA11,hrnet32,clean,51,1.3629363487284802
PCA11,hrnet32,clean,52,1.3700029409241925
PCA11,hrnet32,clean,53,1.5552649743680305
PCA11,hrnet32,clean,54,1.308478865064174
PCA11,hrnet32,clean,55,1.5673961939007552
PCA11,hrnet32,clean,56,1.5197027267717975
PCA11,hrnet32,clean,57,1.5558043062522917
PCA11,hrnet32,clean,58,1.5830268012700937
PCA11,hrnet32,clean,59,1.5334302724133355
PCA11,hrnet32,clean,60,1.5748023837965235
PCA11,hrnet32,clean,61,1.560176054094625
PCA11,hrnet32,clean,62,1.0274430345646528
PCA11,hrnet32,clean,63,1.254765115613877
PCA11,hrnet32,clean,64,1.5142150633586304
PCA11,hrnet32,clean,65,1.570041843636945
PCA11,hrnet32,clean,66,1.5831421848782257
PCA11,hrnet32,clean,67,1.5328075579555183
PCA11,hrnet32,clean,68,1.2337224436921406
PCA11,hrnet32,clean,69,1.0079119289198286
PCA11,hrnet32,clean,70,1.4863915221596822
PCA11,hrnet32,clean,71,1.5450466397980007
PCA11,hrnet32,clean,72,1.4122894318084303
PCA11,hrnet32,clean,73,1.4967309095018217
PCA11,hrnet32,clean,74,1.5781979245500741
PCA11,hrnet32,clean,75,1.5554108211721518
PCA11,hrnet32,clean,76,1.3746124433917222
PCA11,hrnet32,clean,77,1.4841586784179273
PCA11,hrnet32,clean,78,1.3699372613850782
PCA11,hrnet32,clean,79,1.4402150160606062
PCA11,hrnet32,clean,80,1.3698817218251602
PCA11,hrnet32,clean,81,1.3922751723303115
PCA11,hrnet32,clean,82,1.4247191367904013
PCA11,hrnet32,clean,83,1.3680978590781887
PCA11,hrnet32,clean,84,1.5236247285995885
PCA11,hrnet32,clean,85,1.3884488775657906
PCA11,hrnet32,clean,86,1.564183626310804
PCA11,hrnet32,clean,87,1.0883525173626794
PCA11,hrnet32,clean,88,1.3596654900458485
PCA11,hrnet32,clean,89,1.213876271974019
PCA11,hrnet32,clean,90,1.2361308201456027
PCA11,hrnet32,clean,91,1.2766786833874244
PCA11,hrnet32,clean,92,0.9155901739944929
PCA11,hrnet32,clean,93,1.304776622647121
