dataset,backbone,condition,image_idx,label,cam_pct_c0,cam_pct_c1,cam_pct_c2,entropy
PCA11,mobilenetv3,clean,0,0,0.28040385246276855,0.6664779782295227,0.05311810225248337,1.1294524687893692
PCA11,mobilenetv3,clean,1,0,0.27327388525009155,0.264667809009552,0.46205827593803406,1.5336846635756598
PCA11,mobilenetv3,clean,2,0,0.2502286732196808,0.23001894354820251,0.5197523236274719,1.4785079404259815
PCA11,mobilenetv3,clean,3,0,0.2812061905860901,0.5908993482589722,0.1278945505619049,1.3426532182211877
PCA11,mobilenetv3,clean,4,0,0.07786768674850464,0.26539328694343567,0.6567389965057373,1.1930653347948763
PCA11,mobilenetv3,clean,5,0,0.2430868148803711,0.4683358669281006,0.28857725858688354,1.5259581155784563
PCA11,mobilenetv3,clean,6,0,0.4333767890930176,0.2951052188873291,0.2715180814266205,1.5530693443997257
PCA11,mobilenetv3,clean,7,0,0.23094262182712555,0.2565584182739258,0.5124988555908203,1.486078910251372
PCA11,mobilenetv3,clean,8,0,0.25109419226646423,0.3228764832019806,0.42602938413619995,1.551631951403197
PCA11,mobilenetv3,clean,9,0,0.42052707076072693,0.17720164358615875,0.4022713899612427,1.4964229913430849
PCA11,mobilenetv3,clean,10,1,0.03581975772976875,0.44195425510406494,0.5222260355949402,1.1821400350755664
PCA11,mobilenetv3,clean,11,1,0.2952231466770172,0.5392398238182068,0.16553696990013123,1.4296232102783575
PCA11,mobilenetv3,clean,12,1,0.10778181999921799,0.3328881859779358,0.5593299269676208,1.3434941414501997
PCA11,mobilenetv3,clean,13,1,0.18812209367752075,0.5712220072746277,0.24065595865249634,1.4094371824681864
PCA11,mobilenetv3,clean,14,1,0.47131383419036865,0.11379850655794144,0.4148876667022705,1.3948762479064976
PCA11,mobilenetv3,clean,15,1,0.33601605892181396,0.44511154294013977,0.21887235343456268,1.52820377022542
PCA11,mobilenetv3,clean,16,1,0.3135838210582733,0.201175719499588,0.4852405786514282,1.496280742869645
PCA11,mobilenetv3,clean,17,1,0.3807913661003113,0.2475523203611374,0.3716563582420349,1.5597432162817508
PCA11,mobilenetv3,clean,18,1,0.4020192623138428,0.06561033427715302,0.5323704481124878,1.2705539180928764
PCA11,mobilenetv3,clean,19,1,0.3761763572692871,0.1921549141407013,0.43166878819465637,1.5110508864954153
PCA11,mobilenetv3,clean,20,1,0.2768566906452179,0.4792899489402771,0.24385327100753784,1.5179621643146821
PCA11,mobilenetv3,clean,21,1,0.49210125207901,0.19848743081092834,0.3094112277030945,1.4901020479016358
PCA11,mobilenetv3,clean,22,1,0.09048130363225937,0.47308969497680664,0.436428964138031,1.3465267782299208
PCA11,mobilenetv3,clean,23,1,0.36856943368911743,0.4234968423843384,0.20793376863002777,1.5268309735961738
PCA11,mobilenetv3,clean,24,1,0.5156490802764893,0.13307887315750122,0.35127195715904236,1.4101237380009357
PCA11,mobilenetv3,clean,25,1,0.06530369818210602,0.3909376859664917,0.5437586307525635,1.2647399582791812
PCA11,mobilenetv3,clean,26,1,0.4073549807071686,0.2582242488861084,0.334420770406723,1.5606493790193507
PCA11,mobilenetv3,clean,27,1,0.4533561170101166,0.40492817759513855,0.14171577990055084,1.4450267778951922
PCA11,mobilenetv3,clean,28,1,0.291460782289505,0.3110554814338684,0.397483766078949,1.5715161291235884
PCA11,mobilenetv3,clean,29,1,0.4003189206123352,0.2976178526878357,0.3020632565021515,1.5707941585696603
PCA11,mobilenetv3,clean,30,1,0.030045997351408005,0.6452473402023315,0.32470670342445374,1.0867094342856711
PCA11,mobilenetv3,clean,31,1,0.2559260129928589,0.4499746859073639,0.2940993010997772,1.54087981103704
PCA11,mobilenetv3,clean,32,1,0.08727283030748367,0.3112327456474304,0.6014944314956665,1.2722715455488198
PCA11,mobilenetv3,clean,33,1,0.4850950837135315,0.2975667715072632,0.21733808517456055,1.5052096324230868
PCA11,mobilenetv3,clean,34,2,0.2865156829357147,0.6947958469390869,0.01868845708668232,0.9889847398997833
PCA11,mobilenetv3,clean,35,2,0.047506313771009445,0.7031999230384827,0.24929378926753998,1.0656510189505917
PCA11,mobilenetv3,clean,36,2,0.1473834067583084,0.016149424016475677,0.8364672660827637,0.718742484796145
PCA11,mobilenetv3,clean,37,2,0.1553996503353119,0.545192539691925,0.29940780997276306,1.4154414018171702
PCA11,mobilenetv3,clean,38,2,0.4906820058822632,0.14672625064849854,0.3625917136669159,1.4409375409619805
PCA11,mobilenetv3,clean,39,2,0.6270288825035095,0.08047705888748169,0.292493999004364,1.2335396524046374
PCA11,mobilenetv3,clean,40,2,0.1884295642375946,0.40124765038490295,0.41032278537750244,1.509671877788185
PCA11,mobilenetv3,clean,41,2,0.04939763620495796,0.2562532424926758,0.6943491101264954,1.0831428039245479
PCA11,mobilenetv3,clean,42,2,0.21254517138004303,0.46731239557266235,0.3201424777507782,1.5138166331167573
PCA11,mobilenetv3,clean,43,2,0.16785812377929688,0.547699511051178,0.284442275762558,1.423801945146356
PCA11,mobilenetv3,clean,44,2,0.07593001425266266,0.5206866264343262,0.40338334441185,1.300972987313172
PCA11,mobilenetv3,clean,45,2,0.0885869637131691,0.46601787209510803,0.44539517164230347,1.342812017687536
PCA11,mobilenetv3,clean,46,2,0.32814791798591614,0.6025403141975403,0.06931181252002716,1.234806274276432
PCA11,mobilenetv3,clean,47,2,0.05698017776012421,0.6333553791046143,0.30966439843177795,1.1765590562660497
PCA11,mobilenetv3,clean,48,2,0.1520589292049408,0.48490357398986816,0.3630373775959015,1.4502319873846985
PCA11,mobilenetv3,clean,49,2,0.14927232265472412,0.5661869645118713,0.2845407724380493,1.3901972698616913
PCA11,mobilenetv3,clean,50,3,0.44730499386787415,0.17993849515914917,0.3727565407752991,1.4951087236140057
PCA11,mobilenetv3,clean,51,3,0.3581109046936035,0.3773782551288605,0.26451075077056885,1.5686022813896399
PCA11,mobilenetv3,clean,52,3,0.45682400465011597,0.3079259693622589,0.23525016009807587,1.5307551218914384
PCA11,mobilenetv3,clean,53,3,0.4115385115146637,0.14376646280288696,0.44469502568244934,1.449325611091583
PCA11,mobilenetv3,clean,54,3,0.37864112854003906,0.20983171463012695,0.4115270972251892,1.530341663508925
PCA11,mobilenetv3,clean,55,3,0.5856176614761353,0.048043910413980484,0.36633849143981934,1.193220328236969
PCA11,mobilenetv3,clean,56,3,0.23482918739318848,0.3802952766418457,0.38487550616264343,1.5514861737494083
PCA11,mobilenetv3,clean,57,3,0.330300897359848,0.16500580310821533,0.5046932101249695,1.4546780725521298
PCA11,mobilenetv3,clean,58,3,0.3292299211025238,0.30859681963920593,0.3621731698513031,1.5818175785723774
PCA11,mobilenetv3,clean,59,3,0.40179139375686646,0.34819066524505615,0.2500179409980774,1.5585229160997418
PCA11,mobilenetv3,clean,60,3,0.3667873442173004,0.24114148318767548,0.3920712471008301,1.555184095443364
PCA11,mobilenetv3,clean,61,3,0.44805800914764404,0.10681616514921188,0.44512587785720825,1.3834141002157971
PCA11,mobilenetv3,clean,62,3,0.05340815708041191,0.4159247875213623,0.5306671261787415,1.2372359919805658
PCA11,mobilenetv3,clean,63,3,0.49312856793403625,0.04861869663000107,0.4582526981830597,1.2309589197484119
PCA11,mobilenetv3,clean,64,3,0.5040497183799744,0.10099444538354874,0.3949558734893799,1.3615724340969644
PCA11,mobilenetv3,clean,65,3,0.45880815386772156,0.18904490768909454,0.35214686393737793,1.5002753710733234
PCA11,mobilenetv3,clean,66,3,0.46117937564849854,0.1116805374622345,0.42714008688926697,1.3923425968149248
