dataset,backbone,condition,image_idx,entropy
PCA11,resnet50,clean,0,0.5311265034497323
PCA11,resnet50,clean,1,0.7916034278042153
PCA11,resnet50,clean,2,1.2693641219665193
PCA11,resnet50,clean,3,0.6573969641436025
PCA11,resnet50,clean,4,0.5913255494214753
PCA11,resnet50,clean,5,0.7002189004718532
PCA11,resnet50,clean,6,1.561896325038663
PCA11,resnet50,clean,7,1.0255823351951374
PCA11,resnet50,clean,8,0.8108915390861915
PCA11,resnet50,clean,9,1.0505752818256815
PCA11,resnet50,clean,10,1.1502152764152116
PCA11,resnet50,clean,11,0.6828860029234972
PCA11,resnet50,clean,12,1.1659426136813642
PCA11,resnet50,clean,13,1.0796949735165176
PCA11,resnet50,clean,14,1.087309061739149
PCA11,resnet50,clean,15,0.6287248892497843
PCA11,resnet50,clean,16,0.9103854416975719
PCA11,resnet50,clean,17,1.1481665180902398
PCA11,resnet50,clean,18,1.407656040759729
PCA11,resnet50,clean,19,1.1451544066461725
PCA11,resnet50,clean,20,1.5314893646251986
PCA11,resnet50,clean,21,1.0398275251870857
PCA11,resnet50,clean,22,1.181847353963431
PCA11,resnet50,clean,23,1.4291271058373571
PCA11,resnet50,clean,24,1.0600432332501881
PCA11,resnet50,clean,25,0.9847597752889218
PCA11,resnet50,clean,26,1.0624389207301244
PCA11,resnet50,clean,27,1.3478339298018924
PCA11,resnet50,clean,28,1.0785887192543357
PCA11,resnet50,clean,29,1.0185324122343205
PCA11,resnet50,clean,30,0.8109257310576725
PCA11,resnet50,clean,31,1.0543923084351103
PCA11,resnet50,clean,32,1.0945500773386474
PCA11,resnet50,clean,33,1.0060526010148718
PCA11,resnet50,clean,34,1.0059990499587799
PCA11,resnet50,clean,35,0.8772917850585427
PCA11,resnet50,clean,36,0.7050243211819353
PCA11,resnet50,clean,37,0.9156407902131254
PCA11,resnet50,clean,38,1.4315745990885547
PCA11,resnet50,clean,39,1.1910274457444796
PCA11,resnet50,clean,40,1.1589995456299285
PCA11,resnet50,clean,41,0.9530847523554669
PCA11,resnet50,clean,42,1.3662907595352365
PCA11,resnet50,clean,43,0.5904131374448899
PCA11,resnet50,clean,44,0.9744346002487725
PCA11,resnet50,clean,45,0.978850735621595
PCA11,resnet50,clean,46,0.9868331450749317
PCA11,resnet50,clean,47,1.1371277171575993
PCA11,resnet50,clean,48,0.48178860760655234
PCA11,resnet50,clean,49,0.9964282287703216
PCA11,resnet50,clean,50,1.2971767547377162
PCA11,resnet50,clean,51,1.5177852851681823
PCA11,resnet50,clean,52,1.4704519775586737
PCA11,resnet50,clean,53,1.4905177134533587
PCA11,resnet50,clean,54,1.5266944224799701
PCA11,resnet50,clean,55,1.551707397699646
PCA11,resnet50,clean,56,1.3732262568050362
PCA11,resnet50,clean,57,1.55441860314603
PCA11,resnet50,clean,58,1.553468735734636
PCA11,resnet50,clean,59,1.5158151651788487
PCA11,resnet50,clean,60,1.578175938246287
PCA11,resnet50,clean,61,1.4954516272967244
PCA11,resnet50,clean,62,1.0305194648328535
PCA11,resnet50,clean,63,1.4193422806544826
PCA11,resnet50,clean,64,1.4216911303706805
PCA11,resnet50,clean,65,1.4588691017294448
PCA11,resnet50,clean,66,1.549571223012751
PCA11,resnet50,clean,67,1.3980278666509922
PCA11,resnet50,clean,68,1.326794989821221
PCA11,resnet50,clean,69,1.1645044627410372
PCA11,resnet50,clean,70,1.2556883066206042
PCA11,resnet50,clean,71,0.8613695402025543
PCA11,resnet50,clean,72,1.2056807215020726
PCA11,resnet50,clean,73,1.1579884575903452
PCA11,resnet50,clean,74,1.1566602502121512
PCA11,resnet50,clean,75,1.2538584279595049
PCA11,resnet50,clean,76,0.5647911931771743
PCA11,resnet50,clean,77,1.2818452819805488
PCA11,resnet50,clean,78,0.7220831513965558
PCA11,resnet50,clean,79,1.0051002706123469
PCA11,resnet50,clean,80,1.1839572016775755
PCA11,resnet50,clean,81,1.1806578261281808
PCA11,resnet50,clean,82,1.2225356457010688
PCA11,resnet50,clean,83,0.7864586726141978
PCA11,resnet50,clean,84,1.3101385310443283
PCA11,resnet50,clean,85,1.2912944938934665
PCA11,resnet50,clean,86,0.9615218748840968
PCA11,resnet50,clean,87,0.7349997395972695
PCA11,resnet50,clean,88,0.8497393929069246
PCA11,resnet50,clean,89,0.9060789491803467
PCA11,resnet50,clean,90,0.890556499008977
PCA11,resnet50,clean,91,0.9771748507644576
PCA11,resnet50,clean,92,0.45869115582397535
PCA11,resnet50,clean,93,0.805132030016221
PCA11,resnet50,clean,94,1.2365085174444423
