dataset,backbone,perturbation,severity,image_idx,cam_shift_jsd,cam_shift_js_distance,cam_shift_js_divergence
PCA11,swin_tiny,gaussian_blur,4,0,0.08390659511427223,0.08390659511427223,0.007040316703670412
PCA11,swin_tiny,gaussian_blur,4,1,0.4121647342337966,0.4121647342337966,0.1698797681460162
PCA11,swin_tiny,gaussian_blur,4,2,0.07136888968694031,0.07136888968694031,0.005093518415146656
PCA11,swin_tiny,gaussian_blur,4,3,0.47431016155982947,0.47431016155982947,0.22497012935891153
PCA11,swin_tiny,gaussian_blur,4,4,0.5193091679628218,0.5193091679628218,0.2696820119302382
PCA11,swin_tiny,gaussian_blur,4,5,0.13078559306895607,0.13078559306895607,0.01710487135439857
PCA11,swin_tiny,gaussian_blur,4,6,0.0544177374829453,0.0544177374829453,0.00296129015276275
PCA11,swin_tiny,gaussian_blur,4,7,0.08844146316134739,0.08844146316134739,0.007821892406119968
PCA11,swin_tiny,gaussian_blur,4,8,0.08623352163027188,0.08623352163027188,0.007436220252758569
PCA11,swin_tiny,gaussian_blur,4,9,0.625084423950318,0.625084423950318,0.3907305370653009
PCA11,swin_tiny,gaussian_blur,4,10,0.33800607878960526,0.33800607878960526,0.11424810929872484
PCA11,swin_tiny,gaussian_blur,4,11,0.6847759331991714,0.6847759331991714,0.46891807868879604
PCA11,swin_tiny,gaussian_blur,4,12,0.5718301359098718,0.5718301359098718,0.3269897043347024
PCA11,swin_tiny,gaussian_blur,4,13,0.5253832848856361,0.5253832848856361,0.2760275960372215
PCA11,swin_tiny,gaussian_blur,4,14,0.5291881723239648,0.5291881723239648,0.2800401217275782
PCA11,swin_tiny,gaussian_blur,4,15,0.03976438677638306,0.03976438677638306,0.001581206455701788
PCA11,swin_tiny,gaussian_blur,4,16,0.03299567776998719,0.03299567776998719,0.001088714751500827
PCA11,swin_tiny,gaussian_blur,4,17,0.18732640607635498,0.18732640607635498,0.03509118241348344
PCA11,swin_tiny,gaussian_blur,4,18,0.20819491984387647,0.20819491984387647,0.04334512464879815
PCA11,swin_tiny,gaussian_blur,4,19,0.06480139096588414,0.06480139096588414,0.0041992202711133705
PCA11,swin_tiny,gaussian_blur,4,20,0.6578895568437774,0.6578895568437774,0.43281866900410176
PCA11,swin_tiny,gaussian_blur,4,21,0.6173085565464108,0.6173085565464108,0.38106985398541326
PCA11,swin_tiny,gaussian_blur,4,22,0.6203580862741367,0.6203580862741367,0.3848441552057092
PCA11,swin_tiny,gaussian_blur,4,23,0.0638500028946929,0.0638500028946929,0.004076822869652293
PCA11,swin_tiny,gaussian_blur,4,24,0.0677872194517813,0.0677872194517813,0.004595107121003957
PCA11,swin_tiny,gaussian_blur,4,25,0.435241225376457,0.435241225376457,0.18943492426719982
PCA11,swin_tiny,gaussian_blur,4,26,0.689269300259637,0.689269300259637,0.47509216828040957
PCA11,swin_tiny,gaussian_blur,4,27,0.6526015401234238,0.6526015401234238,0.42588877017146465
PCA11,swin_tiny,gaussian_blur,4,28,0.08105117762359076,0.08105117762359076,0.00656929339417086
PCA11,swin_tiny,gaussian_blur,4,29,0.2010404828471828,0.2010404828471828,0.0404172757434284
PCA11,swin_tiny,gaussian_blur,4,30,0.14887092993394715,0.14887092993394715,0.022162553779398204
PCA11,swin_tiny,gaussian_blur,4,31,0.04344458388705581,0.04344458388705581,0.0018874318691194296
PCA11,swin_tiny,gaussian_blur,4,32,0.06428474545513259,0.06428474545513259,0.00413252849823119
PCA11,swin_tiny,gaussian_blur,4,33,0.03924143318801645,0.03924143318801645,0.0015398900786495588
