dataset,backbone,condition,image_idx,entropy
WRD25,mobilenetv3,clean,0,1.289208323142907
WRD25,mobilenetv3,clean,1,1.4381786696240801
WRD25,mobilenetv3,clean,2,1.4226966698913954
WRD25,mobilenetv3,clean,3,1.3033914832383804
WRD25,mobilenetv3,clean,4,1.557298358342174
WRD25,mobilenetv3,clean,5,1.4103085336007881
WRD25,mobilenetv3,clean,6,1.4807377964986008
WRD25,mobilenetv3,clean,7,1.5320013649641495
WRD25,mobilenetv3,clean,8,1.4759642081603577
WRD25,mobilenetv3,clean,9,1.5227761253603456
WRD25,mobilenetv3,clean,10,1.5722355140292956
WRD25,mobilenetv3,clean,11,1.3601689554877021
WRD25,mobilenetv3,clean,12,1.4664252153842832
WRD25,mobilenetv3,clean,13,1.3571095372256141
WRD25,mobilenetv3,clean,14,1.341974275796871
WRD25,mobilenetv3,clean,15,1.1757818977868442
WRD25,mobilenetv3,clean,16,1.286229131698831
WRD25,mobilenetv3,clean,17,1.3184127368206686
WRD25,mobilenetv3,clean,18,0.8415989182372667
WRD25,mobilenetv3,clean,19,1.4985746214361093
WRD25,mobilenetv3,clean,20,1.0905905772373756
WRD25,mobilenetv3,clean,21,1.0862272323181585
WRD25,mobilenetv3,clean,22,1.2267597055593182
WRD25,mobilenetv3,clean,23,1.1550800852719818
WRD25,mobilenetv3,clean,24,1.1133236913510562
WRD25,mobilenetv3,clean,25,1.0467404398009053
WRD25,mobilenetv3,clean,26,1.1140434859295754
WRD25,mobilenetv3,clean,27,1.1411087546447802
WRD25,mobilenetv3,clean,28,1.257310368936242
WRD25,mobilenetv3,clean,29,1.044484947125496
WRD25,mobilenetv3,clean,30,1.096715129427198
WRD25,mobilenetv3,clean,31,0.5132189961921596
WRD25,mobilenetv3,clean,32,0.8899262760979727
WRD25,mobilenetv3,clean,33,0.7653479327500086
WRD25,mobilenetv3,clean,34,1.1472654704335974
WRD25,mobilenetv3,clean,35,1.0389851948038096
WRD25,mobilenetv3,clean,36,0.22454226327625906
WRD25,mobilenetv3,clean,37,0.3322886791792383
WRD25,mobilenetv3,clean,38,0.26114131690302844
WRD25,mobilenetv3,clean,39,1.0609070094244109
WRD25,mobilenetv3,clean,40,1.0490663741415576
WRD25,mobilenetv3,clean,41,0.9244381163363233
WRD25,mobilenetv3,clean,42,0.5510548449409923
WRD25,mobilenetv3,clean,43,1.0491408931101804
WRD25,mobilenetv3,clean,44,1.4387933707039693
WRD25,mobilenetv3,clean,45,1.4320472096276018
WRD25,mobilenetv3,clean,46,0.3314715874878793
WRD25,mobilenetv3,clean,47,1.1133023706985918
WRD25,mobilenetv3,clean,48,1.0583202426059253
WRD25,mobilenetv3,clean,49,1.0625609819294866
WRD25,mobilenetv3,clean,50,1.0407443531074525
WRD25,mobilenetv3,clean,51,0.5525076152477312
WRD25,mobilenetv3,clean,52,0.8312225045496612
WRD25,mobilenetv3,clean,53,1.2988361426532247
WRD25,mobilenetv3,clean,54,1.037404602612333
WRD25,mobilenetv3,clean,55,0.8888700111944878
WRD25,mobilenetv3,clean,56,1.0367234823317366
WRD25,mobilenetv3,clean,57,1.3550445978393184
WRD25,mobilenetv3,clean,58,1.4524740025023866
WRD25,mobilenetv3,clean,59,1.0966760701719769
WRD25,mobilenetv3,clean,60,1.4841722847348704
WRD25,mobilenetv3,clean,61,1.273848213538264
WRD25,mobilenetv3,clean,62,1.1221520010058232
WRD25,mobilenetv3,clean,63,1.1502884658527914
WRD25,mobilenetv3,clean,64,1.1688117797094457
WRD25,mobilenetv3,clean,65,1.5206420157120004
WRD25,mobilenetv3,clean,66,1.1739908115628002
WRD25,mobilenetv3,clean,67,1.5708171150605126
WRD25,mobilenetv3,clean,68,1.5630002285470628
WRD25,mobilenetv3,clean,69,1.3086965594188922
WRD25,mobilenetv3,clean,70,1.4969931972314428
WRD25,mobilenetv3,clean,71,1.520328167412699
WRD25,mobilenetv3,clean,72,1.1808180476088768
WRD25,mobilenetv3,clean,73,1.3880464955204204
WRD25,mobilenetv3,clean,74,1.3423398637753468
WRD25,mobilenetv3,clean,75,1.228401287041946
WRD25,mobilenetv3,clean,76,1.3571421412572287
WRD25,mobilenetv3,clean,77,1.4277323265837534
WRD25,mobilenetv3,clean,78,1.5609619758907116
WRD25,mobilenetv3,clean,79,1.5703906690749996
WRD25,mobilenetv3,clean,80,1.3299571449455432
WRD25,mobilenetv3,clean,81,1.4015168706313448
WRD25,mobilenetv3,clean,82,1.5444550090637366
WRD25,mobilenetv3,clean,83,1.3959321337626867
WRD25,mobilenetv3,clean,84,1.5286689170452643
WRD25,mobilenetv3,clean,85,1.3493807581771262
WRD25,mobilenetv3,clean,86,1.3994488527470783
WRD25,mobilenetv3,clean,87,1.1533013514869985
WRD25,mobilenetv3,clean,88,1.3495103834246462
WRD25,mobilenetv3,clean,89,1.360339577746383
WRD25,mobilenetv3,clean,90,1.1861837445955292
WRD25,mobilenetv3,clean,91,1.1714851146898075
WRD25,mobilenetv3,clean,92,1.1434816481354617
WRD25,mobilenetv3,clean,93,1.289409238286353
WRD25,mobilenetv3,clean,94,1.2788158691779938
WRD25,mobilenetv3,clean,95,1.4381756060633188
WRD25,mobilenetv3,clean,96,1.2525262872895249
WRD25,mobilenetv3,clean,97,0.5413325798028459
