dataset,backbone,perturbation,severity,image_idx,cam_shift_jsd,cam_shift_js_distance,cam_shift_js_divergence
WRD25,resnet50,gaussian_blur,4,0,0.23256428190123757,0.23256428190123757,0.05408614521623829
WRD25,resnet50,gaussian_blur,4,1,0.1964407109076248,0.1964407109076248,0.03858895290189302
WRD25,resnet50,gaussian_blur,4,2,0.13083773870718043,0.13083773870718043,0.01711851387000842
WRD25,resnet50,gaussian_blur,4,3,0.42976602812337844,0.42976602812337844,0.1846988389289445
WRD25,resnet50,gaussian_blur,4,4,0.3852280553458364,0.3852280553458364,0.14840065462553478
WRD25,resnet50,gaussian_blur,4,5,0.44094633283345835,0.44094633283345835,0.19443366843927504
WRD25,resnet50,gaussian_blur,4,6,0.09639240066574274,0.09639240066574274,0.009291494906105082
WRD25,resnet50,gaussian_blur,4,7,0.1141015285609749,0.1141015285609749,0.013019158819950971
WRD25,resnet50,gaussian_blur,4,8,0.5303026505625165,0.5303026505625165,0.28122090119363047
WRD25,resnet50,gaussian_blur,4,9,0.2212518652509249,0.2212518652509249,0.048952387877013434
WRD25,resnet50,gaussian_blur,4,10,0.07677238911514006,0.07677238911514006,0.005893999730446476
WRD25,resnet50,gaussian_blur,4,11,0.050221040607217896,0.050221040607217896,0.002522152919671829
WRD25,resnet50,gaussian_blur,4,12,0.18718109548755388,0.18718109548755388,0.03503676250792076
WRD25,resnet50,gaussian_blur,4,13,0.20767296864643658,0.20767296864643658,0.043128061906423834
WRD25,resnet50,gaussian_blur,4,14,0.0780250936694168,0.0780250936694168,0.006087915242121266
WRD25,resnet50,gaussian_blur,4,15,0.5546531440943019,0.5546531440943019,0.3076401102536944
WRD25,resnet50,gaussian_blur,4,16,0.25283649954208254,0.25283649954208254,0.06392629550069351
WRD25,resnet50,gaussian_blur,4,17,0.35455862516704834,0.35455862516704834,0.12571181868034748
WRD25,resnet50,gaussian_blur,4,18,0.1902486416183199,0.1902486416183199,0.03619454563761592
WRD25,resnet50,gaussian_blur,4,19,0.4980286254133863,0.4980286254133863,0.24803251173114707
WRD25,resnet50,gaussian_blur,4,20,0.6731675615982765,0.6731675615982765,0.4531545659881694
WRD25,resnet50,gaussian_blur,4,21,0.5846963822190488,0.5846963822190488,0.34186985938004405
WRD25,resnet50,gaussian_blur,4,22,0.04347124669819624,0.04347124669819624,0.0018897492894954376
WRD25,resnet50,gaussian_blur,4,23,0.18947348402726782,0.18947348402726782,0.035900201149431314
WRD25,resnet50,gaussian_blur,4,24,0.15655547067909667,0.15655547067909667,0.024509615399553496
WRD25,resnet50,gaussian_blur,4,25,0.5650638179867228,0.5650638179867228,0.31929711839773217
WRD25,resnet50,gaussian_blur,4,26,0.5108937250406932,0.5108937250406932,0.2610123982859554
WRD25,resnet50,gaussian_blur,4,27,0.571103037986156,0.571103037986156,0.32615867999701675
WRD25,resnet50,gaussian_blur,4,28,0.2981619621403343,0.2981619621403343,0.08890055566737415
WRD25,resnet50,gaussian_blur,4,29,0.5330232258407775,0.5330232258407775,0.28411375928570853
WRD25,resnet50,gaussian_blur,4,30,0.2525678021666569,0.2525678021666569,0.06379049469129555
WRD25,resnet50,gaussian_blur,4,31,0.07587706939341596,0.07587706939341596,0.0057573296597332605
WRD25,resnet50,gaussian_blur,4,32,0.26769684470389793,0.26769684470389793,0.07166160066442284
WRD25,resnet50,gaussian_blur,4,33,0.3084205222890994,0.3084205222890994,0.09512321856908085
WRD25,resnet50,gaussian_blur,4,34,0.5038913547598112,0.5038913547598112,0.25390649740167787
WRD25,resnet50,gaussian_blur,4,35,0.24558458303807681,0.24558458303807681,0.060311787425986044
WRD25,resnet50,gaussian_blur,4,36,0.2945414618928541,0.2945414618928541,0.08675467277397961
WRD25,resnet50,gaussian_blur,4,37,0.5453513643326551,0.5453513643326551,0.2974081105794883
WRD25,resnet50,gaussian_blur,4,38,0.21651632089737224,0.21651632089737224,0.04687931721493387
WRD25,resnet50,gaussian_blur,4,39,0.1392567303258471,0.1392567303258471,0.019392436941045702
WRD25,resnet50,gaussian_blur,4,40,0.1862395421017775,0.1862395421017775,0.03468516704227976
WRD25,resnet50,gaussian_blur,4,41,0.24326543957469665,0.24326543957469665,0.05917807409147039
WRD25,resnet50,gaussian_blur,4,42,0.4906234837473579,0.4906234837473579,0.240711402804394
WRD25,resnet50,gaussian_blur,4,43,0.1388928120834789,0.1388928120834789,0.01929121324845658
WRD25,resnet50,gaussian_blur,4,44,0.7980412271488081,0.7980412271488081,0.6368698002291755
WRD25,resnet50,gaussian_blur,4,45,0.038824136845386756,0.038824136845386756,0.0015073136017893175
WRD25,resnet50,gaussian_blur,4,46,0.4782570344920323,0.4782570344920323,0.22872979104111293
WRD25,resnet50,gaussian_blur,4,47,0.3283860566744108,0.3283860566744108,0.10783740221816933
WRD25,resnet50,gaussian_blur,4,48,0.217437887586514,0.217437887586514,0.047279234958085496
WRD25,resnet50,gaussian_blur,4,49,0.23608837319945028,0.23608837319945028,0.05573771995996291
WRD25,resnet50,gaussian_blur,4,50,0.5793924777879398,0.5793924777879398,0.33569564331724827
WRD25,resnet50,gaussian_blur,4,51,0.3383512761147644,0.3383512761147644,0.11448158604848954
WRD25,resnet50,gaussian_blur,4,52,0.3230838224092895,0.3230838224092895,0.10438315630259733
WRD25,resnet50,gaussian_blur,4,53,0.5051890047240586,0.5051890047240586,0.25521593049408486
WRD25,resnet50,gaussian_blur,4,54,0.6281826085750493,0.6281826085750493,0.39461338971615356
WRD25,resnet50,gaussian_blur,4,55,0.045214267594550016,0.045214267594550016,0.0020443299941115757
WRD25,resnet50,gaussian_blur,4,56,0.07281817438179537,0.07281817438179537,0.00530248652029756
WRD25,resnet50,gaussian_blur,4,57,0.15750345157146814,0.15750345157146814,0.02480733725692581
WRD25,resnet50,gaussian_blur,4,58,0.33928108561733356,0.33928108561733356,0.11511165505767643
WRD25,resnet50,gaussian_blur,4,59,0.602912779064234,0.602912779064234,0.36350381915895785
WRD25,resnet50,gaussian_blur,4,60,0.11242894260910583,0.11242894260910583,0.012640267136201611
WRD25,resnet50,gaussian_blur,4,61,0.13173735687551488,0.13173735687551488,0.017354731196546767
WRD25,resnet50,gaussian_blur,4,62,0.5389145830357783,0.5389145830357783,0.29042892780862684
WRD25,resnet50,gaussian_blur,4,63,0.05145989995353043,0.05145989995353043,0.0026481213032273614
WRD25,resnet50,gaussian_blur,4,64,0.14735598894297972,0.14735598894297972,0.02171378747736356
WRD25,resnet50,gaussian_blur,4,65,0.2316287369564862,0.2316287369564862,0.05365187178405707
WRD25,resnet50,gaussian_blur,4,66,0.4716170160380645,0.4716170160380645,0.222422609816648
