perturbation,pearson_r,p_value,sig,n_backbones
gaussian_blur,0.6945823162864215,0.08330384100439257,n.s.,7
defocus_blur,0.6732919864845323,0.09733762031565714,n.s.,7
resize,0.9368354062658485,0.001861151750002214,**,7
illumination,0.7375057702847234,0.05851686903954919,n.s.,7
jpeg,0.9891859230341721,2.3222386458067122e-05,***,7
red_channel_shift,0.8325696589692411,0.020087709785182324,*,7
green_channel_shift,0.7392541350291939,0.05760652709090134,n.s.,7
blue_channel_shift,0.8220427228677323,0.023255856386638067,*,7
gaussian_noise,0.8797752909221126,0.00901317467264938,**,7
shot_noise,0.9066926024703097,0.004854925504043944,**,7
impulse_noise,0.989023058127775,2.4104525430961942e-05,***,7
motion_blur,0.873328282677879,0.010233562002816495,*,7
zoom_blur,0.8483366644846569,0.015827979090382527,*,7
contrast,0.376124531169588,0.4056620967926932,n.s.,7
pixelate,0.9852261379358318,5.0552541377756325e-05,***,7
scratch,0.8795980409906017,0.009045536555640077,**,7
rotation,0.9458440743037236,0.001273066784325257,**,7
compound,0.9633026366129774,0.000485790679538658,***,7
compound_optical,0.7400776325045553,0.05718043198881046,n.s.,7
compound_digital,0.938222200215461,0.0017620096338656934,**,7
compound_field,0.868169476555618,0.01127488518845661,*,7
