dataset,backbone,accuracy,accuracy_std
BFS46,resnet50,0.9805774278215222,0.0063428062853514
BFS46,efficientnet_b3,0.9863517060367452,0.0041994750656168
BFS46,convnext_tiny,0.9832020997375328,0.0061217342728034
BFS46,swin_tiny,0.9905511811023622,0.0042645870890477
BFS46,dinov2_b,0.9811023622047244,0.0058454219032336
BFS46,hrnet32,0.9916010498687664,0.0053533013266066
BFS46,mobilenetv3,0.9905511811023622,0.0035602782063649
FSDM41,resnet50,0.9439728353140916,0.0042951139696684
FSDM41,efficientnet_b3,0.9460101867572156,0.0051942473822676
FSDM41,convnext_tiny,0.9514431239388796,0.0074857071935648
FSDM41,swin_tiny,0.9565365025466894,0.0115948190689058
FSDM41,dinov2_b,0.9256366723259764,0.0091365867891841
FSDM41,hrnet32,0.9606112054329372,0.0069919389752034
FSDM41,mobilenetv3,0.9429541595925296,0.009640115155571
GOIMAI,resnet50,0.9943529411764706,0.0023995385946318
GOIMAI,efficientnet_b3,0.992,0.0035215598934342
GOIMAI,convnext_tiny,0.9887058823529412,0.0034581031662821
GOIMAI,swin_tiny,0.9943529411764706,0.0028235294117647
GOIMAI,dinov2_b,0.9887058823529412,0.0074999423296514
GOIMAI,hrnet32,0.9967058823529412,0.0023995385946319
GOIMAI,mobilenetv3,0.991529411764706,0.0031916846979413
BD11,resnet50,0.8977272727272727,0.0296327382054665
BD11,efficientnet_b3,0.8931818181818182,0.0274614681218058
BD11,convnext_tiny,0.9,0.0263087202336141
BD11,swin_tiny,0.890909090909091,0.0554843437078804
BD11,dinov2_b,0.909090909090909,0.0296327382054665
BD11,hrnet32,0.940909090909091,0.0132521633973757
BD11,mobilenetv3,0.9113636363636364,0.0576753524565887
