train_mag,test_mag,backbone,accuracy,accuracy_std,type
VN26_x10,VN26_x10,resnet50,0.9969230769230769,0.0019611613513818332,within
VN26_x10,VN26_x10,efficientnet_b3,0.9946153846153847,0.002826334318595965,within
VN26_x10,VN26_x10,convnext_tiny,0.9946153846153847,0.0018842228790639764,within
VN26_x10,VN26_x10,swin_tiny,0.9942307692307694,0.003217923178977202,within
VN26_x10,VN26_x10,dinov2_b,0.9969230769230769,0.0015384615384615328,within
VN26_x10,VN26_x10,hrnet32,0.9969230769230769,0.0009421114395319882,within
VN26_x10,VN26_x10,mobilenetv3,0.9946153846153847,0.002242673805709723,within
VN26_x20,VN26_x20,resnet50,0.9992307692307693,0.0015384615384615328,within
VN26_x20,VN26_x20,efficientnet_b3,1.0,0.0,within
VN26_x20,VN26_x20,convnext_tiny,1.0,0.0,within
VN26_x20,VN26_x20,swin_tiny,0.9996153846153846,0.0007692307692307665,within
VN26_x20,VN26_x20,dinov2_b,0.9992307692307693,0.0009421114395319882,within
VN26_x20,VN26_x20,hrnet32,1.0,0.0,within
VN26_x20,VN26_x20,mobilenetv3,1.0,0.0,within
VN26_x50,VN26_x50,resnet50,0.9930769230769231,0.003959857746533448,within
VN26_x50,VN26_x50,efficientnet_b3,0.9911538461538463,0.002608588455048171,within
VN26_x50,VN26_x50,convnext_tiny,0.9965384615384615,0.0030769230769230656,within
VN26_x50,VN26_x50,swin_tiny,0.9976923076923077,0.002242673805709723,within
VN26_x50,VN26_x50,dinov2_b,0.9957692307692309,0.0014390989949130493,within
VN26_x50,VN26_x50,hrnet32,0.9973076923076925,0.0015384615384615328,within
VN26_x50,VN26_x50,mobilenetv3,0.9915384615384616,0.001538461538461533,within
VN26_x20,VN26_x10,resnet50,0.47692307692307695,0.0,cross
VN26_x20,VN26_x50,resnet50,0.15730769230769232,0.0,cross
VN26_x20,VN26_x10,efficientnet_b3,0.46884615384615386,0.0,cross
VN26_x20,VN26_x50,efficientnet_b3,0.1453846153846154,0.0,cross
VN26_x20,VN26_x10,convnext_tiny,0.6211538461538462,0.0,cross
VN26_x20,VN26_x50,convnext_tiny,0.23115384615384615,0.0,cross
VN26_x20,VN26_x10,swin_tiny,0.5211538461538462,0.0,cross
VN26_x20,VN26_x50,swin_tiny,0.17038461538461538,0.0,cross
VN26_x20,VN26_x10,dinov2_b,0.5684615384615385,0.0,cross
VN26_x20,VN26_x50,dinov2_b,0.1673076923076923,0.0,cross
VN26_x20,VN26_x10,hrnet32,0.5415384615384615,0.0,cross
VN26_x20,VN26_x50,hrnet32,0.10115384615384615,0.0,cross
VN26_x20,VN26_x10,mobilenetv3,0.5626923076923077,0.0,cross
VN26_x20,VN26_x50,mobilenetv3,0.14846153846153845,0.0,cross
