mag_a,mag_b,backbone,image_idx,csi
VN26_x10,VN26_x20,resnet50,0,0.30322821853068777
VN26_x10,VN26_x20,resnet50,1,0.10787803549971042
VN26_x10,VN26_x20,resnet50,2,0.1812816809601534
VN26_x10,VN26_x20,resnet50,3,0.17982889918587266
VN26_x10,VN26_x20,resnet50,4,0.1254228947684177
VN26_x10,VN26_x20,resnet50,5,0.18806328716653242
VN26_x10,VN26_x20,resnet50,6,0.19806727203974925
VN26_x10,VN26_x20,resnet50,7,0.13256400830679185
VN26_x10,VN26_x20,resnet50,8,0.16166821218981772
VN26_x10,VN26_x20,resnet50,9,0.13780355380338918
VN26_x10,VN26_x20,resnet50,10,0.08178858153428044
VN26_x10,VN26_x20,resnet50,11,0.3983730915671848
VN26_x10,VN26_x20,resnet50,12,0.0431367474380952
VN26_x10,VN26_x20,resnet50,13,0.38768719122600553
VN26_x10,VN26_x20,resnet50,14,0.0526852107626822
VN26_x10,VN26_x20,resnet50,15,0.16241773345728325
VN26_x10,VN26_x20,resnet50,16,0.09797330886333704
VN26_x10,VN26_x20,resnet50,17,0.20529908479401063
VN26_x10,VN26_x20,resnet50,18,0.023908018078720606
VN26_x10,VN26_x20,resnet50,19,0.1770986183527086
VN26_x10,VN26_x20,resnet50,20,0.09117822796237433
VN26_x10,VN26_x20,resnet50,21,0.09326481473655311
VN26_x10,VN26_x20,resnet50,22,0.21393192862044255
VN26_x10,VN26_x20,resnet50,23,0.1000234640346022
VN26_x10,VN26_x20,resnet50,24,0.18529823180041394
VN26_x10,VN26_x20,resnet50,25,0.16297381897809407
VN26_x10,VN26_x20,resnet50,26,0.07552645177307049
VN26_x10,VN26_x20,resnet50,27,0.16755287228862212
VN26_x10,VN26_x20,resnet50,28,0.15648281419880464
VN26_x10,VN26_x20,resnet50,29,0.05791284589768878
VN26_x10,VN26_x20,resnet50,30,0.12114268987169825
VN26_x10,VN26_x20,resnet50,31,0.2587993735465061
VN26_x10,VN26_x20,resnet50,32,0.26747371766356887
VN26_x10,VN26_x20,resnet50,33,0.19419923898789426
VN26_x10,VN26_x20,resnet50,34,0.17071696366873534
VN26_x10,VN26_x20,resnet50,35,0.22696765420258666
VN26_x10,VN26_x20,resnet50,36,0.38683082829623266
VN26_x10,VN26_x20,resnet50,37,0.034921507930000324
VN26_x10,VN26_x20,resnet50,38,0.023236108916522138
VN26_x10,VN26_x20,resnet50,39,0.13014420473033875
VN26_x10,VN26_x20,resnet50,40,0.06797804745273511
VN26_x10,VN26_x20,resnet50,41,0.11123305018174912
VN26_x10,VN26_x20,resnet50,42,0.05842217054875106
VN26_x10,VN26_x20,resnet50,43,0.06282245000237736
VN26_x10,VN26_x20,resnet50,44,0.1736407260160382
VN26_x10,VN26_x20,resnet50,45,0.08075927500472127
VN26_x10,VN26_x20,resnet50,46,0.15901212960313946
VN26_x10,VN26_x20,resnet50,47,0.2621058409020354
VN26_x10,VN26_x20,resnet50,48,0.03309408487582601
VN26_x10,VN26_x20,resnet50,49,0.6877463566376253
VN26_x10,VN26_x20,resnet50,50,0.13734587136486448
VN26_x10,VN26_x20,resnet50,51,0.6327495987213047
VN26_x10,VN26_x20,resnet50,52,0.20776256939551838
VN26_x10,VN26_x20,resnet50,53,0.1734649872250985
VN26_x10,VN26_x20,resnet50,54,0.32525820469066025
VN26_x10,VN26_x20,resnet50,55,0.0807742822223694
