backbone,mag_a,mag_b,image_idx,csi,csi_bo,csi_hungarian,csi_permutation_gap
resnet50,VN26_x10,VN26_x20,0,0.6898257207474293,0.6898257207474293,0.6898257207474293,0.0
resnet50,VN26_x10,VN26_x20,1,0.001808290074669909,0.001808290074669909,0.2821133446027844,0.2803050545281145
resnet50,VN26_x10,VN26_x20,2,0.09182162907143825,0.09182162907143825,0.2647298759967658,0.17290824692532752
resnet50,VN26_x10,VN26_x20,3,0.530734606214511,0.530734606214511,0.530734606214511,0.0
resnet50,VN26_x10,VN26_x20,4,0.2780843755515494,0.2780843755515494,0.2780843755515494,0.0
resnet50,VN26_x10,VN26_x20,5,0.02722809835228004,0.02722809835228004,0.18281213447595732,0.15558403612367727
resnet50,VN26_x10,VN26_x20,6,0.10367861699498339,0.10367861699498339,0.20113201530612246,0.09745339831113907
resnet50,VN26_x10,VN26_x20,7,0.16820025893147125,0.16820025893147125,0.19808872497104324,0.029888466039571987
resnet50,VN26_x10,VN26_x20,8,0.13816718432139422,0.13816718432139422,0.19196173300500477,0.053794548683610555
resnet50,VN26_x10,VN26_x20,9,0.02222182639337028,0.02222182639337028,0.21064521447006648,0.1884233880766962
resnet50,VN26_x10,VN26_x20,10,0.12645606636125048,0.12645606636125048,0.2693786744845603,0.14292260812330984
resnet50,VN26_x10,VN26_x20,11,0.1179876636506663,0.1179876636506663,0.4231606219918678,0.3051729583412015
resnet50,VN26_x10,VN26_x20,12,0.14908767862590572,0.14908767862590572,0.33091478350850306,0.18182710488259735
resnet50,VN26_x10,VN26_x20,13,0.05943082343857592,0.05943082343857592,0.4044435357149078,0.3450127122763319
resnet50,VN26_x10,VN26_x20,14,0.04167830474243858,0.04167830474243858,0.383163197950456,0.34148489320801745
resnet50,VN26_x10,VN26_x20,15,0.25947701111698257,0.25947701111698257,0.25947701111698257,0.0
resnet50,VN26_x10,VN26_x20,16,0.3495085632888924,0.3495085632888924,0.35973003537622184,0.01022147208732943
resnet50,VN26_x10,VN26_x20,17,0.04695936516004643,0.04695936516004643,0.3321408996170813,0.28518153445703487
resnet50,VN26_x10,VN26_x20,18,0.016442048517520215,0.016442048517520215,0.35851254369653923,0.342070495179019
resnet50,VN26_x10,VN26_x20,19,0.07789108788444986,0.07789108788444986,0.438625389532093,0.36073430164764314
resnet50,VN26_x10,VN26_x20,20,0.2439057010499638,0.2439057010499638,0.4613022075314452,0.21739650648148137
resnet50,VN26_x10,VN26_x20,21,0.19175834396258504,0.19175834396258504,0.19175834396258504,0.0
resnet50,VN26_x10,VN26_x20,22,0.14930356274291554,0.14930356274291554,0.1832624112217338,0.033958848478818277
