backbone,magnification,image_idx,sgi,species_label
resnet50,VN26_x10,0,9.964923469387755e-05,0
resnet50,VN26_x10,1,0.00011957908163265306,0
resnet50,VN26_x10,2,0.00025908801020408165,0
resnet50,VN26_x10,3,0.00013950892857142856,0
resnet50,VN26_x10,4,0.00011957908163265306,0
resnet50,VN26_x10,5,0.00011957908163265306,1
resnet50,VN26_x10,6,3.985969387755102e-05,1
resnet50,VN26_x10,7,9.964923469387755e-05,1
resnet50,VN26_x10,8,9.964923469387755e-05,1
resnet50,VN26_x10,9,0.00011957908163265306,1
resnet50,VN26_x10,10,0.00023915816326530612,2
resnet50,VN26_x10,11,0.00027901785714285713,2
resnet50,VN26_x10,12,0.00015943877551020407,2
resnet50,VN26_x10,13,0.0001992984693877551,2
resnet50,VN26_x10,14,0.0001793686224489796,2
resnet50,VN26_x10,15,0.00025908801020408165,2
resnet50,VN26_x10,16,0.00025908801020408165,2
resnet50,VN26_x10,17,0.00015943877551020407,2
resnet50,VN26_x10,18,0.0001793686224489796,2
resnet50,VN26_x10,19,0.00023915816326530612,2
resnet50,VN26_x10,20,0.0001992984693877551,2
resnet50,VN26_x10,21,1.992984693877551e-05,3
resnet50,VN26_x10,22,0.00011957908163265306,3
resnet50,VN26_x10,23,7.971938775510203e-05,3
resnet50,VN26_x10,24,0.00013950892857142856,3
resnet50,VN26_x10,25,1.992984693877551e-05,3
resnet50,VN26_x10,26,9.964923469387755e-05,3
resnet50,VN26_x10,27,0.00013950892857142856,3
resnet50,VN26_x10,28,0.00011957908163265306,3
resnet50,VN26_x10,29,7.971938775510203e-05,3
resnet50,VN26_x10,30,5.978954081632653e-05,4
resnet50,VN26_x10,31,9.964923469387755e-05,4
resnet50,VN26_x10,32,0.00011957908163265306,4
resnet50,VN26_x10,33,0.00029894770408163266,4
resnet50,VN26_x10,34,7.971938775510203e-05,4
resnet50,VN26_x10,35,5.978954081632653e-05,4
resnet50,VN26_x10,36,0.00011957908163265306,4
resnet50,VN26_x10,37,1.992984693877551e-05,4
resnet50,VN26_x10,38,1.992984693877551e-05,5
resnet50,VN26_x10,39,0.00011957908163265306,5
resnet50,VN26_x10,40,3.985969387755102e-05,5
resnet50,VN26_x10,41,0.0001793686224489796,5
resnet50,VN26_x10,42,0.00011957908163265306,5
resnet50,VN26_x10,43,7.971938775510203e-05,5
resnet50,VN26_x10,44,9.964923469387755e-05,6
resnet50,VN26_x10,45,0.00015943877551020407,6
resnet50,VN26_x10,46,9.964923469387755e-05,6
resnet50,VN26_x10,47,0.00015943877551020407,7
resnet50,VN26_x10,48,0.00011957908163265306,7
resnet50,VN26_x10,49,0.00013950892857142856,7
resnet50,VN26_x10,50,5.978954081632653e-05,7
resnet50,VN26_x10,51,0.00013950892857142856,7
resnet50,VN26_x10,52,0.00015943877551020407,7
resnet50,VN26_x10,53,0.0001793686224489796,7
resnet50,VN26_x10,54,0.00013950892857142856,8
resnet50,VN26_x10,55,5.978954081632653e-05,8
resnet50,VN26_x10,56,5.978954081632653e-05,8
resnet50,VN26_x10,57,5.978954081632653e-05,8
resnet50,VN26_x10,58,9.964923469387755e-05,8
resnet50,VN26_x10,59,3.985969387755102e-05,8
resnet50,VN26_x10,60,0.00015943877551020407,8
resnet50,VN26_x10,61,7.971938775510203e-05,8
resnet50,VN26_x10,62,0.0001992984693877551,8
resnet50,VN26_x10,63,0.0001793686224489796,8
resnet50,VN26_x10,64,0.00015943877551020407,9
resnet50,VN26_x10,65,0.0001992984693877551,9
resnet50,VN26_x10,66,0.00015943877551020407,9
resnet50,VN26_x10,67,0.0001793686224489796,9
resnet50,VN26_x10,68,0.00015943877551020407,9
resnet50,VN26_x10,69,0.0002192283163265306,9
resnet50,VN26_x10,70,5.978954081632653e-05,10
resnet50,VN26_x10,71,5.978954081632653e-05,10
resnet50,VN26_x10,72,5.978954081632653e-05,10
resnet50,VN26_x10,73,7.971938775510203e-05,10
resnet50,VN26_x10,74,0.00013950892857142856,10
resnet50,VN26_x10,75,0.00015943877551020407,10
resnet50,VN26_x10,76,5.978954081632653e-05,10
resnet50,VN26_x10,77,0.00013950892857142856,10
resnet50,VN26_x10,78,0.00015943877551020407,10
resnet50,VN26_x10,79,9.964923469387755e-05,10
resnet50,VN26_x10,80,9.964923469387755e-05,10
resnet50,VN26_x10,81,0.00015943877551020407,10
resnet50,VN26_x10,82,9.964923469387755e-05,11
resnet50,VN26_x10,83,0.00023915816326530612,11
resnet50,VN26_x10,84,0.00023915816326530612,11
resnet50,VN26_x10,85,0.0001793686224489796,11
resnet50,VN26_x10,86,0.0001992984693877551,11
resnet50,VN26_x10,87,0.00029894770408163266,11
resnet50,VN26_x10,88,0.0001793686224489796,11
resnet50,VN26_x10,89,0.0001793686224489796,11
resnet50,VN26_x10,90,0.0004185267857142857,11
resnet50,VN26_x10,91,0.0002192283163265306,12
resnet50,VN26_x10,92,0.00025908801020408165,12
resnet50,VN26_x10,93,0.00013950892857142856,12
resnet50,VN26_x10,94,0.00027901785714285713,12
resnet50,VN26_x10,95,0.0001793686224489796,12
resnet50,VN26_x10,96,0.0002192283163265306,12
resnet50,VN26_x10,97,0.00015943877551020407,12
resnet50,VN26_x10,98,0.00029894770408163266,12
resnet50,VN26_x10,99,0.00013950892857142856,13
resnet50,VN26_x20,0,9.964923469387755e-05,0
resnet50,VN26_x20,1,5.978954081632653e-05,0
resnet50,VN26_x20,2,5.978954081632653e-05,0
resnet50,VN26_x20,3,5.978954081632653e-05,0
resnet50,VN26_x20,4,9.964923469387755e-05,0
resnet50,VN26_x20,5,7.971938775510203e-05,1
resnet50,VN26_x20,6,0.0001992984693877551,1
resnet50,VN26_x20,7,0.0001793686224489796,1
