metric,target,r,p,n
feature_drift,drop,0.907555223203288,0.0,1596
delta_intra,drop,-0.6526608500843823,2.2842459820479095e-194,1596
inter_collapse,drop,0.7134282013502634,1.7914532551201208e-248,1596
delta_fgcs,drop,0.34010622907905624,1.6509016007813462e-44,1596
fsr_collapse,drop,0.4196378962883875,4.2674012721870323e-69,1596
spatial_instability,drop,0.6792562544716826,1.9514450790637563e-86,630
csi,drop,-0.6792562544716826,1.9514450790637563e-86,630
cam_shift_jsd,drop,0.5887756586925558,4.8522662302645855e-60,630
csi_hungarian,drop,-0.6832654247506612,7.901515301177505e-88,630
spatial_instability_hungarian,drop,0.6832654247506612,7.901515301177505e-88,630
csi_permutation_gap,drop,0.14302481700043637,0.00031663509940286225,630
cam_shift_js_distance,drop,0.5887756586925558,4.8522662302645855e-60,630
cam_shift_js_divergence,drop,0.4541640608415367,2.193202905772957e-33,630
cam_entropy_clean,drop,-0.04337935978168653,0.08319137506796408,1596
sgi_clean,drop,-0.052851865714949285,0.03475068088937313,1596
