perturbation,drop,feature_drift,delta_fgcs,inter_collapse,spatial_instability,csi,csi_hungarian,csi_permutation_gap,cam_shift_jsd,cam_shift_js_distance,cam_shift_js_divergence,cam_entropy_clean,sgi_clean
blue_channel_shift,-0.009009978779919908,0.06523512724033065,0.0012813445903568812,0.006807748050916741,0.29151696206855754,0.7084830379314424,0.7733586688996019,0.06487563096815945,0.11734354179155257,0.11734354179155257,0.04313847995524314,1.2359835106665849,0.003849772609936784
compound,0.7231497125522209,0.6857560385787298,0.22972697494435285,0.14860819818245039,0.7021369541476763,0.29786304585232376,0.38588614494862583,0.08802309909630203,0.3196980504656127,0.3196980504656127,0.14387904168134352,1.2359835106665849,0.003849772609936784
compound_digital,0.3981170770929155,0.38842523594697315,0.07224951190609594,0.05371902043384216,0.6573487815963867,0.34265121840361334,0.4358861673791468,0.09323494897553342,0.284675002089742,0.284675002089742,0.11938345083559684,1.2359835106665849,0.003849772609936784
compound_field,0.46517574849049237,0.5138573566126445,0.061490711110735494,0.058478549359336704,0.7359750024762283,0.2640249975237718,0.34772422940977676,0.08369923188600494,0.31171195634144494,0.31171195634144494,0.13357323246761235,1.2359835106665849,0.003849772609936784
compound_optical,0.49418478703705015,0.5313088251721292,0.08647980353773907,0.06677626972160641,0.7055918380874242,0.2944081619125758,0.3885337456862087,0.09412558377363285,0.3273473268678078,0.3273473268678078,0.14861196522803627,1.2359835106665849,0.003849772609936784
contrast,-0.017184272041444182,0.03553672749382838,-0.0023353689086170583,0.0009606783943516857,0.3358916093437234,0.6641083906562766,0.7382352646715988,0.07412687401532217,0.1431429658612101,0.1431429658612101,0.05680275450897859,1.2359835106665849,0.003849772609936784
defocus_blur,0.4476710676015239,0.4738429632215273,0.0779526238131305,0.044726659286589844,0.6229061426764007,0.3770938573235993,0.473238091850141,0.09614423452654165,0.26871694083457437,0.26871694083457437,0.11285994125655241,1.2359835106665846,0.003849772609936784
gaussian_blur,0.5846210324706167,0.6093727638205838,0.10378709554889465,0.09882215168031433,0.6749208044519126,0.32507919554808745,0.421725994252067,0.0966467987039795,0.29901181344753736,0.29901181344753736,0.13053761688632798,1.2359835106665849,0.003849772609936784
gaussian_noise,0.14008002760508148,0.21397275010508202,-0.0025134871014963335,0.024673862116677398,0.5714041986088682,0.42859580139113196,0.5229098871141712,0.09431408572303923,0.2563013138108243,0.2563013138108243,0.10975780659827825,1.2359835106665849,0.003849772609936784
green_channel_shift,0.016778952794662197,0.1156021544177617,0.004498730058132989,0.015087707766464741,0.3367328644886513,0.6632671355113487,0.7358272535312725,0.07256011801992385,0.13820295068454894,0.13820295068454894,0.05237687055556256,1.2359835106665849,0.003849772609936784
illumination,-0.022652559299549364,0.019079418027623772,0.00016996985273108001,-0.0014714465609618507,,,,,,,,1.2359835106665849,0.003849772609936784
impulse_noise,0.29398033448575805,0.31847974320962313,0.03989153005055299,0.07513434215197483,0.6994904724694931,0.3005095275305069,0.3941089371321463,0.09359940960163933,0.35200965319694727,0.35200965319694727,0.1699523100823075,1.2359835106665849,0.003849772609936784
jpeg,0.09880769563998185,0.19033898885051406,0.025312373472801363,0.00930848093259901,0.5035857120993272,0.4964142879006727,0.5869839685176474,0.09056968061697468,0.210426200005224,0.210426200005224,0.08597221106473792,1.2359835106665846,0.003849772609936784
motion_blur,0.20478733008231353,0.28837535258323427,0.04631037433565954,0.006955482420467194,0.6013323240329173,0.39866767596708275,0.4959262177118658,0.09725854174478295,0.2628537233553028,0.2628537233553028,0.11034442163151345,1.2359835106665849,0.003849772609936784
pixelate,0.4821720159801918,0.44604679398120395,0.009157149572367549,0.08430400053187019,0.6163879858868219,0.3836120141131782,0.48141618779195994,0.09780417367878173,0.2774599748069621,0.2774599748069621,0.1188446313437663,1.2359835106665849,0.003849772609936784
red_channel_shift,-0.0029584461899645606,0.0702499681861982,0.005403589380140114,0.005743065582854388,0.31002644659285705,0.6899735534071431,0.7579914801777897,0.06801792677064672,0.12401415971911696,0.12401415971911696,0.04549309452358211,1.2359835106665849,0.003849772609936784
resize,0.11014039760124301,0.2236682976640406,0.057182914794095846,0.012547846824403783,0.7723917445467898,0.22760825545321012,0.32311142140920374,0.0955031659559936,0.3345257372304605,0.3345257372304605,0.1549593227291461,1.2359835106665849,0.003849772609936784
rotation,0.1571912560136648,0.28032525877157843,0.012316431457466678,0.04077531450561113,0.7698739035912703,0.2301260964087297,0.3265275292165846,0.09640143280785488,0.34518636966736366,0.34518636966736366,0.16824058768890787,1.2359835106665849,0.003849772609936784
scratch,0.17959622253495164,0.39053815686040455,0.48349872482307527,0.13018115660146112,0.7166369327875731,0.2833630672124269,0.3637236886691929,0.08036062145676602,0.3721285210557347,0.3721285210557347,0.18474661406533938,1.2359835106665849,0.003849772609936784
shot_noise,0.3888364851657503,0.4033826617967515,0.035189399717345575,0.06224453017588642,0.6678236918493973,0.33217630815060273,0.42329236681315197,0.09111605866254921,0.3176134560098445,0.3176134560098445,0.14695907118989554,1.2359835106665849,0.003849772609936784
zoom_blur,0.3767949203982431,0.45748316271910594,0.013542937784302827,0.05816170537755601,0.6826102054255545,0.31738979457444544,0.4041427079825179,0.08675291340807238,0.2769701334391022,0.2769701334391022,0.11697184875023875,1.2359835106665849,0.003849772609936784
