group,r,p,n
blue_channel_shift,0.613028361552037,5.704092415697492e-10,84
compound,0.6749332634983606,1.310473730409013e-09,63
compound_digital,0.8201903648741276,1.9753545972571228e-16,63
compound_field,0.7180922136419279,3.4853066501552654e-11,63
compound_optical,0.8045883335723768,1.9577850991413055e-15,63
contrast,0.7218034384550162,9.427697357430849e-15,84
defocus_blur,0.7785555312672401,1.4459107435078654e-22,105
gaussian_blur,0.7419189396608937,2.843401952027049e-23,126
gaussian_noise,0.901695709984168,6.888516052923546e-24,63
green_channel_shift,0.5939486686133583,2.595368451922546e-09,84
illumination,0.6689677621867877,3.5251896108851145e-12,84
impulse_noise,0.87660843236108,4.838823280089609e-21,63
jpeg,0.8265095775338412,1.8687026908262712e-27,105
motion_blur,0.8671882520781138,3.9544579437416685e-20,63
pixelate,0.8630319716540235,9.500402588894962e-20,63
red_channel_shift,0.6834394159497534,7.8726544437125e-13,84
resize,0.7247372492633333,1.8777287688810492e-11,63
rotation,0.8966933138589999,9.26747253779479e-31,84
scratch,0.8027843758935688,2.5186403717179542e-15,63
shot_noise,0.8256271282333812,8.427973045686414e-17,63
zoom_blur,0.7864369619835766,2.2072194856990127e-14,63
