backbone,dataset,perturbation,feature_drift,mahal_delta,knn_dist,reference_bank_drift,accuracy_drop
resnet50,WRD25,blur_2,0.348671942949295,2431.600277283799,0.2826393246650696,0.2826393246650696,0.2252085264133456
resnet50,WRD25,blur_4,0.5394725203514099,4240.109370591843,0.4315594434738159,0.4315594434738159,0.5741427247451344
resnet50,WRD25,blur_6,0.6432325839996338,4919.141160907627,0.5280582308769226,0.5280582308769226,0.6807228915662651
resnet50,WRD25,blur_8,0.6982338428497314,5316.378257827069,0.5795080661773682,0.5795080661773682,0.7247451343836886
resnet50,WRD25,blur_10,0.7215958833694458,5566.630237933246,0.5913642644882202,0.5913642644882202,0.7775718257645968
resnet50,WRD25,blur_12,0.7325500249862671,5883.9575683704925,0.5849505662918091,0.5849505662918091,0.839666357738647
resnet50,WRD25,defocus_3,0.2687468826770782,1576.0745194883737,0.2232103198766708,0.2232103198766708,0.1621872103799814
resnet50,WRD25,defocus_5,0.4003344476222992,2824.0988744221986,0.3135854601860046,0.3135854601860046,0.3531047265987025
resnet50,WRD25,defocus_8,0.5119092464447021,4245.445547946185,0.393059492111206,0.393059492111206,0.5713623725671919
resnet50,WRD25,defocus_11,0.6158006191253662,5428.473766564139,0.4592350125312805,0.4592350125312805,0.7256719184430027
resnet50,WRD25,defocus_15,0.688265860080719,6067.963222893089,0.5032320618629456,0.5032320618629456,0.7692307692307692
resnet50,WRD25,resize_1_33,0.1287163943052292,529.8667507211339,0.118679255247116,0.118679255247116,0.03660797034291
resnet50,WRD25,resize_1_67,0.2306479811668396,1183.8488811163593,0.1928195804357528,0.1928195804357528,0.1464318813716404
resnet50,WRD25,resize_2_0,0.3191355466842651,1912.51594149534,0.2524298131465912,0.2524298131465912,0.2970342910101946
resnet50,WRD25,brightness_0_7,0.0167182385921478,76.32501340202884,0.0167181957513093,0.0167181957513093,0.005097312326228
resnet50,WRD25,brightness_0_85,0.0054033524356782,24.64095020358536,0.005403310060501,0.005403310060501,0.0018535681186283
resnet50,WRD25,brightness_1_15,0.0056065870448946,20.724586080176323,0.0056065469980239,0.0056065469980239,0.0046339202965708
resnet50,WRD25,brightness_1_3,0.0183993130922317,74.06591810970724,0.0183992721140384,0.0183992721140384,0.0041705282669137
resnet50,WRD25,jpeg_10,0.3397616744041443,1855.655335058941,0.264352947473526,0.264352947473526,0.4351251158480074
resnet50,WRD25,jpeg_20,0.2053229957818985,1097.1812146815362,0.1825465857982635,0.1825465857982635,0.1459684893419832
resnet50,WRD25,jpeg_30,0.1533598750829696,769.4615236520935,0.1421201974153518,0.1421201974153518,0.0815569972196478
resnet50,WRD25,jpeg_50,0.1054076850414276,484.178265019244,0.1012057214975357,0.1012057214975357,0.0342910101946246
resnet50,WRD25,jpeg_70,0.070303276181221,285.5516370367619,0.0687662586569786,0.0687662586569786,0.0203892493049119
resnet50,WRD25,color_shift_-45,0.1104633659124374,538.3057182777334,0.1070664227008819,0.1070664227008819,0.0699721964782206
resnet50,WRD25,color_shift_-30,0.0767941623926162,385.89292613935686,0.0759099647402763,0.0759099647402763,0.03660797034291
resnet50,WRD25,color_shift_30,0.0586292259395122,214.50003061046775,0.0581981316208839,0.0581981316208839,0.0287303058387395
resnet50,WRD25,color_shift_45,0.085787609219551,327.4140416408286,0.0837995037436485,0.0837995037436485,0.0597775718257646
resnet50,WRD25,green_channel_shift_-45,0.121860533952713,536.6929926116247,0.1165692582726478,0.1165692582726478,0.0593141797961075
resnet50,WRD25,green_channel_shift_-30,0.0819781497120857,337.332897178469,0.0804113522171974,0.0804113522171974,0.031510658016682
resnet50,WRD25,green_channel_shift_30,0.1157096028327941,659.1502338655685,0.1113952323794364,0.1113952323794364,0.0537534754402224
resnet50,WRD25,green_channel_shift_45,0.1689561009407043,1004.7340296489806,0.1576107591390609,0.1576107591390609,0.0973123262279889
resnet50,WRD25,blue_channel_shift_-45,0.0942475050687789,483.8392630329149,0.0926440730690956,0.0926440730690956,0.0356811862835959
resnet50,WRD25,blue_channel_shift_-30,0.0564246103167533,269.74455656807663,0.0561055354773998,0.0561055354773998,0.0134383688600555
resnet50,WRD25,blue_channel_shift_30,0.0712444856762886,295.6306862126444,0.0700085386633873,0.0700085386633873,0.0287303058387395
resnet50,WRD25,blue_channel_shift_45,0.1102805882692337,493.7839381860267,0.1050633415579795,0.1050633415579795,0.0602409638554216
resnet50,WRD25,gaussian_noise_0_02,0.0650848299264907,242.01858053512424,0.0638224929571151,0.0638224929571151,0.0139017608897127
resnet50,WRD25,gaussian_noise_0_05,0.126082107424736,440.3930844585618,0.114799290895462,0.114799290895462,0.0426320667284522
resnet50,WRD25,gaussian_noise_0_1,0.2516717314720154,927.447384717143,0.2096657752990722,0.2096657752990722,0.2177942539388322
resnet50,WRD25,shot_noise_60,0.2241795808076858,775.7497633365172,0.1894510388374328,0.1894510388374328,0.1848934198331788
resnet50,WRD25,shot_noise_30,0.3065626919269562,1093.2049281017944,0.2415650486946106,0.2415650486946106,0.3452270620945319
resnet50,WRD25,shot_noise_15,0.3886950612068176,1496.3886118251964,0.2854938805103302,0.2854938805103302,0.5329008341056534
resnet50,WRD25,impulse_noise_0_01,0.234049990773201,1182.5598144045211,0.1957489997148513,0.1957489997148513,0.2122335495829471
resnet50,WRD25,impulse_noise_0_03,0.3838076591491699,2152.612118163087,0.2816291451454162,0.2816291451454162,0.5254865616311399
resnet50,WRD25,impulse_noise_0_05,0.4151506721973419,2314.4747077729016,0.3027433753013611,0.3027433753013611,0.5945319740500463
resnet50,WRD25,motion_blur_5,0.1763871610164642,840.1395701162187,0.1564017981290817,0.1564017981290817,0.0727525486561631
resnet50,WRD25,motion_blur_9,0.365719735622406,2071.7921179734712,0.2829405963420868,0.2829405963420868,0.2947173308619092
resnet50,WRD25,motion_blur_15,0.5333586931228638,3712.163278986245,0.389228880405426,0.389228880405426,0.5713623725671919
resnet50,WRD25,zoom_blur_1_05,0.2593869268894195,1538.5106058014755,0.2193763703107834,0.2193763703107834,0.2006487488415199
resnet50,WRD25,zoom_blur_1_1,0.4542419910430908,3224.4492420712286,0.3695180416107178,0.3695180416107178,0.4457831325301205
resnet50,WRD25,zoom_blur_1_2,0.5178696513175964,3417.1884031384425,0.4085021615028381,0.4085021615028381,0.5987025023169601
resnet50,WRD25,contrast_0_5,0.0528942048549652,204.0781649912257,0.052374105900526,0.052374105900526,0.0176088971269694
resnet50,WRD25,contrast_0_75,0.0145992143079638,51.61400698180398,0.0145991696044802,0.0145991696044802,0.0037071362372567
resnet50,WRD25,contrast_1_25,0.0110365329310297,46.9542565385708,0.0110364919528365,0.0110364919528365,0.0092678405931417
resnet50,WRD25,contrast_1_5,0.0312025770545005,127.61309891450958,0.0311689116060733,0.0311689116060733,0.015755329008341
resnet50,WRD25,pixelate_0_5,0.3803201019763946,1676.2414852583245,0.2680243849754333,0.2680243849754333,0.5176088971269694
resnet50,WRD25,pixelate_0_33,0.5498681664466858,2803.145564046399,0.3369635641574859,0.3369635641574859,0.8628359592215014
resnet50,WRD25,pixelate_0_25,0.658815324306488,2501.7166157890188,0.3247849643230438,0.3247849643230438,0.9244670991658944
resnet50,WRD25,scratch_mild,0.0945927575230598,952.0367897386086,0.0937201902270317,0.0937201902270317,0.0120481927710843
