backbone,dataset,perturbation,feature_drift,mahal_delta,knn_dist,reference_bank_drift,accuracy_drop
resnet50,PCA11,blur_2,0.3329077363014221,1875.629870096263,0.24776498973369598,0.24776498973369598,0.22000926354793882
resnet50,PCA11,blur_4,0.5116983652114868,3805.184369858212,0.3680364489555359,0.3680364489555359,0.49402501157943485
resnet50,PCA11,blur_6,0.6244204640388489,4813.6978087554835,0.46470385789871216,0.46470385789871216,0.6313107920333487
resnet50,PCA11,blur_8,0.6925792098045349,4969.374449162477,0.5282284617424011,0.5282284617424011,0.7155164427975914
resnet50,PCA11,blur_10,0.7295241355895996,5069.931230445276,0.5568815469741821,0.5568815469741821,0.7600741083835109
resnet50,PCA11,blur_12,0.7455967664718628,5082.810734489978,0.5542159080505371,0.5542159080505371,0.7885132005558129
resnet50,PCA11,defocus_3,0.27869370579719543,1180.3326826851662,0.2096075564622879,0.2096075564622879,0.16238999536822596
resnet50,PCA11,defocus_5,0.397834837436676,1577.9644144178283,0.2594788670539856,0.2594788670539856,0.34025011579434916
resnet50,PCA11,defocus_8,0.49507632851600647,2144.381073306663,0.2987273037433624,0.2987273037433624,0.5129226493747104
resnet50,PCA11,defocus_11,0.5803479552268982,2913.0808799018996,0.3273773491382599,0.3273773491382599,0.67308939323761
resnet50,PCA11,defocus_15,0.6563982963562012,4132.395873191157,0.37612396478652954,0.37612396478652954,0.7500694766095414
resnet50,PCA11,resize_1_33,0.11949916929006577,229.22814341611388,0.1119837537407875,0.1119837537407875,0.047151459008800356
resnet50,PCA11,resize_1_67,0.20967592298984528,592.3430130853187,0.16912014782428741,0.16912014782428741,0.18378879110699398
resnet50,PCA11,resize_2_0,0.2855108678340912,1015.9537525153262,0.20652370154857635,0.20652370154857635,0.35025474756831865
resnet50,PCA11,brightness_0_7,0.01799228973686695,32.25444433142388,0.017985839396715164,0.017985839396715164,0.007596109309865651
resnet50,PCA11,brightness_0_85,0.00764557346701622,15.664061060000904,0.007645532488822937,0.007645532488822937,0.0028716998610467392
resnet50,PCA11,brightness_1_15,0.015025929547846317,38.63949414597175,0.015018471516668797,0.015018471516668797,0.00379805465493277
resnet50,PCA11,brightness_1_3,0.039700157940387726,100.53159690998848,0.039588917046785355,0.039588917046785355,0.017322834645669194
resnet50,PCA11,jpeg_10,0.3314555883407593,2249.1739618031784,0.2469392716884613,0.2469392716884613,0.3005094951366373
resnet50,PCA11,jpeg_20,0.2439141869544983,1607.8569716034826,0.2036072164773941,0.2036072164773941,0.16507642427049551
resnet50,PCA11,jpeg_30,0.20572073757648468,1300.5621901949344,0.180372953414917,0.180372953414917,0.11857341361741547
resnet50,PCA11,jpeg_50,0.16199733316898346,922.4410514547069,0.14851276576519012,0.14851276576519012,0.0818897637795275
resnet50,PCA11,jpeg_70,0.11940403282642365,578.2243189718381,0.1140732616186142,0.1140732616186142,0.059286706808707734
resnet50,PCA11,color_shift_-45,0.06301019340753555,213.4140289527287,0.06252839416265488,0.06252839416265488,0.023899953682260278
resnet50,PCA11,color_shift_-30,0.034823279827833176,122.35857708615083,0.03477896749973297,0.03477896749973297,0.011579434923575715
resnet50,PCA11,color_shift_30,0.03268013522028923,37.11072100123431,0.03265109658241272,0.03265109658241272,0.017693376563223673
resnet50,PCA11,color_shift_45,0.06311856210231781,107.23667524478788,0.06270600110292435,0.06270600110292435,0.03455303381194996
resnet50,PCA11,green_channel_shift_-45,0.12698931992053986,315.8761670436023,0.11755666136741638,0.11755666136741638,0.11857341361741547
resnet50,PCA11,green_channel_shift_-30,0.07749910652637482,166.9471404181595,0.0763150081038475,0.0763150081038475,0.06327003242241769
resnet50,PCA11,green_channel_shift_30,0.07027775794267654,212.4083973253364,0.06944876164197922,0.06944876164197922,0.040481704492820736
resnet50,PCA11,green_channel_shift_45,0.10056660324335098,349.33467386780967,0.0982997715473175,0.0982997715473175,0.053172765169059666
resnet50,PCA11,blue_channel_shift_-45,0.08002690970897675,151.9338430818184,0.0775580033659935,0.0775580033659935,0.07716535433070859
resnet50,PCA11,blue_channel_shift_-30,0.04648006707429886,77.52477986775443,0.04613897204399109,0.04613897204399109,0.03344140805928664
resnet50,PCA11,blue_channel_shift_30,0.04573316499590874,115.39985374760397,0.04560818895697594,0.04560818895697594,0.022047244094488105
resnet50,PCA11,blue_channel_shift_45,0.07739676535129547,206.811273897741,0.07625693827867508,0.07625693827867508,0.05298749421028248
resnet50,PCA11,gaussian_noise_0_02,0.08041880279779434,106.50443062171041,0.07714764028787613,0.07714764028787613,0.048726262158406586
resnet50,PCA11,gaussian_noise_0_05,0.14551271498203278,247.81198035739874,0.12451297044754028,0.12451297044754028,0.10356646595646124
resnet50,PCA11,gaussian_noise_0_1,0.2569740116596222,668.0452559505554,0.1908344179391861,0.1908344179391861,0.22779064381658165
resnet50,PCA11,shot_noise_60,0.25047117471694946,588.7532088230785,0.18421006202697754,0.18421006202697754,0.2364057433997221
resnet50,PCA11,shot_noise_30,0.3177151679992676,891.4441682237739,0.2187143862247467,0.2187143862247467,0.32505789717461786
resnet50,PCA11,shot_noise_15,0.3835066854953766,1273.3924539976426,0.25317344069480896,0.25317344069480896,0.4147290412227883
resnet50,PCA11,impulse_noise_0_01,0.37195029854774475,1740.680664664148,0.23744380474090576,0.23744380474090576,0.5769337656322371
resnet50,PCA11,impulse_noise_0_03,0.5367016792297363,3368.522740231559,0.29989415407180786,0.29989415407180786,0.724779990736452
resnet50,PCA11,impulse_noise_0_05,0.5392255783081055,2944.1486920541897,0.3079950511455536,0.3079950511455536,0.7716535433070866
resnet50,PCA11,motion_blur_5,0.19765619933605194,529.3952140716419,0.16029365360736847,0.16029365360736847,0.1250578971746178
resnet50,PCA11,motion_blur_9,0.3307006061077118,1272.651373276053,0.23776410520076752,0.23776410520076752,0.2522464103751736
resnet50,PCA11,motion_blur_15,0.4772663116455078,2234.6389649876487,0.30744174122810364,0.30744174122810364,0.5484946734599351
resnet50,PCA11,zoom_blur_1_05,0.2727789878845215,1539.9748125981769,0.2305738925933838,0.2305738925933838,0.1286706808707735
resnet50,PCA11,zoom_blur_1_1,0.4950469732284546,3275.8454468943546,0.38002532720565796,0.38002532720565796,0.46882816118573406
resnet50,PCA11,zoom_blur_1_2,0.5630191564559937,3101.873298397862,0.3979894816875458,0.3979894816875458,0.5893469198703103
resnet50,PCA11,contrast_0_5,0.0921049490571022,171.08735671422664,0.08870244026184082,0.08870244026184082,0.05391384900416851
resnet50,PCA11,contrast_0_75,0.026601511985063553,43.644335282387715,0.026444582268595695,0.026444582268595695,0.010282538212135206
resnet50,PCA11,contrast_1_25,0.015691203996539116,29.488031135284587,0.015680203214287758,0.015680203214287758,0.0021306160259378926
resnet50,PCA11,contrast_1_5,0.04102884605526924,77.45551341202963,0.040845002979040146,0.040845002979040146,0.010375173691523853
resnet50,PCA11,pixelate_0_5,0.4397813379764557,1641.7000561016316,0.24492667615413666,0.24492667615413666,0.6282538212135247
resnet50,PCA11,pixelate_0_33,0.540410578250885,3026.452800410366,0.3636857867240906,0.3636857867240906,0.6500231588698471
resnet50,PCA11,pixelate_0_25,0.6323310136795044,2054.512258763506,0.2852616310119629,0.2852616310119629,0.8658638258452986
resnet50,PCA11,scratch_mild,0.1538790464401245,1339.0583796567132,0.15013986825942993,0.15013986825942993,0.04326076887447883
resnet50,PCA11,scratch_moderate,0.4009920656681061,4818.1614034084905,0.3792295753955841,0.3792295753955841,0.16544696618805
resnet50,PCA11,scratch_severe,0.6136777400970459,6467.007912308634,0.5571643114089966,0.5571643114089966,0.40694766095414536
resnet50,PCA11,rotation_45,0.4846251904964447,4365.230921324777,0.3900397717952728,0.3900397717952728,0.34793886058360346
resnet50,PCA11,rotation_90,0.160631462931633,133.10277630549888,0.11427123844623566,0.11427123844623566,0.05724872626215838
resnet50,PCA11,rotation_135,0.4950404167175293,4444.935943796978,0.3944443464279175,0.3944443464279175,0.37591477535896245
resnet50,PCA11,rotation_180,0.06381061673164368,18.409265407457042,0.062489092350006104,0.062489092350006104,0.002408522464103724
resnet50,PCA11,compound_mild,0.5257065892219543,2824.3804702643133,0.3014635443687439,0.3014635443687439,0.569893469198703
resnet50,PCA11,compound_moderate,0.7049251794815063,4454.042649448093,0.3933927118778229,0.3933927118778229,0.7910143584993052
resnet50,PCA11,compound_severe,0.7490004301071167,4742.227364794042,0.44174113869667053,0.44174113869667053,0.8905974988420564
resnet50,PCA11,compound_optical_mild,0.3324517607688904,1834.219013328387,0.24495220184326172,0.24495220184326172,0.22075034738304766
resnet50,PCA11,compound_optical_moderate,0.5417128205299377,3880.186732932461,0.3795168399810791,0.3795168399810791,0.5325613710050949
resnet50,PCA11,compound_optical_severe,0.7051762938499451,5745.2547920180405,0.5150853991508484,0.5150853991508484,0.73886058360352
resnet50,PCA11,compound_digital_mild,0.3333539366722107,1416.1457296216486,0.23507602512836456,0.23507602512836456,0.3679481241315423
resnet50,PCA11,compound_digital_moderate,0.45508354902267456,2262.053825089904,0.2792282700538635,0.2792282700538635,0.6364983788791106
resnet50,PCA11,compound_digital_severe,0.5820757746696472,3413.557688594809,0.3571135699748993,0.3571135699748993,0.7306160259379342
resnet50,PCA11,compound_field_mild,0.33733898401260376,2039.6601555088378,0.2698580026626587,0.2698580026626587,0.23909217230199165
resnet50,PCA11,compound_field_moderate,0.5627162456512451,4767.7668856436485,0.42689061164855957,0.42689061164855957,0.5573876794812412
resnet50,PCA11,compound_field_severe,0.6203163862228394,5161.389421944057,0.45297718048095703,0.45297718048095703,0.6419638721630384
