backbone,dataset,perturbation,feature_drift,mahal_delta,knn_dist,reference_bank_drift,accuracy_drop
swin_tiny,PCA11,blur_2,0.3924448788166046,2464.4111180268314,0.3108733296394348,0.3108733296394348,0.20037054191755443
swin_tiny,PCA11,blur_4,0.6368922591209412,6256.555440754557,0.48821118474006653,0.48821118474006653,0.4546549328392774
swin_tiny,PCA11,blur_6,0.7704543471336365,10235.984095208498,0.6231675744056702,0.6231675744056702,0.5893469198703103
swin_tiny,PCA11,blur_8,0.8318593502044678,12364.39064562733,0.6877846717834473,0.6877846717834473,0.6743862899490505
swin_tiny,PCA11,blur_10,0.8592170476913452,13346.003598890306,0.7116252779960632,0.7116252779960632,0.7283001389532191
swin_tiny,PCA11,blur_12,0.870164155960083,13595.51968205236,0.7087886929512024,0.7087886929512024,0.7627605372857804
swin_tiny,PCA11,defocus_3,0.3311828076839447,1962.8169629683794,0.27531224489212036,0.27531224489212036,0.15609078276980082
swin_tiny,PCA11,defocus_5,0.4694461226463318,2979.308757932018,0.35083746910095215,0.35083746910095215,0.3236683649837888
swin_tiny,PCA11,defocus_8,0.5879320502281189,4549.1969028127605,0.4290408492088318,0.4290408492088318,0.4785548865215377
swin_tiny,PCA11,defocus_11,0.6776856184005737,6423.6289092063835,0.5015498995780945,0.5015498995780945,0.5763779527559054
swin_tiny,PCA11,defocus_15,0.7636551260948181,8588.457211147894,0.5757712721824646,0.5757712721824646,0.6667901806391847
swin_tiny,PCA11,resize_1_33,0.18909087777137756,768.701546091884,0.1733689308166504,0.1733689308166504,0.04566929133858266
swin_tiny,PCA11,resize_1_67,0.23240414261817932,876.4345960253511,0.20382487773895264,0.20382487773895264,0.08022232515053263
swin_tiny,PCA11,resize_2_0,0.33005279302597046,1488.242358385652,0.26834219694137573,0.26834219694137573,0.20231588698471514
swin_tiny,PCA11,brightness_0_7,0.01863231509923935,125.14322729000548,0.018629413098096848,0.018629413098096848,0.002593793422880908
swin_tiny,PCA11,brightness_0_85,0.005525716580450535,36.23450329435957,0.005525656510144472,0.005525656510144472,0.0016674386289948773
swin_tiny,PCA11,brightness_1_15,0.010322819463908672,29.42373787251904,0.010318370535969734,0.010318370535969734,0.004075961093098601
swin_tiny,PCA11,brightness_1_3,0.03574419394135475,113.38746842337707,0.03564269468188286,0.03564269468188286,0.016025937934228796
swin_tiny,PCA11,jpeg_10,0.5310994982719421,4774.059547392666,0.44655612111091614,0.44655612111091614,0.30430754979157015
swin_tiny,PCA11,jpeg_20,0.41509586572647095,3408.2708545025994,0.36214181780815125,0.36214181780815125,0.17424733672996762
swin_tiny,PCA11,jpeg_30,0.3522776961326599,2679.879854115325,0.3145970106124878,0.3145970106124878,0.13154238073182023
swin_tiny,PCA11,jpeg_50,0.28093668818473816,1873.8983180392893,0.2571352422237396,0.2571352422237396,0.0938397406206577
swin_tiny,PCA11,jpeg_70,0.21708355844020844,1260.242679452634,0.2036217600107193,0.2036217600107193,0.07114404817044928
swin_tiny,PCA11,color_shift_-45,0.05544024705886841,239.4551360793505,0.05537066236138344,0.05537066236138344,0.01204261232051873
swin_tiny,PCA11,color_shift_-30,0.029172280803322792,134.06997253462714,0.029162218794226646,0.029162218794226646,0.00444650301065308
swin_tiny,PCA11,color_shift_30,0.022013679146766663,58.402585284791485,0.02199973352253437,0.02199973352253437,0.00666975451597962
swin_tiny,PCA11,color_shift_45,0.046438463032245636,138.96237386602286,0.0463053360581398,0.0463053360581398,0.020565076424270523
swin_tiny,PCA11,green_channel_shift_-45,0.11125227063894272,358.1633837520046,0.10511872172355652,0.10511872172355652,0.045576655859194015
swin_tiny,PCA11,green_channel_shift_-30,0.06417916715145111,199.33545822008125,0.06303893029689789,0.06303893029689789,0.020842982862436354
swin_tiny,PCA11,green_channel_shift_30,0.05530869588255882,207.6724358521193,0.05523098632693291,0.05523098632693291,0.016396479851783274
swin_tiny,PCA11,green_channel_shift_45,0.08018132299184799,337.67150580950465,0.07991062849760056,0.07991062849760056,0.02352941176470591
swin_tiny,PCA11,blue_channel_shift_-45,0.06555952876806259,159.97866571385168,0.06498689949512482,0.06498689949512482,0.027790643816581695
swin_tiny,PCA11,blue_channel_shift_-30,0.03572734445333481,66.61321161200567,0.0355600081384182,0.0355600081384182,0.012320518758684562
