threshold,tp,fp,tn,fn,precision,recall,f1,flagged_rate
0.05,716,654,226,0,0.5226,1.0,0.6865,0.8584
0.1,716,446,434,0,0.6162,1.0,0.7625,0.7281
0.15,714,315,565,2,0.6939,0.9972,0.8183,0.6447
0.2,703,213,667,13,0.7675,0.9818,0.8615,0.5739
0.25,683,145,735,33,0.8249,0.9539,0.8847,0.5188
0.3,651,83,797,65,0.8869,0.9092,0.8979,0.4599
0.35,600,36,844,116,0.9434,0.838,0.8876,0.3985
0.4,521,18,862,195,0.9666,0.7277,0.8303,0.3377
0.45,472,6,874,244,0.9874,0.6592,0.7906,0.2995
0.5,413,2,878,303,0.9952,0.5768,0.7303,0.26
0.55,336,0,880,380,1.0,0.4693,0.6388,0.2105
0.6,267,0,880,449,1.0,0.3729,0.5432,0.1673
0.65,205,0,880,511,1.0,0.2863,0.4452,0.1284
0.7,154,0,880,562,1.0,0.2151,0.354,0.0965
