perturbation,auc_roc,failure_rate,n
compound_digital,0.9694444444444446,0.7619047619047619,63
compound_field,0.8930041152263375,0.8571428571428571,63
compound_optical,0.9446064139941691,0.7777777777777778,63
defocus_blur,0.9542181069958847,0.7714285714285715,105
gaussian_blur,0.9811117107393416,0.8650793650793651,126
gaussian_noise,0.917464114832536,0.30158730158730157,63
impulse_noise,0.9561224489795919,0.5555555555555556,63
jpeg,0.9545454545454546,0.1619047619047619,105
motion_blur,0.9595959595959596,0.47619047619047616,63
pixelate,0.9830769230769231,0.7936507936507936,63
resize,0.816923076923077,0.20634920634920634,63
rotation,0.954326923076923,0.38095238095238093,84
scratch,0.9188034188034189,0.38095238095238093,63
shot_noise,0.924552429667519,0.7301587301587301,63
zoom_blur,0.9219948849104859,0.7301587301587301,63
