dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
BD11,convnext_tiny,gaussian_blur,12,0.9267289638519287,0.7880421877684108,0.24301542341709137,0.18863636363636363,0.9,0.7113636363636364
BD11,convnext_tiny,compound,severe,0.9317157864570618,0.5095535607840368,0.25157827883958817,0.12272727272727273,0.9,0.7772727272727273
BD11,convnext_tiny,resize,2.0,0.36920347809791565,0.18166575067030433,0.04639238119125366,0.7227272727272728,0.9,0.17727272727272725
BD11,convnext_tiny,defocus_blur,5,0.552293062210083,0.005567448838697198,0.0250493586063385,0.6522727272727272,0.9,0.2477272727272728
BD11,convnext_tiny,illumination,0.7,0.06363649666309357,0.06035694564075322,-0.0012340545654296875,0.9363636363636364,0.9,-0.036363636363636376
BD11,convnext_tiny,jpeg,10,0.47139331698417664,0.09519614235519225,0.048534542322158813,0.7363636363636363,0.9,0.1636363636363637
BD11,convnext_tiny,red_channel_shift,-45,0.08237156271934509,0.05714126044993906,0.008099257946014404,0.925,0.9,-0.025000000000000022
BD11,convnext_tiny,green_channel_shift,-45,0.15808334946632385,0.13448694515424464,0.03272157907485962,0.8818181818181818,0.9,0.018181818181818188
BD11,convnext_tiny,blue_channel_shift,-45,0.06172666698694229,-0.028059320801449794,0.01327463984489441,0.9159090909090909,0.9,-0.015909090909090873
BD11,convnext_tiny,gaussian_noise,0.1,0.25888609886169434,0.008106040337964582,0.0296211838722229,0.7909090909090909,0.9,0.10909090909090913
BD11,convnext_tiny,shot_noise,15,0.4613277018070221,0.11891298503066772,0.06841570138931274,0.3386363636363636,0.9,0.5613636363636364
BD11,convnext_tiny,impulse_noise,0.05,0.305438756942749,-0.025071577859836713,0.03827953338623047,0.7863636363636364,0.9,0.11363636363636365
BD11,convnext_tiny,motion_blur,15,0.5293121337890625,0.12100066526672137,0.04693406820297241,0.45,0.9,0.45
BD11,convnext_tiny,zoom_blur,1.2,0.752377986907959,0.4287152905780468,0.18801665306091309,0.35909090909090907,0.9,0.540909090909091
BD11,convnext_tiny,contrast,0.5,0.11116509884595871,0.07341851337755367,0.01105809211730957,0.9363636363636364,0.9,-0.036363636363636376
BD11,convnext_tiny,pixelate,0.25,0.8347760438919067,0.022555791126825597,0.20382586866617203,0.15454545454545454,0.9,0.7454545454545455
BD11,convnext_tiny,scratch,severe,0.6342023015022278,0.5834974046655544,0.1917364001274109,0.6772727272727272,0.9,0.22272727272727277
BD11,convnext_tiny,rotation,45,0.565216600894928,-0.02170780178642595,0.08494801819324493,0.4818181818181818,0.9,0.4181818181818182
BD11,convnext_tiny,compound_optical,severe,0.8603579998016357,0.3280591642592837,0.15945440530776978,0.22272727272727272,0.9,0.6772727272727272
BD11,convnext_tiny,compound_digital,severe,0.7213430404663086,-0.00984796078506145,0.06843073666095734,0.26136363636363635,0.9,0.6386363636363637
BD11,convnext_tiny,compound_field,severe,0.8180956840515137,0.34826786429130285,0.16311588883399963,0.21818181818181817,0.9,0.6818181818181819
