dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
BD11,hrnet32,gaussian_blur,12,0.6490237712860107,0.45906395678955814,0.10077030211687088,0.2,0.940909090909091,0.740909090909091
BD11,hrnet32,compound,severe,0.5471338629722595,0.6842991288531096,0.09847382083535194,0.12727272727272726,0.940909090909091,0.8136363636363637
BD11,hrnet32,resize,2.0,0.15737700462341309,0.26169003443502625,0.024224229156970978,0.7613636363636364,0.940909090909091,0.17954545454545467
BD11,hrnet32,defocus_blur,5,0.2167462855577469,0.039869194456479407,-0.005020573735237122,0.7477272727272727,0.940909090909091,0.19318181818181834
BD11,hrnet32,illumination,0.7,0.06364010274410248,0.025240633321986783,-0.0024608224630355835,0.9681818181818181,0.940909090909091,-0.027272727272727115
BD11,hrnet32,jpeg,10,0.2046482115983963,0.14044470656316566,0.04044207185506821,0.8159090909090909,0.940909090909091,0.1250000000000001
BD11,hrnet32,red_channel_shift,-45,0.07208181172609329,0.022405803383974132,0.003380805253982544,0.9318181818181818,0.940909090909091,0.00909090909090926
BD11,hrnet32,green_channel_shift,-45,0.08994559198617935,0.03151113648783499,0.01163223385810852,0.9272727272727272,0.940909090909091,0.01363636363636378
BD11,hrnet32,blue_channel_shift,-45,0.04767780378460884,0.0008212613771718669,-0.002876073122024536,0.95,0.940909090909091,-0.009090909090908927
BD11,hrnet32,gaussian_noise,0.1,0.098408043384552,-0.01918439415408868,0.003581017255783081,0.9386363636363636,0.940909090909091,0.002272727272727426
BD11,hrnet32,shot_noise,15,0.18702663481235504,-0.0621542688102148,0.006025269627571106,0.7204545454545455,0.940909090909091,0.22045454545454557
BD11,hrnet32,impulse_noise,0.05,0.183676078915596,-0.027848195314363444,0.027982518076896667,0.7727272727272727,0.940909090909091,0.16818181818181832
BD11,hrnet32,motion_blur,15,0.29863184690475464,0.06989906496185105,0.023203901946544647,0.39090909090909093,0.940909090909091,0.55
BD11,hrnet32,zoom_blur,1.2,0.32584354281425476,0.28061812553389676,0.08781489357352257,0.4022727272727273,0.940909090909091,0.5386363636363638
BD11,hrnet32,contrast,0.5,0.10871326178312302,0.0781983044565292,0.0033737272024154663,0.9727272727272728,0.940909090909091,-0.031818181818181746
BD11,hrnet32,pixelate,0.25,0.4036334753036499,-0.11680615826564561,0.036805279552936554,0.3840909090909091,0.940909090909091,0.5568181818181819
BD11,hrnet32,scratch,severe,0.2057088166475296,0.22452838273818165,0.05697239190340042,0.8272727272727273,0.940909090909091,0.11363636363636376
BD11,hrnet32,rotation,45,0.2094462662935257,0.020060748169885345,0.05535590648651123,0.7318181818181818,0.940909090909091,0.20909090909090922
BD11,hrnet32,compound_optical,severe,0.5855180621147156,0.31568347452588563,0.06876819580793381,0.19772727272727272,0.940909090909091,0.7431818181818183
BD11,hrnet32,compound_digital,severe,0.39586952328681946,0.11007492428849153,0.07234373688697815,0.3409090909090909,0.940909090909091,0.6000000000000001
BD11,hrnet32,compound_field,severe,0.40397560596466064,0.5173442711786364,0.0892629623413086,0.25,0.940909090909091,0.690909090909091
