dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
BD11,resnet50,gaussian_blur,12,0.7625206708908081,0.3608420242784355,0.13025756180286407,0.24545454545454545,0.8977272727272727,0.6522727272727272
BD11,resnet50,compound,severe,0.800677478313446,1.104927884628728,0.23378720693290234,0.08863636363636364,0.8977272727272727,0.8090909090909091
BD11,resnet50,resize,2.0,0.31049540638923645,0.2510509687588276,0.0402211993932724,0.7181818181818181,0.8977272727272727,0.17954545454545456
BD11,resnet50,defocus_blur,5,0.40795257687568665,-0.06571538825779799,-0.04534962773323059,0.6454545454545455,0.8977272727272727,0.2522727272727272
BD11,resnet50,illumination,0.7,0.0380769744515419,0.004573711751388876,-0.005710393190383911,0.9659090909090909,0.8977272727272727,-0.06818181818181823
BD11,resnet50,jpeg,10,0.31734007596969604,0.0573514834326142,0.03220820426940918,0.7363636363636363,0.8977272727272727,0.16136363636363638
BD11,resnet50,red_channel_shift,-45,0.10580270737409592,0.04034522176038946,0.017088130116462708,0.9386363636363636,0.8977272727272727,-0.040909090909090895
BD11,resnet50,green_channel_shift,-45,0.11165353655815125,0.06698511126937645,0.020814433693885803,0.9295454545454546,0.8977272727272727,-0.03181818181818186
BD11,resnet50,blue_channel_shift,-45,0.06588172912597656,-0.020527784427878393,-0.0059705376625061035,0.9295454545454546,0.8977272727272727,-0.03181818181818186
BD11,resnet50,gaussian_noise,0.1,0.19308647513389587,0.026001779923812807,0.01904977858066559,0.8863636363636364,0.8977272727272727,0.011363636363636354
BD11,resnet50,shot_noise,15,0.33167919516563416,0.018729997662709108,0.02640475332736969,0.6977272727272728,0.8977272727272727,0.19999999999999996
BD11,resnet50,impulse_noise,0.05,0.422242671251297,0.0013978415672781797,0.08504700660705566,0.4772727272727273,0.8977272727272727,0.4204545454545454
BD11,resnet50,motion_blur,15,0.5204006433486938,0.05326241348677796,0.053051501512527466,0.43636363636363634,0.8977272727272727,0.46136363636363636
BD11,resnet50,zoom_blur,1.2,0.5990191102027893,0.17415641218663724,0.09377174079418182,0.2840909090909091,0.8977272727272727,0.6136363636363635
BD11,resnet50,contrast,0.5,0.06622736901044846,0.05139562181678414,-0.0013627409934997559,0.9681818181818181,0.8977272727272727,-0.07045454545454544
BD11,resnet50,pixelate,0.25,0.7688962817192078,0.3051839939894768,0.2102770209312439,0.14545454545454545,0.8977272727272727,0.7522727272727272
BD11,resnet50,scratch,severe,0.390472412109375,0.25610815079478066,0.0999392718076706,0.7613636363636364,0.8977272727272727,0.13636363636363635
BD11,resnet50,rotation,45,0.4657869040966034,0.15446784275740422,0.10480235517024994,0.5909090909090909,0.8977272727272727,0.30681818181818177
BD11,resnet50,compound_optical,severe,0.7183330059051514,0.13886097510219464,0.0818309634923935,0.33636363636363636,0.8977272727272727,0.5613636363636363
BD11,resnet50,compound_digital,severe,0.6986705660820007,0.2449752635276673,0.1818356066942215,0.15,0.8977272727272727,0.7477272727272727
BD11,resnet50,compound_field,severe,0.6317245364189148,0.29165892503383495,0.11146268248558044,0.18409090909090908,0.8977272727272727,0.7136363636363636
