dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
FSDM41,efficientnet_b3,gaussian_blur,12,0.7710081934928894,0.27809885953979413,0.24227716028690338,0.0628823929299796,0.9460101867572156,0.8831277938272359
FSDM41,efficientnet_b3,compound,severe,0.8844922780990601,0.8497295188341278,0.37684452161192894,0.019034670292318152,0.9460101867572156,0.9269755164648974
FSDM41,efficientnet_b3,resize,2.0,0.22889988124370575,0.08574954048349726,0.013406574726104736,0.8477226376614548,0.9460101867572156,0.09828754909576076
FSDM41,efficientnet_b3,defocus_blur,5,0.4776665270328522,0.043882951177352414,0.027441024780273438,0.21040108769544527,0.9460101867572156,0.7356090990617703
FSDM41,efficientnet_b3,illumination,0.7,0.013741369359195232,-0.003545758519151565,-0.010065972805023193,0.9653297076818491,0.9460101867572156,-0.019319520924633515
FSDM41,efficientnet_b3,jpeg,10,0.42936527729034424,0.1022175222004077,0.04588475823402405,0.522093813732155,0.9460101867572156,0.4239163730250606
FSDM41,efficientnet_b3,red_channel_shift,-45,0.046251874417066574,0.007337444462884868,-0.023638784885406494,0.9615907545887151,0.9460101867572156,-0.015580567831499526
FSDM41,efficientnet_b3,green_channel_shift,-45,0.07724922895431519,0.008192025588327712,0.006042987108230591,0.9405166553365057,0.9460101867572156,0.005493531420709852
FSDM41,efficientnet_b3,blue_channel_shift,-45,0.043764401227235794,-0.0017817517313806208,0.02657148241996765,0.9537729435757988,0.9460101867572156,-0.007762756818583183
FSDM41,efficientnet_b3,gaussian_noise,0.1,0.25190430879592896,0.03493085149671532,0.13862109184265137,0.5254928619986404,0.9460101867572156,0.4205173247585752
FSDM41,efficientnet_b3,shot_noise,15,0.43023648858070374,0.06860269651422202,0.2071533054113388,0.24371176070700204,0.9460101867572156,0.7022984260502135
FSDM41,efficientnet_b3,impulse_noise,0.05,0.24220646917819977,0.018609201689126775,0.12693312764167786,0.5122365737593474,0.9460101867572156,0.4337736129978682
FSDM41,efficientnet_b3,motion_blur,15,0.5290144085884094,0.15741297052656528,0.1257707178592682,0.18694765465669613,0.9460101867572156,0.7590625321005194
FSDM41,efficientnet_b3,zoom_blur,1.2,0.5882514715194702,0.0878364168644773,0.22017531096935272,0.15873555404486744,0.9460101867572156,0.7872746327123481
FSDM41,efficientnet_b3,contrast,0.5,0.0773562416434288,-0.009397595877768783,0.01400253176689148,0.9259007477906186,0.9460101867572156,0.020109438966597004
FSDM41,efficientnet_b3,pixelate,0.25,0.6576501727104187,0.16748104047714601,0.23813121020793915,0.04962610469068661,0.9460101867572156,0.896384082066529
FSDM41,efficientnet_b3,scratch,severe,0.7870289087295532,0.793389456633131,0.3186744451522827,0.35995921142080217,0.9460101867572156,0.5860509753364134
FSDM41,efficientnet_b3,rotation,45,0.30184975266456604,-0.014455340201635136,0.04744264483451843,0.6227056424201224,0.9460101867572156,0.3233045443370932
FSDM41,efficientnet_b3,compound_optical,severe,0.752729058265686,0.33836101471556207,0.23760008811950684,0.09755268524813053,0.9460101867572156,0.848457501509085
FSDM41,efficientnet_b3,compound_digital,severe,0.5666618943214417,0.10305475428681748,0.12124401330947876,0.17199184228416042,0.9460101867572156,0.7740183444730552
FSDM41,efficientnet_b3,compound_field,severe,0.7363889813423157,0.07559934000811463,0.1838683933019638,0.07919782460910944,0.9460101867572156,0.8668123621481062
