dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
FSDM41,hrnet32,gaussian_blur,12,0.5525194406509399,0.40009439919681844,0.15701088681817055,0.066281441196465,0.9606112054329372,0.8943297642364723
FSDM41,hrnet32,compound,severe,0.5087155103683472,1.1411923708389078,0.17888029478490353,0.026512576478585997,0.9606112054329372,0.9340986289543513
FSDM41,hrnet32,resize,2.0,0.14246341586112976,0.0008555067859313814,-0.03500676155090332,0.7715839564921821,0.9606112054329372,0.18902724894075507
FSDM41,hrnet32,defocus_blur,5,0.3259267508983612,0.06586922634120534,0.013638094067573547,0.16621346023113528,0.9606112054329372,0.794397745201802
FSDM41,hrnet32,illumination,0.7,0.03261518478393555,0.007815830085761921,-0.00498218834400177,0.9547926580557444,0.9606112054329372,0.005818547377192784
FSDM41,hrnet32,jpeg,10,0.268240749835968,0.21225686646909958,0.06111806631088257,0.3881713120326309,0.9606112054329372,0.5724398934003063
FSDM41,hrnet32,red_channel_shift,-45,0.04371996968984604,0.008683680129066285,-0.0050248801708221436,0.9677090414683889,0.9606112054329372,-0.007097836035451666
FSDM41,hrnet32,green_channel_shift,-45,0.059046145528554916,0.014856089222918145,0.0066895633935928345,0.9445955132562882,0.9606112054329372,0.016015692176649
FSDM41,hrnet32,blue_channel_shift,-45,0.03627549484372139,-0.007830990087764944,0.011146053671836853,0.9585316111488783,0.9606112054329372,0.0020795942840589055
FSDM41,hrnet32,gaussian_noise,0.1,0.2168933004140854,0.05352658172927349,0.0700758546590805,0.4157036029911625,0.9606112054329372,0.5449076024417747
FSDM41,hrnet32,shot_noise,15,0.3195747435092926,0.15701110585968414,0.120881587266922,0.16043507817811012,0.9606112054329372,0.8001761272548271
FSDM41,hrnet32,impulse_noise,0.05,0.3298753798007965,0.11561384393704854,0.1155557632446289,0.08735554044867437,0.9606112054329372,0.8732556649842629
FSDM41,hrnet32,motion_blur,15,0.39591699838638306,0.11929750033277225,0.04911431670188904,0.1043507817811013,0.9606112054329372,0.8562604236518359
FSDM41,hrnet32,zoom_blur,1.2,0.28748756647109985,0.03404245701988384,0.1129348874092102,0.24745071380013597,0.9606112054329372,0.7131604916328013
FSDM41,hrnet32,contrast,0.5,0.062274083495140076,-0.0179248278624225,0.0022150427103042603,0.9235214140040788,0.9606112054329372,0.037089791428858376
FSDM41,hrnet32,pixelate,0.25,0.3353433907032013,0.027655844683398934,0.10750765353441238,0.11998640380693405,0.9606112054329372,0.8406248016260032
FSDM41,hrnet32,scratch,severe,0.3616276681423187,0.3465358878148954,0.14410119876265526,0.16655336505778381,0.9606112054329372,0.7940578403751534
FSDM41,hrnet32,rotation,45,0.23410667479038239,-0.03184553112414029,0.09207760542631149,0.4571719918422842,0.9606112054329372,0.503439213590653
FSDM41,hrnet32,compound_optical,severe,0.5793208479881287,0.3834855766302113,0.15079277008771896,0.04724677090414684,0.9606112054329372,0.9133644345287903
FSDM41,hrnet32,compound_digital,severe,0.3802478611469269,0.3202538794605606,0.12157169729471207,0.11216859279401767,0.9606112054329372,0.8484426126389195
FSDM41,hrnet32,compound_field,severe,0.37912702560424805,0.1763316746428526,0.105460524559021,0.08259687287559483,0.9606112054329372,0.8780143325573424
