dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
FSDM41,mobilenetv3,gaussian_blur,12,0.8467708230018616,0.2800109628133118,0.35110243409872055,0.024813052345343305,0.9429541595925297,0.9181411072471864
FSDM41,mobilenetv3,compound,severe,0.8449374437332153,1.1334525501609376,0.43074068799614906,0.01971447994561523,0.9429541595925297,0.9232396796469144
FSDM41,mobilenetv3,resize,2.0,0.2799210548400879,-0.00030535610443388483,-0.02700561285018921,0.7426920462270564,0.9429541595925297,0.20026211336547328
FSDM41,mobilenetv3,defocus_blur,5,0.5344334840774536,0.06728486973281661,0.12563729286193848,0.19136641740312713,0.9429541595925297,0.7515877421894026
FSDM41,mobilenetv3,illumination,0.7,0.0473092682659626,0.002107846114789258,0.004560947418212891,0.9561522773623385,0.9429541595925297,-0.013198117769808837
FSDM41,mobilenetv3,jpeg,10,0.4295099079608917,0.13019235547442692,0.16512435674667358,0.3602991162474507,0.9429541595925297,0.582655043345079
FSDM41,mobilenetv3,red_channel_shift,-45,0.0915561392903328,0.002130314062472549,-0.023246735334396362,0.9503738953093134,0.9429541595925297,-0.007419735716783671
FSDM41,mobilenetv3,green_channel_shift,-45,0.14775711297988892,0.014051792360412763,0.0311318039894104,0.8477226376614548,0.9429541595925297,0.09523152193107487
FSDM41,mobilenetv3,blue_channel_shift,-45,0.06030203774571419,0.0038903927741196775,0.0323338508605957,0.9493541808293677,0.9429541595925297,-0.006400021236838027
FSDM41,mobilenetv3,gaussian_noise,0.1,0.3069153428077698,0.002778912863469485,0.19663897156715393,0.46397008837525494,0.9429541595925297,0.47898407121727476
FSDM41,mobilenetv3,shot_noise,15,0.46919745206832886,-0.027834877213668452,0.29489243030548096,0.16655336505778381,0.9429541595925297,0.7764007945347459
FSDM41,mobilenetv3,impulse_noise,0.05,0.4557065963745117,0.02834337022684663,0.2103600651025772,0.26784500339904826,0.9429541595925297,0.6751091561934814
FSDM41,mobilenetv3,motion_blur,15,0.6791784763336182,0.1284817178770516,0.2061191201210022,0.09755268524813053,0.9429541595925297,0.8454014743443992
FSDM41,mobilenetv3,zoom_blur,1.2,0.7510051727294922,0.0921050683341273,0.27165083587169647,0.19680489462950373,0.9429541595925297,0.7461492649630259
FSDM41,mobilenetv3,contrast,0.5,0.1275181621313095,0.011167173408564435,0.05985516309738159,0.80931339225017,0.9429541595925297,0.13364076734235975
FSDM41,mobilenetv3,pixelate,0.25,0.578825056552887,0.10413708689409229,0.3355584442615509,0.056764106050305914,0.9429541595925297,0.8861900535422238
FSDM41,mobilenetv3,scratch,severe,0.8063961267471313,0.38177142488457433,0.28468741476535797,0.39157036029911624,0.9429541595925297,0.5513837992934134
FSDM41,mobilenetv3,rotation,45,0.521202027797699,0.011497934525472375,0.16476482152938843,0.4928619986403807,0.9429541595925297,0.450092160952149
FSDM41,mobilenetv3,compound_optical,severe,0.8434787392616272,0.15041359540199312,0.33270324021577835,0.033650577838205305,0.9429541595925297,0.9093035817543244
FSDM41,mobilenetv3,compound_digital,severe,0.5211894512176514,0.3331893729578224,0.32158713042736053,0.08429639700883752,0.9429541595925297,0.8586577625836922
FSDM41,mobilenetv3,compound_field,severe,0.7874047160148621,0.044401147521974715,0.1570800244808197,0.0849762066621346,0.9429541595925297,0.8579779529303951
