dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
FSDM41,resnet50,gaussian_blur,12,0.6874780654907227,0.42048339139722374,0.25225548818707466,0.04962610469068661,0.9439728353140916,0.894346730623405
FSDM41,resnet50,compound,severe,0.6708373427391052,0.9259771897622595,0.3015001630410552,0.030251529571719917,0.9439728353140916,0.9137213057423716
FSDM41,resnet50,resize,2.0,0.23639962077140808,0.06441625368734738,0.03420138359069824,0.6866077498300476,0.9439728353140916,0.257365085484044
FSDM41,resnet50,defocus_blur,5,0.4266887605190277,0.13440772275872725,0.11914391815662384,0.17063222297756628,0.9439728353140916,0.7733406123365253
FSDM41,resnet50,illumination,0.7,0.019317694008350372,0.00313694281459731,0.0032325387001037598,0.9653297076818491,0.9439728353140916,-0.021356872367757518
FSDM41,resnet50,jpeg,10,0.39788997173309326,0.14939101998046606,0.1351127177476883,0.19714479945615226,0.9439728353140916,0.7468280358579393
FSDM41,resnet50,red_channel_shift,-45,0.05871471017599106,0.011692837482111973,-0.00916096568107605,0.9564921821889871,0.9439728353140916,-0.012519346874895532
FSDM41,resnet50,green_channel_shift,-45,0.08578890562057495,0.02133738270050517,0.02315428853034973,0.9364377974167233,0.9439728353140916,0.007535037897368313
FSDM41,resnet50,blue_channel_shift,-45,0.0546715147793293,0.0031828047285661354,0.032778531312942505,0.9445955132562882,0.9439728353140916,-0.0006226779421966144
FSDM41,resnet50,gaussian_noise,0.1,0.24459421634674072,0.010413934303060646,0.10016666352748871,0.46261046906866077,0.9439728353140916,0.48136236624543083
FSDM41,resnet50,shot_noise,15,0.3815833032131195,0.07834600878282416,0.15438312292099,0.1594153636981645,0.9439728353140916,0.7845574716159271
FSDM41,resnet50,impulse_noise,0.05,0.413066029548645,0.04836542772051999,0.1583644300699234,0.15193745751189666,0.9439728353140916,0.7920353778021949
FSDM41,resnet50,motion_blur,15,0.5335587859153748,0.1389604303542316,0.1145419031381607,0.1257647858599592,0.9439728353140916,0.8182080494541324
FSDM41,resnet50,zoom_blur,1.2,0.5420074462890625,0.11264798471670007,0.14970797300338745,0.21719918422841605,0.9439728353140916,0.7267736510856755
FSDM41,resnet50,contrast,0.5,0.07246652245521545,0.01628551347861862,0.045905470848083496,0.8874915023793338,0.9439728353140916,0.056481332934757766
FSDM41,resnet50,pixelate,0.25,0.5254238843917847,0.034071336223778115,0.22610004991292953,0.05472467709041468,0.9439728353140916,0.8892481582236769
FSDM41,resnet50,scratch,severe,0.6908270120620728,0.839855871335198,0.2391289323568344,0.34024473147518697,0.9439728353140916,0.6037281038389046
FSDM41,resnet50,rotation,45,0.48206380009651184,0.03561696217188215,0.1240825355052948,0.37933378653976885,0.9439728353140916,0.5646390487743227
FSDM41,resnet50,compound_optical,severe,0.6574320197105408,0.3164589259745553,0.21420112997293472,0.07205982324949015,0.9439728353140916,0.8719130120646015
FSDM41,resnet50,compound_digital,severe,0.4801879823207855,0.2880740659889511,0.2229698747396469,0.08089734874235215,0.9439728353140916,0.8630754865717395
FSDM41,resnet50,compound_field,severe,0.6092897057533264,0.016143025634488106,0.058637261390686035,0.058803535010197146,0.9439728353140916,0.8851693003038944
