dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
FSDM41,swin_tiny,gaussian_blur,12,0.8024001121520996,0.4118971020542337,0.30159856379032135,0.0690006798096533,0.9565365025466894,0.8875358227370361
FSDM41,swin_tiny,compound,severe,0.8410147428512573,0.7194185772571668,0.3630620688199997,0.036709721278042146,0.9565365025466894,0.9198267812686473
FSDM41,swin_tiny,resize,2.0,0.25387829542160034,0.04463550885321371,0.011840671300888062,0.8198504418762746,0.9565365025466894,0.13668606067041478
FSDM41,swin_tiny,defocus_blur,5,0.5692435503005981,0.13781870875498892,0.09864228963851929,0.128144119646499,0.9565365025466894,0.8283923829001905
FSDM41,swin_tiny,illumination,0.7,0.020301787182688713,0.017787418780074005,0.0036832988262176514,0.9721278042148198,0.9565365025466894,-0.015591301668130386
FSDM41,swin_tiny,jpeg,10,0.6797767877578735,0.10446356420120706,0.130674809217453,0.20496261046906866,0.9565365025466894,0.7515738920776207
FSDM41,swin_tiny,red_channel_shift,-45,0.04982798546552658,0.00819726150162936,-0.022787511348724365,0.9700883752549286,0.9565365025466894,-0.01355187270823921
FSDM41,swin_tiny,green_channel_shift,-45,0.05537007004022598,0.027394342636298807,0.020256519317626953,0.964649898028552,0.9565365025466894,-0.008113395481862629
FSDM41,swin_tiny,blue_channel_shift,-45,0.08396729826927185,-0.008881637573626255,0.0020885467529296875,0.9415363698164514,0.9565365025466894,0.015000132730238036
FSDM41,swin_tiny,gaussian_noise,0.1,0.3357793390750885,0.04332110172133391,0.03043961524963379,0.5448674371176071,0.9565365025466894,0.4116690654290823
FSDM41,swin_tiny,shot_noise,15,0.47130271792411804,0.11629264991969412,0.07705432176589966,0.2868796736913664,0.9565365025466894,0.6696568288553231
FSDM41,swin_tiny,impulse_noise,0.05,0.34873807430267334,0.07335493110137753,0.22936038672924042,0.3813732154996601,0.9565365025466894,0.5751632870470293
FSDM41,swin_tiny,motion_blur,15,0.6069415807723999,0.1922069598872097,0.150079607963562,0.09211420802175391,0.9565365025466894,0.8644222945249356
FSDM41,swin_tiny,zoom_blur,1.2,0.6680800914764404,0.10254691052129733,0.23346807062625885,0.2559483344663494,0.9565365025466894,0.7005881680803401
FSDM41,swin_tiny,contrast,0.5,0.06001293659210205,0.02064085035068114,0.0354057252407074,0.9493541808293677,0.9565365025466894,0.0071823217173216936
FSDM41,swin_tiny,pixelate,0.25,0.8005187511444092,-0.049881826268647456,0.30369865894317627,0.05200543847722638,0.9565365025466894,0.904531064069463
FSDM41,swin_tiny,scratch,severe,0.7096243500709534,0.4086329199842299,0.2842460796236992,0.6380013596193066,0.9565365025466894,0.31853514292738283
FSDM41,swin_tiny,rotation,45,0.3263014256954193,-0.029800764490793163,0.07215103507041931,0.5333106730115568,0.9565365025466894,0.42322582953513266
FSDM41,swin_tiny,compound_optical,severe,0.8172143697738647,0.35630644094140007,0.2685193121433258,0.05642420122365738,0.9565365025466894,0.9001123013230321
FSDM41,swin_tiny,compound_digital,severe,0.7589255571365356,0.21027257293274426,0.2751097232103348,0.10401087695445276,0.9565365025466894,0.8525256255922367
FSDM41,swin_tiny,compound_field,severe,0.8598727583885193,0.06918842873952541,0.12670838832855225,0.07409925220938138,0.9565365025466894,0.882437250337308
