dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
GOIMAI,dinov2_b,gaussian_blur,12,0.8227797746658325,0.46792360375810055,0.14183324575424194,0.10136727958510136,0.9887058823529411,0.8873386027678397
GOIMAI,dinov2_b,compound,severe,0.8760998249053955,0.3537822080733993,0.24270383268594742,0.050447901933050446,0.9887058823529411,0.9382579804198906
GOIMAI,dinov2_b,resize,2.0,0.19251547753810883,0.07023423931064404,0.011891394853591919,0.8415841584158416,0.9887058823529411,0.14712172393709955
GOIMAI,dinov2_b,defocus_blur,5,0.3817867338657379,0.0912379701075029,-0.023428648710250854,0.49929278642149927,0.9887058823529411,0.48941309593144183
GOIMAI,dinov2_b,illumination,0.7,0.002987499115988612,0.0034806795046160577,0.00028830766677856445,0.9957567185289957,0.9887058823529411,-0.00705083617605462
GOIMAI,dinov2_b,jpeg,10,0.4214559495449066,0.1250298927676819,-0.06875056028366089,0.686940122583687,0.9887058823529411,0.3017657597692541
GOIMAI,dinov2_b,red_channel_shift,-45,0.046232935041189194,0.01333716575140692,0.024750858545303345,0.9952852428099953,0.9887058823529411,-0.006579360457054206
GOIMAI,dinov2_b,green_channel_shift,-45,0.051649175584316254,0.0034759546262073115,0.017760813236236572,0.9924563884959925,0.9887058823529411,-0.003750506143051391
GOIMAI,dinov2_b,blue_channel_shift,-45,0.04141266271471977,0.00017295571129394283,-0.0006206631660461426,0.991984912776992,0.9887058823529411,-0.003279030424050866
GOIMAI,dinov2_b,gaussian_noise,0.1,0.26736292243003845,0.0441473924999462,-0.0479273796081543,0.7916077322017916,0.9887058823529411,0.1970981501511495
GOIMAI,dinov2_b,shot_noise,15,0.4466255307197571,0.058068091916539555,-0.014768987894058228,0.46534653465346537,0.9887058823529411,0.5233593476994758
GOIMAI,dinov2_b,impulse_noise,0.05,0.360738605260849,0.1071976522111932,0.08865037560462952,0.5223950966525224,0.9887058823529411,0.46631078570041873
GOIMAI,dinov2_b,motion_blur,15,0.4796257019042969,0.1860264804626619,0.055758923292160034,0.30221593587930223,0.9887058823529411,0.6864899464736389
GOIMAI,dinov2_b,zoom_blur,1.2,0.5568190217018127,0.05813687405929052,0.1174086183309555,0.2522395096652522,0.9887058823529411,0.7364663726876889
GOIMAI,dinov2_b,contrast,0.5,0.021390879526734352,0.005365199672628385,-0.007870882749557495,0.9952852428099953,0.9887058823529411,-0.006579360457054206
GOIMAI,dinov2_b,pixelate,0.25,0.5041465163230896,0.10908696067684404,-0.036405861377716064,0.37906647807637905,0.9887058823529411,0.609639404276562
GOIMAI,dinov2_b,scratch,severe,0.21059730648994446,0.04526961014346237,0.04974907636642456,0.9594530881659594,0.9887058823529411,0.02925279418698168
GOIMAI,dinov2_b,rotation,45,0.24491961300373077,0.008346808737594857,0.014024078845977783,0.909005186232909,0.9887058823529411,0.07970069612003206
GOIMAI,dinov2_b,compound_optical,severe,0.7597396373748779,0.380387915721863,0.10746368765830994,0.1140971239981141,0.9887058823529411,0.874608758354827
GOIMAI,dinov2_b,compound_digital,severe,0.5936758518218994,0.19650997061395314,-0.01638627052307129,0.3371051390853371,0.9887058823529411,0.651600743267604
GOIMAI,dinov2_b,compound_field,severe,0.7254874110221863,0.17725537082625392,0.046031177043914795,0.2197076850542197,0.9887058823529411,0.7689981972987214
