dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
GOIMAI,hrnet32,gaussian_blur,12,0.6664814352989197,0.11301698431805693,0.17925330996513367,0.053276756247053275,0.9967058823529411,0.9434291261058878
GOIMAI,hrnet32,compound,severe,0.5770376324653625,0.465469093281499,0.18925361335277557,0.017916077322017915,0.9967058823529411,0.9787898050309232
GOIMAI,hrnet32,resize,2.0,0.15901638567447662,0.024099560891700095,-0.04396197199821472,0.8821310702498821,0.9967058823529411,0.11457481210305898
GOIMAI,hrnet32,defocus_blur,5,0.31115007400512695,0.09751095058498996,-0.001734018325805664,0.40546911834040544,0.9967058823529411,0.5912367640125357
GOIMAI,hrnet32,illumination,0.7,0.019246302545070648,0.004756777575138732,-0.003278493881225586,0.9966996699669967,0.9967058823529411,6.212385944448506e-06
GOIMAI,hrnet32,jpeg,10,0.340271532535553,0.12250190978137918,0.033198922872543335,0.4347006129184347,0.9967058823529411,0.5620052694345063
GOIMAI,hrnet32,red_channel_shift,-45,0.10041923820972443,0.012530863110712692,0.025671914219856262,0.9717114568599717,0.9967058823529411,0.024994425492969374
GOIMAI,hrnet32,green_channel_shift,-45,0.12185940891504288,0.002898880883743238,0.02228952944278717,0.9745403111739745,0.9967058823529411,0.02216557117896656
GOIMAI,hrnet32,blue_channel_shift,-45,0.07971624284982681,0.00908872168202085,0.0037830471992492676,0.9915134370579916,0.9967058823529411,0.005192445294949555
GOIMAI,hrnet32,gaussian_noise,0.1,0.19981850683689117,0.02958802221744919,0.046598076820373535,0.5794436586515794,0.9967058823529411,0.4172622237013617
GOIMAI,hrnet32,shot_noise,15,0.29870155453681946,0.05115106112928916,0.09240710735321045,0.2545968882602546,0.9967058823529411,0.7421089940926865
GOIMAI,hrnet32,impulse_noise,0.05,0.20338673889636993,0.018058494340958547,0.07211582362651825,0.5803866100895804,0.9967058823529411,0.41631927226336074
GOIMAI,hrnet32,motion_blur,15,0.38475438952445984,0.11067268454251347,0.013752326369285583,0.28052805280528054,0.9967058823529411,0.7161778295476606
GOIMAI,hrnet32,zoom_blur,1.2,0.27786269783973694,-0.009331777569913602,0.10662972927093506,0.36633663366336633,0.9967058823529411,0.6303692486895748
GOIMAI,hrnet32,contrast,0.5,0.07335224002599716,-0.0007157584273345396,-0.004652440547943115,0.9839698255539839,0.9967058823529411,0.012736056798957174
GOIMAI,hrnet32,pixelate,0.25,0.3754218518733978,0.04713690089828346,0.11743712425231934,0.21782178217821782,0.9967058823529411,0.7788841001747233
GOIMAI,hrnet32,scratch,severe,0.2903178930282593,0.11883867097656678,0.1134493350982666,0.6506364922206507,0.9967058823529411,0.34606939013229043
GOIMAI,hrnet32,rotation,45,0.24322213232517242,0.013964033939842219,0.0910373330116272,0.8274398868458275,0.9967058823529411,0.16926599550711363
GOIMAI,hrnet32,compound_optical,severe,0.6768062114715576,0.11576776602363045,0.1477874517440796,0.06364922206506365,0.9967058823529411,0.9330566602878775
GOIMAI,hrnet32,compound_digital,severe,0.46565356850624084,0.13199989739402715,0.12641757726669312,0.16407355021216408,0.9967058823529411,0.832632332140777
GOIMAI,hrnet32,compound_field,severe,0.43903085589408875,0.15906188829308662,0.11119706928730011,0.08250825082508251,0.9967058823529411,0.9141976315278586
