dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
GOIMAI,resnet50,gaussian_blur,12,0.7497639656066895,0.1524172396860638,0.20512926578521729,0.05374823196605375,0.9943529411764706,0.9406047092104168
GOIMAI,resnet50,compound,severe,0.7662644982337952,0.09065750340102652,0.3406774625182152,0.033946251768033946,0.9943529411764706,0.9604066894084367
GOIMAI,resnet50,resize,2.0,0.3176899254322052,0.054574662286253406,-0.03329437971115112,0.8345120226308345,0.9943529411764706,0.1598409185456361
GOIMAI,resnet50,defocus_blur,5,0.5094680786132812,0.10413257182604141,0.030909627676010132,0.26308345120226306,0.9943529411764706,0.7312694899742075
GOIMAI,resnet50,illumination,0.7,0.011210188269615173,0.00345859238507773,0.003900587558746338,0.9966996699669967,0.9943529411764706,-0.002346728790526109
GOIMAI,resnet50,jpeg,10,0.5303455591201782,0.09877955098513969,0.1022534966468811,0.28524280999528523,0.9943529411764706,0.7091101311811854
GOIMAI,resnet50,red_channel_shift,-45,0.0948653519153595,0.005688911216470527,0.00707283616065979,0.9801980198019802,0.9943529411764706,0.01415492137449037
GOIMAI,resnet50,green_channel_shift,-45,0.12106894701719284,-0.0023822965686438047,0.020052850246429443,0.9632248939179632,0.9943529411764706,0.031128047258507374
GOIMAI,resnet50,blue_channel_shift,-45,0.09607171267271042,0.01175532324792622,0.010824233293533325,0.9886845827439887,0.9943529411764706,0.005668358432481813
GOIMAI,resnet50,gaussian_noise,0.1,0.292341947555542,0.03736555726632457,0.046751558780670166,0.5124941065535125,0.9943529411764706,0.4818588346229581
GOIMAI,resnet50,shot_noise,15,0.43092870712280273,0.06073029799128016,0.0824175775051117,0.27345591702027344,0.9943529411764706,0.7208970241561972
GOIMAI,resnet50,impulse_noise,0.05,0.3784010410308838,0.06503432503741752,0.12903165817260742,0.36586515794436586,0.9943529411764706,0.6284877832321047
GOIMAI,resnet50,motion_blur,15,0.5794994831085205,0.17454450074593053,0.07941403985023499,0.2215935879302216,0.9943529411764706,0.7727593532462489
GOIMAI,resnet50,zoom_blur,1.2,0.5917797088623047,0.034713320084578225,0.08958125114440918,0.1551155115511551,0.9943529411764706,0.8392374296253154
GOIMAI,resnet50,contrast,0.5,0.032181501388549805,0.0002167517600174529,-0.011910289525985718,0.9957567185289957,0.9943529411764706,-0.0014037773525251707
GOIMAI,resnet50,pixelate,0.25,0.6944403648376465,0.03607171035518553,0.29578346014022827,0.0231023102310231,0.9943529411764706,0.9712506309454475
GOIMAI,resnet50,scratch,severe,0.5366406440734863,0.19312575933784404,0.16485930979251862,0.7241867043847242,0.9943529411764706,0.27016623679174634
GOIMAI,resnet50,rotation,45,0.4502066373825073,0.05745073407171486,0.11259439587593079,0.6341348420556341,0.9943529411764706,0.36021809912083647
GOIMAI,resnet50,compound_optical,severe,0.7821089029312134,0.20911700935600658,0.17240045964717865,0.07873644507307874,0.9943529411764706,0.9156164961033918
GOIMAI,resnet50,compound_digital,severe,0.6580424904823303,0.12204953124913814,0.28177376091480255,0.13861386138613863,0.9943529411764706,0.8557390797903319
GOIMAI,resnet50,compound_field,severe,0.7291185259819031,0.07794738174055171,0.12673497200012207,0.04054691183404055,0.9943529411764706,0.95380602934243
