dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
WOODAUTH,mobilenetv3,gaussian_blur,12,0.8073465824127197,-0.2534212752286338,0.1047372817993164,0.12299964957364794,0.9132516053706947,0.7902519557970468
WOODAUTH,mobilenetv3,compound,severe,0.8370670080184937,0.30110775952932123,0.14798470959067345,0.08456955963088424,0.9132516053706947,0.8286820457398105
WOODAUTH,mobilenetv3,resize,2.0,0.38071414828300476,0.4653969572244683,0.06645499169826508,0.5951407545847448,0.9132516053706947,0.3181108507859499
WOODAUTH,mobilenetv3,defocus_blur,5,0.3962278962135315,0.10533648491407677,0.048235684633255005,0.6014484289218549,0.9132516053706947,0.3118031764488398
WOODAUTH,mobilenetv3,illumination,0.7,0.05167335271835327,0.11764994467434309,0.012137621641159058,0.902698282910875,0.9132516053706947,0.01055332245981977
WOODAUTH,mobilenetv3,jpeg,10,0.42599689960479736,0.26670636390368285,0.05346322059631348,0.39271113187711715,0.9132516053706947,0.5205404734935776
WOODAUTH,mobilenetv3,red_channel_shift,-45,0.21785993874073029,0.2121642607657992,0.022363707423210144,0.7730405326480552,0.9132516053706947,0.14021107272263955
WOODAUTH,mobilenetv3,green_channel_shift,-45,0.37133049964904785,0.33199702373523365,0.044242098927497864,0.638476813456372,0.9132516053706947,0.27477479191432275
WOODAUTH,mobilenetv3,blue_channel_shift,-45,0.19163791835308075,0.1952320435158612,0.025971904397010803,0.6850835182805747,0.9132516053706947,0.22816808709012004
WOODAUTH,mobilenetv3,gaussian_noise,0.1,0.6155989170074463,0.2995527941592715,0.07558019459247589,0.28419577152201847,0.9132516053706947,0.6290558338486762
WOODAUTH,mobilenetv3,shot_noise,15,0.7254314422607422,-0.7373707211188116,0.08873607218265533,0.12930732391075808,0.9132516053706947,0.7839442814599367
WOODAUTH,mobilenetv3,impulse_noise,0.05,0.3551487326622009,-0.037398738786314834,0.05410654842853546,0.45777362457656817,0.9132516053706947,0.45547798079412655
WOODAUTH,mobilenetv3,motion_blur,15,0.48410511016845703,0.4477353835197815,0.06291286647319794,0.35346338044620956,0.9132516053706947,0.5597882249244852
WOODAUTH,mobilenetv3,zoom_blur,1.2,0.7499150037765503,0.014178454369150995,0.06412754952907562,0.31795351010395984,0.9132516053706947,0.5952980952667348
WOODAUTH,mobilenetv3,contrast,0.5,0.1226254403591156,0.09549047335866012,0.016911298036575317,0.8103025347506132,0.9132516053706947,0.10294907062008152
WOODAUTH,mobilenetv3,pixelate,0.25,0.5463032722473145,-0.08314069628254561,0.0867428332567215,0.22929564303235603,0.9132516053706947,0.6839559623383387
WOODAUTH,mobilenetv3,scratch,severe,0.8181800842285156,1.3365568685976772,0.1330956444144249,0.2930732391075809,0.9132516053706947,0.6201783662631138
WOODAUTH,mobilenetv3,rotation,45,0.6051521897315979,0.04196983042975999,0.07776138931512833,0.44994743604719073,0.9132516053706947,0.463304169323504
WOODAUTH,mobilenetv3,compound_optical,severe,0.8128412365913391,-0.47876270530682885,0.08934121578931808,0.1309426468870459,0.9132516053706947,0.7823089584836488
WOODAUTH,mobilenetv3,compound_digital,severe,0.4672401249408722,0.44537309384612866,0.08504172414541245,0.28197640462562784,0.9132516053706947,0.6312752007450668
WOODAUTH,mobilenetv3,compound_field,severe,0.682209849357605,0.48997526245117484,0.11127745360136032,0.14531012732157458,0.9132516053706947,0.7679414780491202
