dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
WOODAUTH,swin_tiny,gaussian_blur,12,0.7950491309165955,-0.4465224121041851,0.041302427649497986,0.21492816259782735,0.9321657910099242,0.7172376284120969
WOODAUTH,swin_tiny,compound,severe,0.8523234128952026,-0.55915109360652,0.10102412849664688,0.12603667795818246,0.9321657910099242,0.8061291130517418
WOODAUTH,swin_tiny,resize,2.0,0.4300747513771057,0.4059659530368911,0.05220380425453186,0.6028501343301016,0.9321657910099242,0.32931565667982265
WOODAUTH,swin_tiny,defocus_blur,5,0.4218350350856781,0.206348700544438,0.04108688235282898,0.538722111902815,0.9321657910099242,0.3934436791071092
WOODAUTH,swin_tiny,illumination,0.7,0.03246670961380005,0.14370465483579542,0.007901012897491455,0.9488377525989955,0.9321657910099242,-0.01667196158907125
WOODAUTH,swin_tiny,jpeg,10,0.7584786415100098,0.3420159021623348,0.032509878277778625,0.3097768952225207,0.9321657910099242,0.6223888957874035
WOODAUTH,swin_tiny,red_channel_shift,-45,0.14285631477832794,0.19360355361067283,0.013359665870666504,0.8954561383016003,0.9321657910099242,0.03670965270832394
WOODAUTH,swin_tiny,green_channel_shift,-45,0.2224418967962265,0.2699000570329113,0.03652292490005493,0.8237355449129774,0.9321657910099242,0.10843024609694685
WOODAUTH,swin_tiny,blue_channel_shift,-45,0.12929627299308777,0.0822913790831008,0.01014430820941925,0.8504847564536853,0.9321657910099242,0.08168103455623899
WOODAUTH,swin_tiny,gaussian_noise,0.1,0.4136732220649719,0.2368287336579522,-0.0031775087118148804,0.5595140754584744,0.9321657910099242,0.3726517155514498
WOODAUTH,swin_tiny,shot_noise,15,0.7594947218894958,0.27834445148999465,0.06539523601531982,0.23081415722462328,0.9321657910099242,0.701351633785301
WOODAUTH,swin_tiny,impulse_noise,0.05,0.4990696310997009,0.8854773071598634,0.12869314849376678,0.426352061675038,0.9321657910099242,0.5058137293348863
WOODAUTH,swin_tiny,motion_blur,15,0.535428524017334,0.6103890147292159,0.06012105941772461,0.43312697114823034,0.9321657910099242,0.4990388198616939
WOODAUTH,swin_tiny,zoom_blur,1.2,0.7763351202011108,0.5544501010113063,0.10263408720493317,0.2806915080014017,0.9321657910099242,0.6514742830085225
WOODAUTH,swin_tiny,contrast,0.5,0.07925987243652344,0.05348629445473163,0.005637839436531067,0.9493049877350777,0.9321657910099242,-0.017139196725153405
WOODAUTH,swin_tiny,pixelate,0.25,0.7691071033477783,-0.6062159884672305,0.11315611749887466,0.1645835766849667,0.9321657910099242,0.7675822143249575
WOODAUTH,swin_tiny,scratch,severe,0.3672170639038086,1.3180718864264616,0.12739557027816772,0.866721177432543,0.9321657910099242,0.0654446135773813
WOODAUTH,swin_tiny,rotation,45,0.5764780640602112,-0.10194628491268687,0.048598065972328186,0.401471790678659,0.9321657910099242,0.5306940003312652
WOODAUTH,swin_tiny,compound_optical,severe,0.7606433629989624,-0.010391012748846018,0.08868376165628433,0.24179418292255578,0.9321657910099242,0.6903716080873685
WOODAUTH,swin_tiny,compound_digital,severe,0.7012268304824829,0.27275711190580254,0.05007323622703552,0.2986800607405677,0.9321657910099242,0.6334857302693566
WOODAUTH,swin_tiny,compound_field,severe,0.7881483435630798,0.8168774737093016,0.12173537909984589,0.17532998481485806,0.9321657910099242,0.7568358061950662
