dataset,backbone,perturbation,severity,feature_drift,delta_fgcs,inter_collapse,accuracy,acc_clean,drop
BFS46,resnet50,gaussian_blur,12,0.7331253290176392,0.0103411702227681,0.150832712650299,0.0499736980536559,0.9805774278215222,0.9306037297678664
BFS46,resnet50,compound,severe,0.7208806872367859,-0.0231483627715236,0.3276457041501999,0.0315623356128353,0.9805774278215222,0.9490150922086869
BFS46,resnet50,resize,2.0,0.2833287417888641,0.0424881616786284,0.012332797050476,0.8311415044713308,0.9805774278215222,0.1494359233501914
BFS46,resnet50,defocus_blur,5,0.490728497505188,0.0384453659320842,0.0314071178436279,0.2945817990531299,0.9805774278215222,0.6859956287683924
BFS46,resnet50,illumination,0.7,0.020888265222311,-0.0003019888776336,0.0001813471317291,0.9915833771699104,0.9805774278215222,-0.0110059493483882
BFS46,resnet50,jpeg,10,0.467701256275177,0.0263883937625043,0.1196232438087463,0.3198316675433982,0.9805774278215222,0.660745760278124
BFS46,resnet50,red_channel_shift,-45,0.1300292611122131,-0.006513435260142,0.0020313262939453,0.900052603892688,0.9805774278215222,0.0805248239288342
BFS46,resnet50,green_channel_shift,-45,0.1407987028360366,-0.0046505787464937,0.0484125912189483,0.8537611783271962,0.9805774278215222,0.126816249494326
BFS46,resnet50,blue_channel_shift,-45,0.0996155589818954,-0.0104926958333833,0.0040464401245117,0.9652814308258812,0.9805774278215222,0.0152959969956411
BFS46,resnet50,gaussian_noise,0.1,0.2429817765951156,-0.002707922274842,0.083090603351593,0.7243556023145713,0.9805774278215222,0.2562218255069509
BFS46,resnet50,shot_noise,15,0.3722197413444519,0.001561041411674,0.114071637392044,0.2993161493950552,0.9805774278215222,0.681261278426467
BFS46,resnet50,impulse_noise,0.05,0.420820415019989,-0.0186733169309448,0.1554428935050964,0.1657022619673855,0.9805774278215222,0.8148751658541367
BFS46,resnet50,motion_blur,15,0.5798628926277161,-0.0195643493309133,-0.0099536776542663,0.1846396633350868,0.9805774278215222,0.7959377644864354
BFS46,resnet50,zoom_blur,1.2,0.5971320271492004,0.0287577103803201,0.1352570354938507,0.2025249868490268,0.9805774278215222,0.7780524409724954
