dataset,backbone,split,perturbation,severity,tag,mean_drift,baseline_clean_acc,baseline_pert_acc,baseline_drop,augmented_clean_acc,augmented_pert_acc,augmented_drop
WRD25,dinov2_b,0,gaussian_blur,2,blur_2,0.12673969566822052,0.9675925925925926,0.875,0.09259259259259256,0.9444444444444444,0.9375,0.00694444444444442
WRD25,dinov2_b,0,gaussian_blur,4,blur_4,0.4277511239051819,0.9675925925925926,0.2824074074074074,0.6851851851851851,0.9444444444444444,0.8541666666666666,0.09027777777777779
WRD25,dinov2_b,0,gaussian_blur,6,blur_6,0.5798331499099731,0.9675925925925926,0.13194444444444445,0.8356481481481481,0.9444444444444444,0.7708333333333334,0.17361111111111105
WRD25,dinov2_b,0,gaussian_blur,8,blur_8,0.6890813112258911,0.9675925925925926,0.09027777777777778,0.8773148148148148,0.9444444444444444,0.7245370370370371,0.21990740740740733
WRD25,dinov2_b,0,gaussian_blur,10,blur_10,0.7565813660621643,0.9675925925925926,0.08564814814814815,0.8819444444444444,0.9444444444444444,0.6597222222222222,0.2847222222222222
WRD25,dinov2_b,0,gaussian_blur,12,blur_12,0.7992412447929382,0.9675925925925926,0.08333333333333333,0.8842592592592592,0.9444444444444444,0.5763888888888888,0.3680555555555556
WRD25,dinov2_b,0,defocus_blur,3,defocus_3,0.16487199068069458,0.9675925925925926,0.8449074074074074,0.12268518518518512,0.9444444444444444,0.9305555555555556,0.01388888888888884
WRD25,dinov2_b,0,defocus_blur,5,defocus_5,0.3111972212791443,0.9675925925925926,0.5092592592592593,0.45833333333333326,0.9444444444444444,0.8888888888888888,0.05555555555555558
WRD25,dinov2_b,0,defocus_blur,8,defocus_8,0.43928852677345276,0.9675925925925926,0.3101851851851852,0.6574074074074074,0.9444444444444444,0.8587962962962963,0.08564814814814814
WRD25,dinov2_b,0,defocus_blur,11,defocus_11,0.5537571310997009,0.9675925925925926,0.18287037037037038,0.7847222222222222,0.9444444444444444,0.8171296296296297,0.12731481481481477
WRD25,dinov2_b,0,defocus_blur,15,defocus_15,0.6508895754814148,0.9675925925925926,0.14351851851851852,0.8240740740740741,0.9444444444444444,0.7361111111111112,0.20833333333333326
WRD25,dinov2_b,0,resize,1.33,resize_1_33,0.09079981595277786,0.9675925925925926,0.9282407407407407,0.03935185185185186,0.9444444444444444,0.9212962962962963,0.02314814814814814
WRD25,dinov2_b,0,resize,1.67,resize_1_67,0.1523667275905609,0.9675925925925926,0.8333333333333334,0.1342592592592592,0.9444444444444444,0.875,0.06944444444444442
WRD25,dinov2_b,0,resize,2.0,resize_2_0,0.19869698584079742,0.9675925925925926,0.7546296296296297,0.2129629629629629,0.9444444444444444,0.8518518518518519,0.09259259259259256
WRD25,dinov2_b,0,illumination,0.7,brightness_0_7,0.0027672145515680313,0.9675925925925926,0.9629629629629629,0.00462962962962965,0.9444444444444444,0.9467592592592593,-0.0023148148148148806
WRD25,dinov2_b,0,illumination,0.85,brightness_0_85,0.0006514668930321932,0.9675925925925926,0.9675925925925926,0.0,0.9444444444444444,0.9444444444444444,0.0
WRD25,dinov2_b,0,illumination,1.15,brightness_1_15,0.0012472673552110791,0.9675925925925926,0.9675925925925926,0.0,0.9444444444444444,0.9467592592592593,-0.0023148148148148806
WRD25,dinov2_b,0,illumination,1.3,brightness_1_3,0.004934826400130987,0.9675925925925926,0.9652777777777778,0.0023148148148147696,0.9444444444444444,0.9490740740740741,-0.00462962962962965
WRD25,dinov2_b,0,jpeg,10,jpeg_10,0.26851198077201843,0.9675925925925926,0.49537037037037035,0.4722222222222222,0.9444444444444444,0.8981481481481481,0.04629629629629628
WRD25,dinov2_b,0,jpeg,20,jpeg_20,0.15669278800487518,0.9675925925925926,0.7685185185185185,0.19907407407407407,0.9444444444444444,0.9444444444444444,0.0
WRD25,dinov2_b,0,jpeg,30,jpeg_30,0.10928794741630554,0.9675925925925926,0.9074074074074074,0.06018518518518512,0.9444444444444444,0.9398148148148148,0.00462962962962965
WRD25,dinov2_b,0,jpeg,50,jpeg_50,0.06826982647180557,0.9675925925925926,0.9282407407407407,0.03935185185185186,0.9444444444444444,0.9351851851851852,0.00925925925925919
WRD25,dinov2_b,0,jpeg,70,jpeg_70,0.04305896908044815,0.9675925925925926,0.9675925925925926,0.0,0.9444444444444444,0.9467592592592593,-0.0023148148148148806
WRD25,dinov2_b,0,red_channel_shift,-45,color_shift_-45,0.06764582544565201,0.9675925925925926,0.9259259259259259,0.04166666666666663,0.9444444444444444,0.9444444444444444,0.0
WRD25,dinov2_b,0,red_channel_shift,-30,color_shift_-30,0.04534723237156868,0.9675925925925926,0.9513888888888888,0.01620370370370372,0.9444444444444444,0.9490740740740741,-0.00462962962962965
WRD25,dinov2_b,0,red_channel_shift,30,color_shift_30,0.03135539963841438,0.9675925925925926,0.9282407407407407,0.03935185185185186,0.9444444444444444,0.9351851851851852,0.00925925925925919
WRD25,dinov2_b,0,red_channel_shift,45,color_shift_45,0.046501319855451584,0.9675925925925926,0.9143518518518519,0.0532407407407407,0.9444444444444444,0.9212962962962963,0.02314814814814814
WRD25,dinov2_b,0,green_channel_shift,-45,green_channel_shift_-45,0.0715770348906517,0.9675925925925926,0.8912037037037037,0.07638888888888884,0.9444444444444444,0.9282407407407407,0.01620370370370372
WRD25,dinov2_b,0,green_channel_shift,-30,green_channel_shift_-30,0.048358943313360214,0.9675925925925926,0.9189814814814815,0.04861111111111105,0.9444444444444444,0.9467592592592593,-0.0023148148148148806
WRD25,dinov2_b,0,green_channel_shift,30,green_channel_shift_30,0.07236547023057938,0.9675925925925926,0.9166666666666666,0.05092592592592593,0.9444444444444444,0.9490740740740741,-0.00462962962962965
WRD25,dinov2_b,0,green_channel_shift,45,green_channel_shift_45,0.10661249607801437,0.9675925925925926,0.8726851851851852,0.09490740740740733,0.9444444444444444,0.9444444444444444,0.0
WRD25,dinov2_b,0,blue_channel_shift,-45,blue_channel_shift_-45,0.04085278511047363,0.9675925925925926,0.9398148148148148,0.02777777777777779,0.9444444444444444,0.9467592592592593,-0.0023148148148148806
WRD25,dinov2_b,0,blue_channel_shift,-30,blue_channel_shift_-30,0.023086583241820335,0.9675925925925926,0.9467592592592593,0.02083333333333326,0.9444444444444444,0.9490740740740741,-0.00462962962962965
WRD25,dinov2_b,0,blue_channel_shift,30,blue_channel_shift_30,0.03075198270380497,0.9675925925925926,0.9583333333333334,0.00925925925925919,0.9444444444444444,0.9560185185185185,-0.01157407407407407
WRD25,dinov2_b,0,blue_channel_shift,45,blue_channel_shift_45,0.05820147693157196,0.9675925925925926,0.9421296296296297,0.02546296296296291,0.9444444444444444,0.9560185185185185,-0.01157407407407407
WRD25,dinov2_b,0,gaussian_noise,0.02,gaussian_noise_0_02,0.04014836996793747,0.9675925925925926,0.9583333333333334,0.00925925925925919,0.9444444444444444,0.9467592592592593,-0.0023148148148148806
WRD25,dinov2_b,0,gaussian_noise,0.05,gaussian_noise_0_05,0.10897155851125717,0.9675925925925926,0.8819444444444444,0.08564814814814814,0.9444444444444444,0.9398148148148148,0.00462962962962965
WRD25,dinov2_b,0,gaussian_noise,0.1,gaussian_noise_0_1,0.21791864931583405,0.9675925925925926,0.6944444444444444,0.27314814814814814,0.9444444444444444,0.9259259259259259,0.01851851851851849
WRD25,dinov2_b,0,shot_noise,60,shot_noise_60,0.18084211647510529,0.9675925925925926,0.7638888888888888,0.20370370370370372,0.9444444444444444,0.9282407407407407,0.01620370370370372
WRD25,dinov2_b,0,shot_noise,30,shot_noise_30,0.25971585512161255,0.9675925925925926,0.6504629629629629,0.31712962962962965,0.9444444444444444,0.9027777777777778,0.04166666666666663
WRD25,dinov2_b,0,shot_noise,15,shot_noise_15,0.3758254647254944,0.9675925925925926,0.4212962962962963,0.5462962962962963,0.9444444444444444,0.8541666666666666,0.09027777777777779
WRD25,dinov2_b,0,impulse_noise,0.01,impulse_noise_0_01,0.1914820522069931,0.9675925925925926,0.7754629629629629,0.19212962962962965,0.9444444444444444,0.9282407407407407,0.01620370370370372
WRD25,dinov2_b,0,impulse_noise,0.03,impulse_noise_0_03,0.29663893580436707,0.9675925925925926,0.5532407407407407,0.41435185185185186,0.9444444444444444,0.8888888888888888,0.05555555555555558
WRD25,dinov2_b,0,impulse_noise,0.05,impulse_noise_0_05,0.35661253333091736,0.9675925925925926,0.38425925925925924,0.5833333333333333,0.9444444444444444,0.8634259259259259,0.08101851851851849
WRD25,dinov2_b,0,motion_blur,5,motion_blur_5,0.08711910992860794,0.9675925925925926,0.9212962962962963,0.04629629629629628,0.9444444444444444,0.9398148148148148,0.00462962962962965
WRD25,dinov2_b,0,motion_blur,9,motion_blur_9,0.21350863575935364,0.9675925925925926,0.7037037037037037,0.26388888888888884,0.9444444444444444,0.8888888888888888,0.05555555555555558
WRD25,dinov2_b,0,motion_blur,15,motion_blur_15,0.3870302140712738,0.9675925925925926,0.3263888888888889,0.6412037037037037,0.9444444444444444,0.8402777777777778,0.10416666666666663
WRD25,dinov2_b,0,zoom_blur,1.05,zoom_blur_1_05,0.2663974165916443,0.9675925925925926,0.6157407407407407,0.35185185185185186,0.9444444444444444,0.8981481481481481,0.04629629629629628
WRD25,dinov2_b,0,zoom_blur,1.1,zoom_blur_1_1,0.47808414697647095,0.9675925925925926,0.21296296296296297,0.7546296296296295,0.9444444444444444,0.8425925925925926,0.10185185185185186
WRD25,dinov2_b,0,zoom_blur,1.2,zoom_blur_1_2,0.6171604990959167,0.9675925925925926,0.15046296296296297,0.8171296296296295,0.9444444444444444,0.7129629629629629,0.2314814814814815
WRD25,dinov2_b,0,contrast,0.5,contrast_0_5,0.02124081552028656,0.9675925925925926,0.9490740740740741,0.01851851851851849,0.9444444444444444,0.9444444444444444,0.0
WRD25,dinov2_b,0,contrast,0.75,contrast_0_75,0.0038081672973930836,0.9675925925925926,0.9675925925925926,0.0,0.9444444444444444,0.9467592592592593,-0.0023148148148148806
WRD25,dinov2_b,0,contrast,1.25,contrast_1_25,0.0033157910220324993,0.9675925925925926,0.9560185185185185,0.01157407407407407,0.9444444444444444,0.9490740740740741,-0.00462962962962965
WRD25,dinov2_b,0,contrast,1.5,contrast_1_5,0.011307714506983757,0.9675925925925926,0.9537037037037037,0.01388888888888884,0.9444444444444444,0.9513888888888888,-0.00694444444444442
WRD25,dinov2_b,0,pixelate,0.5,pixelate_0_5,0.12759245932102203,0.9675925925925926,0.8773148148148148,0.09027777777777779,0.9444444444444444,0.9305555555555556,0.01388888888888884
WRD25,dinov2_b,0,pixelate,0.33,pixelate_0_33,0.26101505756378174,0.9675925925925926,0.6018518518518519,0.3657407407407407,0.9444444444444444,0.8726851851851852,0.07175925925925919
WRD25,dinov2_b,0,pixelate,0.25,pixelate_0_25,0.3664394021034241,0.9675925925925926,0.3472222222222222,0.6203703703703703,0.9444444444444444,0.8194444444444444,0.125
WRD25,dinov2_b,0,scratch,mild,scratch_mild,0.14859826862812042,0.9675925925925926,0.8310185185185185,0.13657407407407407,0.9444444444444444,0.9074074074074074,0.03703703703703698
WRD25,dinov2_b,0,scratch,moderate,scratch_moderate,0.17971529066562653,0.9675925925925926,0.75,0.21759259259259256,0.9444444444444444,0.9097222222222222,0.03472222222222221
WRD25,dinov2_b,0,scratch,severe,scratch_severe,0.1992134153842926,0.9675925925925926,0.6875,0.28009259259259256,0.9444444444444444,0.9189814814814815,0.02546296296296291
WRD25,dinov2_b,0,rotation,45,rotation_45,0.2527451813220978,0.9675925925925926,0.5578703703703703,0.4097222222222222,0.9444444444444444,0.8796296296296297,0.06481481481481477
WRD25,dinov2_b,0,rotation,90,rotation_90,0.09151381254196167,0.9675925925925926,0.8865740740740741,0.08101851851851849,0.9444444444444444,0.9305555555555556,0.01388888888888884
WRD25,dinov2_b,0,rotation,135,rotation_135,0.265680730342865,0.9675925925925926,0.5300925925925926,0.4375,0.9444444444444444,0.9027777777777778,0.04166666666666663
WRD25,dinov2_b,0,rotation,180,rotation_180,0.06623324751853943,0.9675925925925926,0.9282407407407407,0.03935185185185186,0.9444444444444444,0.9305555555555556,0.01388888888888884
WRD25,dinov2_b,0,compound,mild,compound_mild,0.5498883128166199,0.9675925925925926,0.17824074074074073,0.7893518518518519,0.9444444444444444,0.7893518518518519,0.15509259259259256
WRD25,dinov2_b,0,compound,moderate,compound_moderate,0.7816388010978699,0.9675925925925926,0.046296296296296294,0.9212962962962963,0.9444444444444444,0.5023148148148148,0.44212962962962965
WRD25,dinov2_b,0,compound,severe,compound_severe,0.8388106822967529,0.9675925925925926,0.07175925925925926,0.8958333333333333,0.9444444444444444,0.35185185185185186,0.5925925925925926
WRD25,dinov2_b,0,compound_optical,mild,compound_optical_mild,0.18488675355911255,0.9675925925925926,0.7893518518518519,0.1782407407407407,0.9444444444444444,0.9236111111111112,0.02083333333333326
WRD25,dinov2_b,0,compound_optical,moderate,compound_optical_moderate,0.49721723794937134,0.9675925925925926,0.19212962962962962,0.7754629629629629,0.9444444444444444,0.7824074074074074,0.16203703703703698
WRD25,dinov2_b,0,compound_optical,severe,compound_optical_severe,0.7132506370544434,0.9675925925925926,0.09027777777777778,0.8773148148148148,0.9444444444444444,0.6689814814814815,0.2754629629629629
WRD25,dinov2_b,0,compound_digital,mild,compound_digital_mild,0.13983765244483948,0.9675925925925926,0.8333333333333334,0.1342592592592592,0.9444444444444444,0.9467592592592593,-0.0023148148148148806
WRD25,dinov2_b,0,compound_digital,moderate,compound_digital_moderate,0.340493381023407,0.9675925925925926,0.37037037037037035,0.5972222222222222,0.9444444444444444,0.8402777777777778,0.10416666666666663
WRD25,dinov2_b,0,compound_digital,severe,compound_digital_severe,0.44627127051353455,0.9675925925925926,0.26157407407407407,0.7060185185185185,0.9444444444444444,0.7962962962962963,0.14814814814814814
WRD25,dinov2_b,0,compound_field,mild,compound_field_mild,0.2988561689853668,0.9675925925925926,0.48148148148148145,0.4861111111111111,0.9444444444444444,0.8888888888888888,0.05555555555555558
WRD25,dinov2_b,0,compound_field,moderate,compound_field_moderate,0.4973171353340149,0.9675925925925926,0.14814814814814814,0.8194444444444444,0.9444444444444444,0.7916666666666666,0.1527777777777778
WRD25,dinov2_b,0,compound_field,severe,compound_field_severe,0.6780238151550293,0.9675925925925926,0.10416666666666667,0.8634259259259259,0.9444444444444444,0.6134259259259259,0.3310185185185185
WRD25,dinov2_b,1,gaussian_blur,2,blur_2,0.12793196737766266,0.9606481481481481,0.8958333333333334,0.06481481481481477,0.9467592592592593,0.9351851851851852,0.01157407407407407
WRD25,dinov2_b,1,gaussian_blur,4,blur_4,0.43328291177749634,0.9606481481481481,0.2708333333333333,0.6898148148148149,0.9467592592592593,0.8472222222222222,0.09953703703703709
WRD25,dinov2_b,1,gaussian_blur,6,blur_6,0.5913914442062378,0.9606481481481481,0.12731481481481483,0.8333333333333333,0.9467592592592593,0.7685185185185185,0.1782407407407408
WRD25,dinov2_b,1,gaussian_blur,8,blur_8,0.6968321204185486,0.9606481481481481,0.10648148148148148,0.8541666666666666,0.9467592592592593,0.7175925925925926,0.22916666666666674
WRD25,dinov2_b,1,gaussian_blur,10,blur_10,0.7558610439300537,0.9606481481481481,0.08796296296296297,0.8726851851851851,0.9467592592592593,0.6527777777777778,0.2939814814814815
WRD25,dinov2_b,1,gaussian_blur,12,blur_12,0.7932320833206177,0.9606481481481481,0.05787037037037037,0.9027777777777778,0.9467592592592593,0.5648148148148148,0.38194444444444453
WRD25,dinov2_b,1,defocus_blur,3,defocus_3,0.16345176100730896,0.9606481481481481,0.8402777777777778,0.12037037037037035,0.9467592592592593,0.9305555555555556,0.01620370370370372
WRD25,dinov2_b,1,defocus_blur,5,defocus_5,0.3130953013896942,0.9606481481481481,0.5115740740740741,0.44907407407407407,0.9467592592592593,0.8888888888888888,0.05787037037037046
WRD25,dinov2_b,1,defocus_blur,8,defocus_8,0.4449751079082489,0.9606481481481481,0.24305555555555555,0.7175925925925926,0.9467592592592593,0.8680555555555556,0.07870370370370372
