backbone,metric,point,ci_lo,ci_hi,n,bootstrap_B,clean_acc,pert_acc,drop
convnext_tiny,acc_clean,0.9387512150496331,0.9366867198461657,0.9409875284882251,228,1000,0.9387512150496331,0.6671858223432608,0.27156539270637226
convnext_tiny,accuracy,0.667185822343261,0.6309124312948805,0.7043299437527313,228,1000,0.9387512150496331,0.6671858223432608,0.27156539270637226
convnext_tiny,drop,0.2715653927063723,0.23545268346832654,0.30976177124540183,228,1000,0.9387512150496331,0.6671858223432608,0.27156539270637226
dinov2_b,acc_clean,0.9384750400564921,0.9359669228692691,0.9408392642280171,228,1000,0.9384750400564922,0.7359423783463288,0.2025326617101634
dinov2_b,accuracy,0.7359423783463288,0.7016890105557092,0.7678565875691993,228,1000,0.9384750400564922,0.7359423783463288,0.2025326617101634
dinov2_b,drop,0.20253266171016343,0.17162595760447852,0.23407068692491398,228,1000,0.9384750400564922,0.7359423783463288,0.2025326617101634
efficientnet_b3,acc_clean,0.9312835164966342,0.9279759049507255,0.9343782808303366,228,1000,0.9312835164966344,0.7075474103912248,0.22373610610540953
efficientnet_b3,accuracy,0.707547410391225,0.6731025510836438,0.7415196100722206,228,1000,0.9312835164966344,0.7075474103912248,0.22373610610540953
efficientnet_b3,drop,0.22373610610540953,0.189799627564413,0.2560253372117055,228,1000,0.9312835164966344,0.7075474103912248,0.22373610610540953
hrnet32,acc_clean,0.9563863713223912,0.9543490168189221,0.9586300308454768,228,1000,0.9563863713223913,0.6838753002521009,0.2725110710702905
hrnet32,accuracy,0.6838753002521009,0.6465954018184946,0.7188937312444219,228,1000,0.9563863713223913,0.6838753002521009,0.2725110710702905
hrnet32,drop,0.27251107107029054,0.23517958668418318,0.3090423718539209,228,1000,0.9563863713223913,0.6838753002521009,0.2725110710702905
mobilenetv3,acc_clean,0.9417318488173642,0.9387906959255473,0.9446854277461116,228,1000,0.9417318488173643,0.6652985732577741,0.2764332755595901
mobilenetv3,accuracy,0.6652985732577741,0.6284239614418465,0.7025798689494509,228,1000,0.9417318488173643,0.6652985732577741,0.2764332755595901
mobilenetv3,drop,0.27643327555959013,0.2357431325124901,0.315811499393001,228,1000,0.9417318488173643,0.6652985732577741,0.2764332755595901
resnet50,acc_clean,0.9351336978327318,0.9316407975380226,0.9386737552785684,228,1000,0.9351336978327317,0.6376719243957133,0.2974617734370184
resnet50,accuracy,0.6376719243957133,0.5998125075543402,0.6723899535771953,228,1000,0.9351336978327317,0.6376719243957133,0.2974617734370184
resnet50,drop,0.2974617734370184,0.26185628920802734,0.33834520431403536,228,1000,0.9351336978327317,0.6376719243957133,0.2974617734370184
swin_tiny,acc_clean,0.9508590230860158,0.9480051693894577,0.9537760946399545,228,1000,0.950859023086016,0.6990627906919968,0.2517962323940192
swin_tiny,accuracy,0.6990627906919968,0.6618436233493529,0.7374254097228723,228,1000,0.950859023086016,0.6990627906919968,0.2517962323940192
swin_tiny,drop,0.2517962323940192,0.21276304406347785,0.2907273590556315,228,1000,0.950859023086016,0.6990627906919968,0.2517962323940192
