detector,metric,point,ci_lo,ci_hi,n,bootstrap_B
ref_mmd_rbf,roc_auc,0.9684888343592984,0.9640562840085652,0.9727340035732137,4256,1000
ref_mmd_rbf,avg_precision,0.9672775378632006,0.9620857304861471,0.9722690101538506,4256,1000
ref_mmd_rbf,best_f1,0.9088043233500969,0.9016724075016839,0.9180779126315886,4256,1000
ref_centroid_cosine,roc_auc,0.9591678757962634,0.9538924875613654,0.9643119380566157,4256,1000
ref_centroid_cosine,avg_precision,0.9579465870519,0.9513354517578272,0.9638832635067749,4256,1000
ref_centroid_cosine,best_f1,0.897268006321469,0.8889883566833892,0.907170386877218,4256,1000
ref_knn1_dist,roc_auc,0.958439415260729,0.9533821996205346,0.9632977761274865,4256,1000
ref_knn1_dist,avg_precision,0.9574555516008085,0.9513048190508553,0.9634753443013867,4256,1000
ref_knn1_dist,best_f1,0.8921674983722505,0.8839975346280331,0.9019562756210822,4256,1000
ref_knn5_dist,roc_auc,0.9415645175865662,0.9349175164980331,0.9484577532249809,4256,1000
ref_knn5_dist,avg_precision,0.9446252350680004,0.9370994110616534,0.9517859161997283,4256,1000
ref_knn5_dist,best_f1,0.8715058611356588,0.862160647803422,0.8831216629219859,4256,1000
ref_mahalanobis_delta,roc_auc,0.9158907578751401,0.9080170001902426,0.9236860921393117,4256,1000
ref_mahalanobis_delta,avg_precision,0.9105880401978628,0.8999164365985288,0.9203067703926028,4256,1000
ref_mahalanobis_delta,best_f1,0.8501635768806354,0.84033806890036,0.8614590552633509,4256,1000
ref_mahalanobis,roc_auc,0.9150736978022233,0.9071058396841644,0.9231441305511773,4256,1000
ref_mahalanobis,avg_precision,0.9114094352015358,0.9011279904189496,0.921327469051338,4256,1000
ref_mahalanobis,best_f1,0.8505054850500505,0.8397808764989975,0.860909401053372,4256,1000
paired_feature_drift_oracle,roc_auc,0.9762597429110981,0.9725492109619384,0.9794499822205784,4256,1000
paired_feature_drift_oracle,avg_precision,0.9772189502123951,0.9733463484381425,0.980650337160959,4256,1000
paired_feature_drift_oracle,best_f1,0.9194982896232172,0.9114509879627833,0.9278682957199587,4256,1000
