perturbation,metric,point,ci_lo,ci_hi,n,bootstrap_B,accuracy,drop
blue_channel_shift,accuracy,0.9508129377315291,0.9456682488807884,0.9552426869223626,84,1000,0.950812937731529,-0.009009978779919908
blue_channel_shift,drop,-0.00900997877991991,-0.012675509120511184,-0.005040866199675925,84,1000,0.950812937731529,-0.009009978779919908
compound,accuracy,0.2186532463993881,0.18290544034217793,0.25698486284096206,63,1000,0.2186532463993881,0.7231497125522209
compound,drop,0.7231497125522207,0.6849022139948691,0.7576972691009525,63,1000,0.2186532463993881,0.7231497125522209
compound_digital,accuracy,0.5436858818586935,0.48287856231574006,0.6015089253778279,63,1000,0.5436858818586935,0.3981170770929155
compound_digital,drop,0.39811707709291555,0.3370891524752848,0.45881430204991674,63,1000,0.5436858818586935,0.3981170770929155
compound_field,accuracy,0.4766272104611167,0.4244023205398512,0.5278817639138632,63,1000,0.4766272104611166,0.46517574849049237
compound_field,drop,0.46517574849049237,0.4175795767353099,0.515336165832333,63,1000,0.4766272104611166,0.46517574849049237
compound_optical,accuracy,0.4476181719145589,0.38833940557154556,0.5118955485645169,63,1000,0.4476181719145588,0.49418478703705015
compound_optical,drop,0.4941847870370501,0.4284481477865676,0.5555780404493783,63,1000,0.4476181719145588,0.49418478703705015
contrast,accuracy,0.9589872309930533,0.9540475472092904,0.9633048900075748,84,1000,0.9589872309930533,-0.017184272041444182
contrast,drop,-0.017184272041444182,-0.021653965027583363,-0.012427114265255345,84,1000,0.9589872309930533,-0.017184272041444182
defocus_blur,accuracy,0.49413189135008506,0.45140227323544263,0.5394611017574428,105,1000,0.49413189135008506,0.4476710676015239
defocus_blur,drop,0.4476710676015239,0.39963658476177794,0.494654806478092,105,1000,0.49413189135008506,0.4476710676015239
gaussian_blur,accuracy,0.35718192648099223,0.3173768554313474,0.40118428343837464,126,1000,0.35718192648099234,0.5846210324706167
gaussian_blur,drop,0.5846210324706167,0.5417068642997461,0.6272496063551454,126,1000,0.35718192648099234,0.5846210324706167
gaussian_noise,accuracy,0.8017229313465274,0.7618978179178015,0.8405727623535204,63,1000,0.8017229313465275,0.14008002760508148
gaussian_noise,drop,0.14008002760508154,0.10202369558401295,0.1804445918736995,63,1000,0.8017229313465275,0.14008002760508148
green_channel_shift,accuracy,0.9250240061569467,0.9183836909286222,0.9319653048792839,84,1000,0.9250240061569469,0.016778952794662197
green_channel_shift,drop,0.016778952794662197,0.010328057335819355,0.02379871412936453,84,1000,0.9250240061569469,0.016778952794662197
illumination,accuracy,0.9644555182511584,0.9614748981638019,0.9672420460406472,84,1000,0.9644555182511584,-0.022652559299549364
illumination,drop,-0.022652559299549364,-0.025904536783966033,-0.01923976052645908,84,1000,0.9644555182511584,-0.022652559299549364
impulse_noise,accuracy,0.647822624465851,0.5954752818753081,0.7005027035538754,63,1000,0.6478226244658509,0.29398033448575805
impulse_noise,drop,0.29398033448575817,0.23705533681871813,0.3492222240777769,63,1000,0.6478226244658509,0.29398033448575805
jpeg,accuracy,0.8429952633116272,0.8162625868278341,0.8686541145969412,105,1000,0.8429952633116271,0.09880769563998185
jpeg,drop,0.09880769563998183,0.07423239204605167,0.12615255290768054,105,1000,0.8429952633116271,0.09880769563998185
motion_blur,accuracy,0.7370156288692955,0.6948248185335046,0.7833538403456874,63,1000,0.7370156288692954,0.20478733008231353
motion_blur,drop,0.2047873300823135,0.160555749852185,0.24752532958582732,63,1000,0.7370156288692954,0.20478733008231353
pixelate,accuracy,0.4596309429714171,0.3995688833972463,0.5169346235166034,63,1000,0.4596309429714172,0.4821720159801918
pixelate,drop,0.4821720159801917,0.4178350600321018,0.5436676086853556,63,1000,0.4596309429714172,0.4821720159801918
red_channel_shift,accuracy,0.9447614051415737,0.9410428876891371,0.9486326935985402,84,1000,0.9447614051415736,-0.0029584461899645606
red_channel_shift,drop,-0.0029584461899645606,-0.0073333747098726105,0.0018872930198956853,84,1000,0.9447614051415736,-0.0029584461899645606
resize,accuracy,0.831662561350366,0.8065913257105929,0.8553555960290061,63,1000,0.831662561350366,0.11014039760124301
resize,drop,0.11014039760124301,0.08425119831682833,0.1343716013979214,63,1000,0.831662561350366,0.11014039760124301
rotation,accuracy,0.784611702937944,0.7485597896208149,0.8238154290459784,84,1000,0.7846117029379442,0.1571912560136648
rotation,drop,0.1571912560136648,0.12167148997653406,0.19770272947894257,84,1000,0.7846117029379442,0.1571912560136648
scratch,accuracy,0.7622067364166574,0.7144019142702899,0.8070374210480479,63,1000,0.7622067364166574,0.17959622253495164
scratch,drop,0.17959622253495164,0.13154816534673835,0.22681003011959236,63,1000,0.7622067364166574,0.17959622253495164
shot_noise,accuracy,0.5529664737858586,0.4988382151349049,0.6027179057214846,63,1000,0.5529664737858586,0.3888364851657503
shot_noise,drop,0.38883648516575037,0.33770725191532847,0.44371198208386686,63,1000,0.5529664737858586,0.3888364851657503
zoom_blur,accuracy,0.565008038553366,0.5157215937218252,0.6174196983809933,63,1000,0.5650080385533659,0.3767949203982431
zoom_blur,drop,0.3767949203982431,0.32883412787877847,0.4226778224696223,63,1000,0.5650080385533659,0.3767949203982431
