dataset,backbone,class,image,condition,perturbation,severity,sgi,csi,feature_drift,cam_entropy,delta_entropy,cam_js_distance,cam_js_divergence
WRD25,efficientnet_b3,0,5-Cassia_siamea080.jpg,blur_10,gaussian_blur,10,0.0002166748046875,0.3756397885817145,0.1130074858665466,1.5266746011590824,-0.0516654481477563,0.0982199981808662,0.0096471680426493
WRD25,efficientnet_b3,0,01201.jpg,blur_10,gaussian_blur,10,0.0009323120117187,0.2882687642365675,0.2119382619857788,1.5574694944982397,0.1321530010087237,0.149172231554985,0.022252354667094
WRD25,efficientnet_b3,0,5-Cassia_siamea097.jpg,blur_10,gaussian_blur,10,0.0002655029296875,0.6270809596127817,0.1045866012573242,1.4650393084290316,-0.1197714003795789,0.148207426071167,0.0219654411426404
WRD25,efficientnet_b3,0,5-Cassia_siamea038.jpg,blur_10,gaussian_blur,10,0.0003166198730468,0.3733358690641601,0.1004261970520019,1.4561294101055695,-0.0443131748195919,0.0745294466614723,0.0055546384196652
WRD25,efficientnet_b3,0,5-Cassia_siamea010.jpg,blur_10,gaussian_blur,10,0.0003181457519531,0.2299374023450363,0.1122235059738159,1.41750608957401,-0.127989820982654,0.2523523867130279,0.0636817270797616
WRD25,efficientnet_b3,0,5-Cassia_siamea095.jpg,blur_10,gaussian_blur,10,0.0002830505371093,0.6617445158275546,0.1026867032051086,1.5017328196573707,-0.0831329777088958,0.1152288839221,0.0132776956899328
WRD25,efficientnet_b3,0,20180108110717.jpg,blur_10,gaussian_blur,10,0.0002784729003906,0.4787506864799533,0.1592851877212524,1.5653288811791757,0.1753289994099178,0.2273164242506027,0.05167275673408
WRD25,efficientnet_b3,0,01105.jpg,blur_10,gaussian_blur,10,0.0006622314453125,0.288012434807904,0.2255632281303405,1.554399796907497,0.4220301606436045,0.3719509243965149,0.1383474901594219
WRD25,efficientnet_b3,0,5-Cassia_siamea054.jpg,blur_10,gaussian_blur,10,0.0002388000488281,0.1745634986906352,0.1107077002525329,1.4499709750292795,-0.0972183069669248,0.1968937665224075,0.0387671552953803
WRD25,efficientnet_b3,0,5-Cassia_siamea053.jpg,blur_10,gaussian_blur,10,0.000323486328125,0.3876738933813919,0.1062285900115966,1.473368659721362,0.001911976779841,0.0663570016622543,0.0044032516696044
WRD25,efficientnet_b3,1,20180115180251.jpg,blur_10,gaussian_blur,10,0.0004844665527343,0.4797566041074508,0.1019938588142395,1.5603730754809586,0.1836129711770047,0.2276715785264969,0.0518343476687468
WRD25,efficientnet_b3,1,WIN_20171014_15_52_23_Pro.jpg,blur_10,gaussian_blur,10,0.0005317687988281,0.3418161840735852,0.2136622667312622,1.5621862523839898,0.426249144049198,0.3589848279953003,0.1288701067308153
WRD25,efficientnet_b3,1,20180115180049.jpg,blur_10,gaussian_blur,10,0.0006721496582031,0.3018036814822724,0.0913051962852478,1.5322379021660744,0.0547661785163502,0.1132175251841545,0.0128182080088246
WRD25,efficientnet_b3,1,20180115180322.jpg,blur_10,gaussian_blur,10,0.0005661010742187,0.4674240203841893,0.0941500663757324,1.5802575365084848,0.142295880313223,0.1894352287054062,0.0358857058746695
WRD25,efficientnet_b3,1,20180115175948.jpg,blur_10,gaussian_blur,10,0.0006752014160156,0.4425670921043395,0.0946453213691711,1.5658205697007048,0.1559899233501214,0.2164653241634369,0.0468572365651818
WRD25,efficientnet_b3,1,20180115180217.jpg,blur_10,gaussian_blur,10,0.0005393981933593,0.453622062735649,0.1026008129119873,1.5747361075310682,0.2499540875483998,0.2530269026756286,0.064022613477622
WRD25,efficientnet_b3,1,WIN_20171014_15_51_07_Pro.jpg,blur_10,gaussian_blur,10,0.000347900390625,0.1511613468257589,0.2272136211395263,1.5554298105588364,0.3353080364518843,0.3383865356445312,0.1145054475055076
WRD25,efficientnet_b3,1,20180115175936.jpg,blur_10,gaussian_blur,10,0.0006484985351562,0.3968889232296229,0.121512770652771,1.5307836263733838,0.1591064276187954,0.2875830829143524,0.0827040295785233
WRD25,efficientnet_b3,1,WIN_20171014_15_50_38_Pro.jpg,blur_10,gaussian_blur,10,0.0004165649414062,0.4009860344975275,0.219191312789917,1.5808711698741569,0.338476672039711,0.2841454148292541,0.0807386167684889
WRD25,efficientnet_b3,1,20180115180055.jpg,blur_10,gaussian_blur,10,0.0005294799804687,0.4241945013770383,0.092564582824707,1.5210532652363369,0.1165237326406103,0.2771019637584686,0.0767854983187996
WRD25,efficientnet_b3,2,95b53916-d122-11e8-a233-b8ca3af93c9a.jpg,blur_10,gaussian_blur,10,0.0006156921386718,0.4620704897955268,0.0914269685745239,1.5652318788131994,0.1817518547361856,0.2512647211551666,0.0631339600971836
WRD25,efficientnet_b3,2,20180108105744.jpg,blur_10,gaussian_blur,10,0.0010673522949218,0.3074422543512881,0.1311725378036499,1.4793161534538304,-0.0901634014881715,0.0900780782103538,0.0081140601740706
WRD25,efficientnet_b3,2,196cd24c-d122-11e8-83e7-b8ca3af93c9a.jpg,blur_10,gaussian_blur,10,0.0006401062011718,0.5153678258482096,0.112341284751892,1.5839685602817264,0.1277358761092295,0.144852802157402,0.0209823342928514
WRD25,efficientnet_b3,2,20180108105833.jpg,blur_10,gaussian_blur,10,0.0009025573730468,0.4049475520314097,0.1716197729110717,1.4801435623567651,0.3572293635516268,0.1850154399871826,0.0342307130336507
WRD25,efficientnet_b3,2,88cc1c38-d122-11e8-989d-b8ca3af93c9a.jpg,blur_10,gaussian_blur,10,0.0006805419921875,0.4997997100858235,0.0976456403732299,1.5737574139294197,0.1845080637394087,0.1501323133707046,0.0225397115180394
WRD25,efficientnet_b3,2,c43e2f18-d122-11e8-ad2a-b8ca3af93c9a.jpg,blur_10,gaussian_blur,10,0.0005867004394531,0.4818235125397035,0.1015670895576477,1.5801215329262828,0.1783419252842042,0.2144755274057388,0.0459997518559698
WRD25,efficientnet_b3,2,85819dbe-d122-11e8-8aa4-b8ca3af93c9a.jpg,blur_10,gaussian_blur,10,0.0007438659667968,0.5032413097918523,0.0962654948234558,1.5810821177083647,0.1805176014775991,0.1685449481010437,0.0284073995303835
WRD25,efficientnet_b3,2,WIN_20171029_13_36_00_Pro.jpg,blur_10,gaussian_blur,10,0.0010772705078125,0.3303930732844065,0.1572123169898986,1.5558438751608257,0.0502438150634816,0.0536938905715942,0.0028830338847143
WRD25,efficientnet_b3,2,WIN_20171029_13_34_41_Pro.jpg,blur_10,gaussian_blur,10,0.00101318359375,0.3296854473216106,0.1466128826141357,1.5609301845172894,0.1187256299764334,0.1005119159817695,0.0101026452543263
WRD25,efficientnet_b3,2,b5896ec0-d121-11e8-ac03-b8ca3af93c9a.jpg,blur_10,gaussian_blur,10,0.0007278442382812,0.4554564844305961,0.1221979856491088,1.564247644610797,0.2964075886505384,0.2067151665687561,0.0427311600895485
WRD25,efficientnet_b3,3,20180108104935.jpg,blur_10,gaussian_blur,10,0.0010719299316406,0.3308060248972356,0.1650797724723816,1.4726734381352848,0.0260573339713707,0.0768270716071128,0.0059023989317244
WRD25,efficientnet_b3,3,WIN_20171029_11_48_46_Pro.jpg,blur_10,gaussian_blur,10,0.001025390625,0.3108252694843696,0.138421356678009,1.579468681280128,0.0294395883479261,0.0846482589840889,0.0071653277490373
WRD25,efficientnet_b3,3,20180108104934.jpg,blur_10,gaussian_blur,10,0.0009880065917968,0.3167361504493187,0.1581956148147583,1.484181571671146,0.0325585927063163,0.0438657142221927,0.001924200884223
WRD25,efficientnet_b3,3,20180108104941.jpg,blur_10,gaussian_blur,10,0.00084228515625,0.3350038175992933,0.1506674289703369,1.43709183885505,-0.0517770134389885,0.0924251675605773,0.0085424115986008
WRD25,efficientnet_b3,3,64d50d82-d125-11e8-b034-b8ca3af93c9a.jpg,blur_10,gaussian_blur,10,0.0007049560546875,0.3613045489515625,0.1332738399505615,1.58419260615933,0.4189347402415302,0.2843100130558014,0.0808321835237899
WRD25,efficientnet_b3,3,20180108105019.jpg,blur_10,gaussian_blur,10,0.0007362365722656,0.3363113422575074,0.1502249240875244,1.487296601723889,-0.0677499806232075,0.0837925374507904,0.0070211893324421
WRD25,efficientnet_b3,3,8717f642-d126-11e8-83a1-b8ca3af93c9a.jpg,blur_10,gaussian_blur,10,0.0006744384765625,0.3187222999912624,0.1289044022560119,1.563083736577049,0.0432760377952672,0.0473531149327755,0.0022423174938366
WRD25,efficientnet_b3,3,20180108104922.jpg,blur_10,gaussian_blur,10,0.0008209228515625,0.2745875920401977,0.1584290266036987,1.5070063534021036,0.0357833122755841,0.1536864340305328,0.0236195200050213
WRD25,efficientnet_b3,3,20180108104957.jpg,blur_10,gaussian_blur,10,0.0011543273925781,0.311839424600241,0.1603448987007141,1.480299697604435,0.0555083509765135,0.0590972080826759,0.003492480003167
WRD25,efficientnet_b3,3,9a4e7ac4-d126-11e8-9324-b8ca3af93c9a.jpg,blur_10,gaussian_blur,10,0.0005752563476562,0.354127746172405,0.1513621807098388,1.5524896541047597,0.0243796157730882,0.0255798120051622,0.0006543267822194
WRD25,efficientnet_b3,4,438e4b48-d125-11e8-b1e9-b8ca3af93c9a.jpg,blur_10,gaussian_blur,10,0.0005615234375,0.3994808997494316,0.1224460005760192,1.570171232058326,0.377630806266696,0.2857576012611389,0.08165740667852
WRD25,efficientnet_b3,4,WIN_20171029_13_48_23_Pro.jpg,blur_10,gaussian_blur,10,0.0002975463867187,0.5046923702207229,0.1595724821090698,1.5799244858361423,0.2320181238242888,0.1975795179605484,0.0390376659175226
WRD25,efficientnet_b3,4,WIN_20171029_13_44_23_Pro.jpg,blur_10,gaussian_blur,10,0.0006401062011718,0.3003545919510105,0.1679243445396423,1.5739332561643595,0.0556748557447388,0.1507140398025512,0.022714721793605
WRD25,efficientnet_b3,4,WIN_20171029_13_45_52_Pro.jpg,blur_10,gaussian_blur,10,0.0009521484375,0.3022153242993204,0.1647522449493408,1.5686337576182496,0.0743987465914581,0.1807785630226135,0.032680888848521
WRD25,efficientnet_b3,4,WIN_20171029_13_42_56_Pro.jpg,blur_10,gaussian_blur,10,0.0009300231933593,0.335746861312111,0.1579253077507019,1.5593253805554337,0.0945278251025549,0.0815260037779808,0.0066464892920073
WRD25,efficientnet_b3,4,20180108103854.jpg,blur_10,gaussian_blur,10,0.0006759643554687,0.2940175520761677,0.1777670383453369,1.5043138066155886,0.0315623677378329,0.0299716480076313,0.0008982996842933
WRD25,efficientnet_b3,4,WIN_20171029_13_45_05_Pro.jpg,blur_10,gaussian_blur,10,0.0002532958984375,0.1789644339616292,0.1596345901489257,1.521230800776853,0.2730641404802487,0.3491414785385132,0.121899772036059
WRD25,efficientnet_b3,4,WIN_20171029_13_42_37_Pro.jpg,blur_10,gaussian_blur,10,0.0006683349609375,0.2950322139018286,0.1599887013435363,1.58395416430786,0.0241783836772171,0.0631032213568687,0.0039820165456139
