dataset,backbone,class,image,condition,perturbation,severity,sgi,csi,feature_drift,cam_entropy,delta_entropy,cam_js_distance,cam_js_divergence
WRD25,convnext_tiny,0,5-Cassia_siamea080.jpg,clean,clean,,9.46044921875e-05,1.0,-1.1920928955078125e-07,1.0596511226654655,0.0,0.0,0.0
WRD25,convnext_tiny,0,01201.jpg,clean,clean,,5.5694580078125e-05,1.0,0.0,0.053880536664935946,0.0,0.0,0.0
WRD25,convnext_tiny,0,5-Cassia_siamea097.jpg,clean,clean,,2.3651123046875e-05,1.0,0.0,0.10182408062617809,0.0,0.0,0.0
WRD25,convnext_tiny,0,5-Cassia_siamea038.jpg,clean,clean,,2.5177001953125e-05,1.0,0.0,0.13254038003141597,0.0,0.0,0.0
WRD25,convnext_tiny,0,5-Cassia_siamea010.jpg,clean,clean,,7.9345703125e-05,1.0,0.0,1.1126007160390263,0.0,0.0,0.0
WRD25,convnext_tiny,0,5-Cassia_siamea095.jpg,clean,clean,,7.62939453125e-07,1.0,0.0,6.932395219890893e-09,0.0,0.0,0.0
WRD25,convnext_tiny,0,20180108110717.jpg,clean,clean,,0.00033416748046875,1.0,-1.1920928955078125e-07,1.5642758041437714,0.0,0.0,0.0
WRD25,convnext_tiny,0,01105.jpg,clean,clean,,5.2642822265625e-05,1.0,0.0,0.05814980551263836,0.0,0.0,0.0
WRD25,convnext_tiny,0,5-Cassia_siamea054.jpg,clean,clean,,2.2125244140625e-05,1.0,0.0,0.12808571016592418,0.0,0.0,0.0
WRD25,convnext_tiny,0,5-Cassia_siamea053.jpg,clean,clean,,2.5177001953125e-05,1.0,0.0,0.18272503829332723,0.0,0.0,0.0
WRD25,convnext_tiny,1,20180115180251.jpg,clean,clean,,6.103515625e-05,1.0,-1.1920928955078125e-07,0.15768623798705927,0.0,0.0,0.0
WRD25,convnext_tiny,1,WIN_20171014_15_52_23_Pro.jpg,clean,clean,,3.509521484375e-05,1.0,-1.1920928955078125e-07,0.19468848889844256,0.0,0.0,0.0
WRD25,convnext_tiny,1,20180115180049.jpg,clean,clean,,8.7738037109375e-05,1.0,-1.1920928955078125e-07,0.9482673132098709,0.0,0.0,0.0
WRD25,convnext_tiny,1,20180115180322.jpg,clean,clean,,0.000157928466796875,1.0,0.0,1.1754246793864258,0.0,0.0,0.0
