dataset,backbone,class,image,condition,perturbation,severity,sgi,csi,feature_drift,cam_entropy,delta_entropy,cam_js_distance,cam_js_divergence
WRD25,efficientnet_b3,0,5-Cassia_siamea080.jpg,blur_2,gaussian_blur,2,0.000508880615234375,0.8973515309890631,0.032881319522857666,1.572073189869149,-0.006266859437689787,0.020236404612660408,0.00040951207164730344
WRD25,efficientnet_b3,0,01201.jpg,blur_2,gaussian_blur,2,0.003564453125,0.7782829651937058,0.02852100133895874,1.4701519430303664,0.0448354495408505,0.03876464068889618,0.0015026973677392252
WRD25,efficientnet_b3,0,5-Cassia_siamea097.jpg,blur_2,gaussian_blur,2,0.000431060791015625,0.9061004008274086,0.030135691165924072,1.580732781635417,-0.004077927173193441,0.0320887565612793,0.0010296882976490451
WRD25,efficientnet_b3,0,5-Cassia_siamea038.jpg,blur_2,gaussian_blur,2,0.000506591796875,0.8973305976813101,0.031013429164886475,1.516861908947516,0.016419324022354242,0.030353272333741188,0.0009213211413662582
WRD25,efficientnet_b3,0,5-Cassia_siamea010.jpg,blur_2,gaussian_blur,2,0.00059661865234375,0.22072644995288251,0.029229402542114258,1.5808732663734673,0.035377355816803124,0.10512275993824005,0.011050794657032847
WRD25,efficientnet_b3,0,5-Cassia_siamea095.jpg,blur_2,gaussian_blur,2,0.00049896240234375,0.8816769809300871,0.03457319736480713,1.5782270848607698,-0.006638712505496747,0.031152626499533653,0.0009704861378194464
WRD25,efficientnet_b3,0,20180108110717.jpg,blur_2,gaussian_blur,2,0.00082244873046875,0.8731523886933955,0.026533007621765137,1.420177999519966,0.030178117750708333,0.017461296170949936,0.0003048968639696309
WRD25,efficientnet_b3,0,01105.jpg,blur_2,gaussian_blur,2,0.001178741455078125,0.6536067489581711,0.027638256549835205,1.1349717906593704,0.0026021543954779514,0.02422845922410488,0.0005870182363741129
WRD25,efficientnet_b3,0,5-Cassia_siamea054.jpg,blur_2,gaussian_blur,2,0.000536346435546875,0.8123302044631057,0.029833555221557617,1.562374865685495,0.015185583689290683,0.07103212177753448,0.005045562324218489
WRD25,efficientnet_b3,0,5-Cassia_siamea053.jpg,blur_2,gaussian_blur,2,0.00059356689453125,0.90839084255351,0.03092402219772339,1.4901282490572791,0.018671566115758154,0.024294525384902954,0.000590223963677694
WRD25,efficientnet_b3,1,20180115180251.jpg,blur_2,gaussian_blur,2,0.000881195068359375,0.756366813462876,0.022791802883148193,1.5050046452121628,0.12824454090820891,0.0820438489317894,0.00673119314754228
WRD25,efficientnet_b3,1,WIN_20171014_15_52_23_Pro.jpg,blur_2,gaussian_blur,2,0.000974273681640625,0.7834881152392672,0.029715001583099365,1.2261816628499245,0.09024455451513269,0.046232156455516815,0.002137412290527385
WRD25,efficientnet_b3,1,20180115180049.jpg,blur_2,gaussian_blur,2,0.000759124755859375,0.33419563835612826,0.027977824211120605,1.460150942131281,-0.017320781518443074,0.2458767592906952,0.060455380759294464
WRD25,efficientnet_b3,1,20180115180322.jpg,blur_2,gaussian_blur,2,0.000943756103515625,0.7545752897039407,0.02725321054458618,1.392893394225044,-0.04506826197021763,0.026937982067465782,0.0007256548778671081
WRD25,efficientnet_b3,1,20180115175948.jpg,blur_2,gaussian_blur,2,0.000887298583984375,0.8249529487435904,0.025101065635681152,1.4902902364502286,0.0804595900996452,0.05290260165929794,0.0027986852623223535
WRD25,efficientnet_b3,1,20180115180217.jpg,blur_2,gaussian_blur,2,0.001058197021484375,0.8394939236293064,0.022256076335906982,1.4078243342626302,0.08304231427996189,0.04598652198910713,0.0021147602046546338
WRD25,efficientnet_b3,1,WIN_20171014_15_51_07_Pro.jpg,blur_2,gaussian_blur,2,0.001187896728515625,0.8229014520195577,0.027017056941986084,1.2964569702339181,0.07633519612696604,0.03822784870862961,0.0014613684168898744
WRD25,efficientnet_b3,1,20180115175936.jpg,blur_2,gaussian_blur,2,0.0008148193359375,0.8258439675573603,0.028293251991271973,1.4630600208578621,0.09138282210327375,0.0535736158490181,0.002870132315138163
WRD25,efficientnet_b3,1,WIN_20171014_15_50_38_Pro.jpg,blur_2,gaussian_blur,2,0.001334381103515625,0.7926971880620352,0.027609288692474365,1.3484773379743147,0.10608284013986902,0.05365707725286484,0.002879081939319905
WRD25,efficientnet_b3,1,20180115180055.jpg,blur_2,gaussian_blur,2,0.000714111328125,0.8119929514881222,0.02682673931121826,1.4864033298985047,0.08187379730277833,0.05430075526237488,0.002948572022064333
WRD25,efficientnet_b3,2,95b53916-d122-11e8-a233-b8ca3af93c9a.jpg,blur_2,gaussian_blur,2,0.001004791259765625,0.8311132764034275,0.02293539047241211,1.4666588267013645,0.08317880262435073,0.04977893829345703,0.002477942697623803
WRD25,efficientnet_b3,2,20180108105744.jpg,blur_2,gaussian_blur,2,0.00276031494140625,0.7951275000085761,0.03371083736419678,1.553754645732112,-0.015724909209889892,0.027827396988868713,0.0007743640231760995
WRD25,efficientnet_b3,2,196cd24c-d122-11e8-83e7-b8ca3af93c9a.jpg,blur_2,gaussian_blur,2,0.0012908935546875,0.8952273416265456,0.01949840784072876,1.4731103896398607,0.01687770546736389,0.01129398588091135,0.00012755411707822493
