dataset,backbone,class,image,condition,perturbation,severity,sgi,csi,feature_drift,cam_entropy,delta_entropy,cam_js_distance,cam_js_divergence
WRD25,efficientnet_b3,0,5-Cassia_siamea080.jpg,brightness_1_15,illumination,1.15,0.00066680908203125,0.8738856856120288,0.005710482597351074,1.5787380353537008,0.0003979860468621421,0.04228268563747406,0.0017878255047174552
WRD25,efficientnet_b3,0,01201.jpg,brightness_1_15,illumination,1.15,0.007794189453125,0.5043444925477639,0.002099752426147461,1.5833437756676476,0.15802728217813167,0.15594244003295898,0.02431804460343301
WRD25,efficientnet_b3,0,5-Cassia_siamea097.jpg,brightness_1_15,illumination,1.15,0.000548553466796875,0.8740737069135287,0.006694018840789795,1.579615309687933,-0.0051953991206774575,0.031279921531677246,0.0009784334910278858
WRD25,efficientnet_b3,0,5-Cassia_siamea038.jpg,brightness_1_15,illumination,1.15,0.0007080078125,0.9330752086917836,0.004245340824127197,1.4871860744772194,-0.013256510447942293,0.015568661503493786,0.0002423832210103694
WRD25,efficientnet_b3,0,5-Cassia_siamea010.jpg,brightness_1_15,illumination,1.15,0.000519561767578125,0.2615625894569386,0.010269403457641602,1.5224321517585941,-0.02306375879806999,0.13534365594387054,0.018317905204252805
WRD25,efficientnet_b3,0,5-Cassia_siamea095.jpg,brightness_1_15,illumination,1.15,0.000745391845703125,0.9373948408931904,0.003487110137939453,1.5816604730703356,-0.0032053242959309003,0.020263809710741043,0.000410621983993123
WRD25,efficientnet_b3,0,20180108110717.jpg,brightness_1_15,illumination,1.15,0.0014404296875,0.8569694814997573,0.0034865140914916992,1.4567998824161075,0.06680000064684988,0.04346252977848053,0.0018889914947453068
WRD25,efficientnet_b3,0,01105.jpg,brightness_1_15,illumination,1.15,0.00138397216796875,0.8016614126678908,0.0036649703979492188,1.1778982420992201,0.045528605835327696,0.04298599809408188,0.001847796032144411
WRD25,efficientnet_b3,0,5-Cassia_siamea054.jpg,brightness_1_15,illumination,1.15,0.00078582763671875,0.9250942947010098,0.005540966987609863,1.55724121324319,0.010051931246985779,0.013575617223978043,0.0001842973830119693
WRD25,efficientnet_b3,0,5-Cassia_siamea053.jpg,brightness_1_15,illumination,1.15,0.000646209716796875,0.39652283966568574,0.005260825157165527,1.5735305125951276,0.10207382965360656,0.15721404552459717,0.02471625611021011
WRD25,efficientnet_b3,1,20180115180251.jpg,brightness_1_15,illumination,1.15,0.0011016845703125,0.7866228605847855,0.002597332000732422,1.3502956916484372,-0.02646441265551669,0.03289605304598808,0.0010821503060044618
