dataset,backbone,class,image,condition,perturbation,severity,sgi,csi,feature_drift,cam_entropy,delta_entropy,cam_js_distance,cam_js_divergence
WRD25,efficientnet_b3,0,5-Cassia_siamea080.jpg,color_shift_-30,color_shift,-30,0.0007598876953125,0.9406171405528815,0.02363830804824829,1.5792544335144973,0.0009143842076586584,0.011511186137795448,0.0001325074062989741
WRD25,efficientnet_b3,0,01201.jpg,color_shift_-30,color_shift,-30,0.0056976318359375,0.8264802853079288,0.022189319133758545,1.3693522423302114,-0.05596425115930459,0.049465302377939224,0.00244681613934096
WRD25,efficientnet_b3,0,5-Cassia_siamea097.jpg,color_shift_-30,color_shift,-30,0.000609588623046875,0.9513457157242325,0.01928502321243286,1.583907545089061,-0.0009031637195495712,0.009676346555352211,9.36316826592766e-05
WRD25,efficientnet_b3,0,5-Cassia_siamea038.jpg,color_shift_-30,color_shift,-30,0.000742340087890625,0.9411572270720109,0.01992696523666382,1.5007293494395633,0.0002867645144015718,0.0006868044147267938,4.7170030408821373e-07
WRD25,efficientnet_b3,0,5-Cassia_siamea010.jpg,color_shift_-30,color_shift,-30,0.00082550048828125,0.9151749481105528,0.016827106475830078,1.5255806276532837,-0.019915282903380405,0.019793396815657616,0.00039177855750208504
WRD25,efficientnet_b3,0,5-Cassia_siamea095.jpg,color_shift_-30,color_shift,-30,0.000803375244140625,0.8959705754447432,0.021915197372436523,1.5823319057568241,-0.0025338916094423958,0.02138596959412098,0.00045735969548066704
WRD25,efficientnet_b3,0,20180108110717.jpg,color_shift_-30,color_shift,-30,0.001129913330078125,0.9424951972836854,0.013971030712127686,1.3721785134057707,-0.01782136836348691,0.010178424417972565,0.00010360032363238014
WRD25,efficientnet_b3,0,01105.jpg,color_shift_-30,color_shift,-30,0.001248931884765625,0.8910780748661286,0.026552677154541016,1.1364802772804037,0.004110641016511263,0.005767721217125654,3.326660803848144e-05
WRD25,efficientnet_b3,0,5-Cassia_siamea054.jpg,color_shift_-30,color_shift,-30,0.00077667236328125,0.9362763681573214,0.020455777645111084,1.5362226562409385,-0.010966625755265857,0.012191427871584892,0.00014863091354805694
WRD25,efficientnet_b3,0,5-Cassia_siamea053.jpg,color_shift_-30,color_shift,-30,0.00096588134765625,0.9426436728285411,0.02128356695175171,1.4831961413930164,0.011739458451495377,0.008393929339945316,7.045804976399481e-05
WRD25,efficientnet_b3,1,20180115180251.jpg,color_shift_-30,color_shift,-30,0.001042938232421875,0.9378200053003894,0.03485172986984253,1.3791142542897208,0.0023541499857668846,0.009210572578012943,8.4834647214844e-05
WRD25,efficientnet_b3,1,WIN_20171014_15_52_23_Pro.jpg,color_shift_-30,color_shift,-30,0.001349639892578125,0.9082476511233092,0.0340842604637146,1.1591247106375089,0.023187602302717103,0.0133056640625,0.000177040696144104
WRD25,efficientnet_b3,1,20180115180049.jpg,color_shift_-30,color_shift,-30,0.00196533203125,0.9138570821123319,0.0333288311958313,1.4750345120480732,-0.0024372116016508905,0.01940171793103218,0.00037642665867533565
WRD25,efficientnet_b3,1,20180115180322.jpg,color_shift_-30,color_shift,-30,0.001045989990234375,0.9116264038366206,0.03616607189178467,1.4544312341421994,0.016469577946937708,0.010732028633356094,0.00011517643858717508
WRD25,efficientnet_b3,1,20180115175948.jpg,color_shift_-30,color_shift,-30,0.0011260986328125,0.9074125538592869,0.03424668312072754,1.4474870433778535,0.03765639702727008,0.030151691287755966,0.000909124487512139
WRD25,efficientnet_b3,1,20180115180217.jpg,color_shift_-30,color_shift,-30,0.001343536376953125,0.9408549669601828,0.03483313322067261,1.3406605628557962,0.015878542873127843,0.010208369232714176,0.00010421080239142542
WRD25,efficientnet_b3,1,WIN_20171014_15_51_07_Pro.jpg,color_shift_-30,color_shift,-30,0.001806640625,0.8907562702927557,0.0304298996925354,1.2642925166000918,0.04417074249313968,0.02233688160777092,0.0004989362799595748
WRD25,efficientnet_b3,1,20180115175936.jpg,color_shift_-30,color_shift,-30,0.0023040771484375,0.3428158672213455,0.031192421913146973,1.4587368231365627,0.08705962438197434,0.3309454321861267,0.10952487908486219
WRD25,efficientnet_b3,1,WIN_20171014_15_50_38_Pro.jpg,color_shift_-30,color_shift,-30,0.001863861083984375,0.9129910094432433,0.030302882194519043,1.2756853546805926,0.033290856846146966,0.017628319561481476,0.00031075765056171045
WRD25,efficientnet_b3,1,20180115180055.jpg,color_shift_-30,color_shift,-30,0.000952911376953125,0.9388188603814086,0.03493708372116089,1.41946476346427,0.014935230868543758,0.01411494892090559,0.00019923178303977388
