dataset,backbone,class,image,condition,perturbation,severity,sgi,csi,feature_drift,cam_entropy,delta_entropy,cam_js_distance,cam_js_divergence
WRD25,efficientnet_b3,0,5-Cassia_siamea080.jpg,compound_mild,compound,mild,0.000774383544921875,0.8480482077564456,0.026924967765808105,1.5719383663641833,-0.006401682942655418,0.01386619359254837,0.00019227132474602948
WRD25,efficientnet_b3,0,01201.jpg,compound_mild,compound,mild,0.004622650146484375,0.5553854606180233,0.05573767423629761,1.5667879156626716,0.14147142217315567,0.1194729283452034,0.014273780607378106
WRD25,efficientnet_b3,0,5-Cassia_siamea097.jpg,compound_mild,compound,mild,0.0006744384765625,0.8526515779956293,0.02740854024887085,1.5805316928841122,-0.004279015924498308,0.031962957233190536,0.0010216306350907672
WRD25,efficientnet_b3,0,5-Cassia_siamea038.jpg,compound_mild,compound,mild,0.000823974609375,0.7520273119261646,0.0247194766998291,1.5492038072644356,0.048761222339273935,0.04700883850455284,0.00220983089754713
WRD25,efficientnet_b3,0,5-Cassia_siamea010.jpg,compound_mild,compound,mild,0.000524139404296875,0.3121542901371425,0.030214965343475342,1.5635475761548516,0.018051665598187494,0.07446607947349548,0.005545196992152945
WRD25,efficientnet_b3,0,5-Cassia_siamea095.jpg,compound_mild,compound,mild,0.000756072998046875,0.8400409416249621,0.025408625602722168,1.5760964812785654,-0.008769316087701151,0.039125435054302216,0.0015307996681884206
WRD25,efficientnet_b3,0,20180108110717.jpg,compound_mild,compound,mild,0.00076446533203125,0.7977058233111688,0.038877010345458984,1.40688464619205,0.016884764422792298,0.012409374117851257,0.00015399256599679667
WRD25,efficientnet_b3,0,01105.jpg,compound_mild,compound,mild,0.00315399169921875,0.3118296810213335,0.06319081783294678,1.4560694893399209,0.32369985307602844,0.3934870660305023,0.1548320711332929
WRD25,efficientnet_b3,0,5-Cassia_siamea054.jpg,compound_mild,compound,mild,0.000595855712890625,0.7878652713306336,0.02959960699081421,1.5792187006727474,0.032029418676543076,0.05997658893465996,0.0035971912202371753
WRD25,efficientnet_b3,0,5-Cassia_siamea053.jpg,compound_mild,compound,mild,0.000928497314453125,0.7594549480440795,0.025544047355651855,1.5036076730021763,0.03215099006065536,0.04058711603283882,0.0016473139878631221
WRD25,efficientnet_b3,1,20180115180251.jpg,compound_mild,compound,mild,0.001073455810546875,0.7061006351096264,0.021081209182739258,1.5143106703618403,0.1375505660578864,0.09737949818372726,0.009482766666514542
WRD25,efficientnet_b3,1,WIN_20171014_15_52_23_Pro.jpg,compound_mild,compound,mild,0.000763702392578125,0.6857587608839145,0.04476630687713623,1.2671230209387172,0.13118591260392543,0.0659707561135292,0.004352140662190751
WRD25,efficientnet_b3,1,20180115180049.jpg,compound_mild,compound,mild,0.000931549072265625,0.3397984194128702,0.02394157648086548,1.353149241151566,-0.12432248249815814,0.30667001008987427,0.09404649508852359
WRD25,efficientnet_b3,1,20180115180322.jpg,compound_mild,compound,mild,0.00103302001953125,0.7198069802552615,0.020985186100006104,1.3815437672228925,-0.05641788897236921,0.033960647881031036,0.0011533256044993778
WRD25,efficientnet_b3,1,20180115175948.jpg,compound_mild,compound,mild,0.00112762451171875,0.753958767266882,0.02110302448272705,1.474346864530083,0.0645162181794996,0.05026682838797569,0.002526754036186199
WRD25,efficientnet_b3,1,20180115180217.jpg,compound_mild,compound,mild,0.001088714599609375,0.7541689220375569,0.02176666259765625,1.4419493965116943,0.11716737652902598,0.06550154089927673,0.004290451860179623
WRD25,efficientnet_b3,1,WIN_20171014_15_51_07_Pro.jpg,compound_mild,compound,mild,0.000878143310546875,0.6887966515427658,0.054689884185791016,1.3595401795307287,0.1394184054237766,0.07064106315374374,0.004990159803491212
WRD25,efficientnet_b3,1,20180115175936.jpg,compound_mild,compound,mild,0.00102081298828125,0.7242545931210177,0.02333730459213257,1.3619235588535634,-0.009753639901024957,0.013133890926837921,0.00017249909087807547
WRD25,efficientnet_b3,1,WIN_20171014_15_50_38_Pro.jpg,compound_mild,compound,mild,0.000916290283203125,0.7015832933655993,0.05960738658905029,1.3575599270911207,0.11516542925667506,0.059324853122234344,0.003519438197974678
WRD25,efficientnet_b3,1,20180115180055.jpg,compound_mild,compound,mild,0.000984954833984375,0.7489620700343682,0.021728873252868652,1.5112694147958652,0.10673988220013886,0.07212191075086594,0.0052015700103558715
WRD25,efficientnet_b3,2,95b53916-d122-11e8-a233-b8ca3af93c9a.jpg,compound_mild,compound,mild,0.0009857177734375,0.7979915623418524,0.01760166883468628,1.4342687383559158,0.05078871427890208,0.02959698811173439,0.0008759817052861468
WRD25,efficientnet_b3,2,20180108105744.jpg,compound_mild,compound,mild,0.004254150390625,0.5734532904314685,0.039101600646972656,1.5835771657822755,0.0140976108402735,0.04308455064892769,0.0018562785046200153
WRD25,efficientnet_b3,2,196cd24c-d122-11e8-83e7-b8ca3af93c9a.jpg,compound_mild,compound,mild,0.00125579833984375,0.78863849265419,0.023232579231262207,1.4954949384013871,0.03926225422889029,0.02716256119310856,0.000737804730569367
WRD25,efficientnet_b3,2,20180108105833.jpg,compound_mild,compound,mild,0.00120086669921875,0.6535827457080594,0.051293373107910156,1.1198493901331539,-0.0030648086719844425,0.0018679166678339243,3.489112677971791e-06
