dataset,backbone,class,image,condition,perturbation,severity,sgi,csi,feature_drift,cam_entropy,delta_entropy,cam_js_distance,cam_js_divergence
WRD25,efficientnet_b3,0,5-Cassia_siamea080.jpg,compound_moderate,compound,moderate,0.00051422119140625,0.4308119774335661,0.09737288951873779,1.5752890632716676,-0.003050986035171066,0.05725870281457901,0.0032785590480082782
WRD25,efficientnet_b3,0,01201.jpg,compound_moderate,compound,moderate,0.001767730712890625,0.2937263218702749,0.2229953408241272,1.3259492108649247,-0.09936728262459127,0.2645294666290283,0.06997583871503821
WRD25,efficientnet_b3,0,5-Cassia_siamea097.jpg,compound_moderate,compound,moderate,0.000763702392578125,0.7262763056414657,0.09226465225219727,1.5571192225987511,-0.027691486209859395,0.07429219782352448,0.005519330657449695
WRD25,efficientnet_b3,0,5-Cassia_siamea038.jpg,compound_moderate,compound,moderate,0.00064697265625,0.3683899361624301,0.08378297090530396,1.5260092052246128,0.025566620299451115,0.06628556549549103,0.004393776193057031
WRD25,efficientnet_b3,0,5-Cassia_siamea010.jpg,compound_moderate,compound,moderate,0.00086517333984375,0.24424791027849826,0.09805864095687866,1.5241321419573814,-0.021363768599282684,0.18464650213718414,0.03409433075149715
WRD25,efficientnet_b3,0,5-Cassia_siamea095.jpg,compound_moderate,compound,moderate,0.00102996826171875,0.7021398196027256,0.08917081356048584,1.531698161691408,-0.05316763567485849,0.091834656894207,0.008433604206876721
WRD25,efficientnet_b3,0,20180108110717.jpg,compound_moderate,compound,moderate,0.001178741455078125,0.5651633826104148,0.15442651510238647,1.5763647990991128,0.18636491732985516,0.15573999285697937,0.024254945375091985
WRD25,efficientnet_b3,0,01105.jpg,compound_moderate,compound,moderate,0.00168304443359375,0.3807624690228521,0.22579562664031982,1.554795781983215,0.4224261457193226,0.24772228300571442,0.061366329497563266
WRD25,efficientnet_b3,0,5-Cassia_siamea054.jpg,compound_moderate,compound,moderate,0.000826263427734375,0.1755992399600552,0.10009527206420898,1.5082823440308843,-0.038906937965319965,0.1770251989364624,0.03133792105849409
WRD25,efficientnet_b3,0,5-Cassia_siamea053.jpg,compound_moderate,compound,moderate,0.00096893310546875,0.31104670154846964,0.08765274286270142,1.487241338383874,0.01578465544235308,0.2704594135284424,0.073148294366149
WRD25,efficientnet_b3,1,20180115180251.jpg,compound_moderate,compound,moderate,0.001523590087890625,0.5662826314591171,0.1000719666481018,1.5685069434531207,0.1917468391491668,0.1524333506822586,0.02323592640022043
WRD25,efficientnet_b3,1,WIN_20171014_15_52_23_Pro.jpg,compound_moderate,compound,moderate,0.00147857666015625,0.4355203648418711,0.19783931970596313,1.5671909352254643,0.4312538268906725,0.2588581144809723,0.06700752343264416
WRD25,efficientnet_b3,1,20180115180049.jpg,compound_moderate,compound,moderate,0.001973724365234375,0.3031563249434049,0.08927756547927856,1.5846385347226664,0.10716681107294224,0.13518820703029633,0.01827585132006626
WRD25,efficientnet_b3,1,20180115180322.jpg,compound_moderate,compound,moderate,0.00182952880859375,0.49981390131534015,0.09298861026763916,1.5840007515254015,0.1460390953301398,0.17095890641212463,0.02922694768162959
WRD25,efficientnet_b3,1,20180115175948.jpg,compound_moderate,compound,moderate,0.001865386962890625,0.5001034092969506,0.101279616355896,1.5638720803770145,0.1540414340264311,0.15074504911899567,0.022724069833888416
WRD25,efficientnet_b3,1,20180115180217.jpg,compound_moderate,compound,moderate,0.001523590087890625,0.5376800240405606,0.10157769918441772,1.5681574095346136,0.24337538955194526,0.1847781091928482,0.034142949636884135
WRD25,efficientnet_b3,1,WIN_20171014_15_51_07_Pro.jpg,compound_moderate,compound,moderate,0.001345062255859375,0.4591122451640484,0.22600418329238892,1.5789812784674555,0.3588595043605034,0.24523864686489105,0.06014199391612274
WRD25,efficientnet_b3,1,20180115175936.jpg,compound_moderate,compound,moderate,0.001807403564453125,0.49314587240533375,0.1154438853263855,1.582877654363333,0.21120045560874456,0.1855650395154953,0.03443438389038733
WRD25,efficientnet_b3,1,WIN_20171014_15_50_38_Pro.jpg,compound_moderate,compound,moderate,0.00140228271484375,0.48180943181527186,0.2149285078048706,1.5660887190187767,0.323694221184331,0.21210506558418274,0.04498855884647046
WRD25,efficientnet_b3,1,20180115180055.jpg,compound_moderate,compound,moderate,0.0016815185546875,0.49323694722797357,0.08716404438018799,1.5708312800110775,0.1663017474153512,0.2173808515071869,0.04725443460198964
WRD25,efficientnet_b3,2,95b53916-d122-11e8-a233-b8ca3af93c9a.jpg,compound_moderate,compound,moderate,0.0017730712890625,0.5554216839832264,0.08640021085739136,1.577247099059668,0.19376707498265433,0.17052482068538666,0.029078714469783273
WRD25,efficientnet_b3,2,20180108105744.jpg,compound_moderate,compound,moderate,0.00224609375,0.3090816221444946,0.14427602291107178,1.2814572142315845,-0.28802234071041743,0.19206321239471436,0.03688827755537716
WRD25,efficientnet_b3,2,196cd24c-d122-11e8-83e7-b8ca3af93c9a.jpg,compound_moderate,compound,moderate,0.0015533447265625,0.6130055515685046,0.11230576038360596,1.537728911299879,0.08149622712738225,0.06386663019657135,0.004078946452665599
WRD25,efficientnet_b3,2,20180108105833.jpg,compound_moderate,compound,moderate,0.001959228515625,0.47505403810888064,0.18258941173553467,1.3037954626292834,0.18088126382414504,0.08928310871124268,0.007971473501143578
WRD25,efficientnet_b3,2,88cc1c38-d122-11e8-989d-b8ca3af93c9a.jpg,compound_moderate,compound,moderate,0.001953887939453125,0.5825239538610304,0.10272955894470215,1.5269064966844224,0.1376571464944114,0.09376966208219528,0.008792749527009092
WRD25,efficientnet_b3,2,c43e2f18-d122-11e8-ad2a-b8ca3af93c9a.jpg,compound_moderate,compound,moderate,0.002204132080078125,0.575174264994327,0.10337406396865845,1.568031949604778,0.16625234196269956,0.13324911892414093,0.017755327694059853
WRD25,efficientnet_b3,2,85819dbe-d122-11e8-8aa4-b8ca3af93c9a.jpg,compound_moderate,compound,moderate,0.001751708984375,0.5947949560229859,0.09812945127487183,1.534480401605648,0.1339158853748823,0.1015724316239357,0.010316958865999093
WRD25,efficientnet_b3,2,WIN_20171029_13_36_00_Pro.jpg,compound_moderate,compound,moderate,0.002400970458984375,0.36420601026727106,0.16811800003051758,1.3777680282533558,-0.12783203184398806,0.09341223537921906,0.008725845718542624
WRD25,efficientnet_b3,2,WIN_20171029_13_34_41_Pro.jpg,compound_moderate,compound,moderate,0.001006317138671875,0.3681458933806581,0.16119331121444702,1.2469324514244722,-0.19527210311638377,0.11901962012052536,0.014165669973634165
WRD25,efficientnet_b3,2,b5896ec0-d121-11e8-ac03-b8ca3af93c9a.jpg,compound_moderate,compound,moderate,0.0017913818359375,0.5427629532172341,0.12849128246307373,1.4307902123677823,0.16295015640752397,0.11286625266075134,0.01273879098968056
WRD25,efficientnet_b3,3,20180108104935.jpg,compound_moderate,compound,moderate,0.002222442626953125,0.3384881280122946,0.19141453504562378,1.317157301417295,-0.12945880274661903,0.13668806850910187,0.018683628072748926
WRD25,efficientnet_b3,3,WIN_20171029_11_48_46_Pro.jpg,compound_moderate,compound,moderate,0.0022735595703125,0.3109306634038514,0.14360135793685913,1.4381702578109723,-0.11185883512122952,0.21157759428024292,0.04476507840141508
WRD25,efficientnet_b3,3,20180108104934.jpg,compound_moderate,compound,moderate,0.00216217041015625,0.36154805221179265,0.18283820152282715,1.3492379147741556,-0.10238506419067406,0.059941839426755905,0.0035930241138629887
WRD25,efficientnet_b3,3,20180108104941.jpg,compound_moderate,compound,moderate,0.0016326904296875,0.3730225940190954,0.16901618242263794,1.26695604707034,-0.2219128052236985,0.14985333383083344,0.02245602166021521
